[['Dimitri Mohamed', 'startMemberOf', 'FK Borac Čačak', '2022-01-01']]
[['Kenjiro Ogino', 'endMemberOf', 'Cerezo Osaka', '2022-07-01']]
[['Sue Weber', 'startMemberOf', 'São José Esporte Clube ( women)', '2022-07-01']]
[['Murat Çelik', 'endMemberOf', 'Eskişehirspor', '2022-07-01']]
[['Sebastian Harris', 'endMemberOf', 'Nuneaton Borough F. C.', '2022-07-01']]
[['Abdoulaye Sylla', 'endMemberOf', 'Canada men\' s national under-20 soccer team', '2022-07-01']]
[['András Kaj', 'startMemberOf', 'Fehérvár FC', '2022-07-01']]
[['Hawa N\' Diaye', 'startMemberOf', 'Achenheim Truchtersheim Handball', '2022-07-01']]
[['John V Dzimianski', 'startMemberOf', 'A. S. D. Calcio Chiasiellis', '2022-07-01']]
[['Jessica Migliorini', 'startMemberOf', 'FK Bodva Moldava nad Bodvou', '2022-07-01']]
[['Jayson Obazuaye', 'startMemberOf', 'Fort Worth Flyers', '2022-07-01']]
[['Jamar Taylor', 'endMemberOf', 'Maryland Eastern Shore Hawks men\' s basketball', '2022-07-01']]
[['Astraea Lesbian Foundation for Justice', 'startMemberOf', 'FC Nizhny Novgorod ( 2007)', '2022-07-01']]
[['Dominic Mosha', 'startMemberOf', 'German Research Foundation', '2022-07-01']]
[['Jhon Epam', 'startMemberOf', 'CFR Cluj', '2022-07-01']]
[['Adnan Güngör', 'startMemberOf', 'PFC Akademik Sofia', '2022-07-01']]
[['Maria Aparecida De Oliveira', 'startWorksFor', 'Jar IL', '2022-07-01']]
[['Zimmy Nwogbo', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-07-01']]
[['Paris-Panthéon-Assas University', 'endMemberOf', 'National Institute of Advanced Industrial Science and Technology', '2022-07-01']]
[['Matthew Haigh', 'endMemberOf', 'Glentoran F. C.', '2022-07-01']]
[['Uroš Sinđić', 'endWorksFor', 'Kayserispor', '2022-07-01']]
[['Pyotr Yanzin', 'endMemberOf', 'PFC CSKA Moscow', '2022-07-01']]
[['Sarem Ugoh', 'startMemberOf', 'Dalian Shide F. C.', '2022-07-01']]
[['Henrik Simán', 'endWorksFor', 'Skåne University Hospital', '2022-07-01']]
[['Hussein Ammouta', 'startMemberOf', 'South Korea national football team generic instance', '2022-07-01']]
[['Shadia Ahmed', 'endWorksFor', 'Barnsley Hospital NHS Foundation Trust', '2022-07-01']]
[['Rohit Kumar Verma', 'endWorksFor', 'Babu Banarasi Das University', '2022-07-01']]
[['François Gaillard', 'endWorksFor', 'Inserm', '2022-07-01']]
[['Paul M Gordon', 'endMemberOf', 'OFK Sinđelić Niš', '2022-07-01']]
[['Travarus Bennett', 'startMemberOf', 'AC Sparta Prague', '2022-07-01']]
[['Peter Olofsson ( footballer)', 'endMemberOf', 'Team Lotto– Kern Haus', '2022-07-01']]
[['James B U002E Layton', 'endMemberOf', 'Gloucestershire County Cricket Club', '2022-07-01']]
[['Kazuyoshi Gamada', 'endWorksFor', 'Hiroshima International University', '2022-07-01']]
[['Alyaksandr Lebedzew', 'startMemberOf', 'Puszcza Niepołomice', '2022-07-01']]
[['Diosdado Mbele', 'startMemberOf', 'Apulia Trani', '2022-07-01']]
[['Siniša Končalović', 'startMemberOf', 'Oud-Heverlee Leuven', '2022-07-01']]
[['Concordia University', 'endMemberOf', 'Digital Research Alliance Of Canada', '2022-07-01']]
[['Grzegorz Baran', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-07-01']]
[['Patrick Dennehy', 'startMemberOf', 'BC Andorra', '2022-07-01']]
[['Lars Øvrebø', 'endMemberOf', 'Drøbak-Frogn IL', '2022-07-01']]
[['João P Da Costa', 'endWorksFor', 'University of Aveiro', '2022-07-01']]
[['Richard Stern', 'startMemberOf', 'University of Melbourne', '2022-07-01']]
[['Juan Du', 'endWorksFor', 'Australia men\' s national soccer team generic instance', '2022-07-01']]
[['Ryan Kitto', 'startMemberOf', 'German Research Foundation', '2022-07-01']]
[['Adrie Lindeman', 'endMemberOf', 'Riwal Cycling Team', '2022-07-01']]
[['Abdoulaye Gueye', 'endMemberOf', 'Georgia Tech Yellow Jackets men\' s basketball', '2022-07-01']]
[['Volodymyr Hudyma', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-07-01']]
[['Evan D Miller', 'endWorksFor', 'Autoliv U0028 United States U0029 ', '2022-07-01']]
[['Youssef Moustaïd', 'startMemberOf', 'PFC Slavia Sofia', '2022-07-01']]
[['Anna Pogany', 'endMemberOf', 'Köpenicker Sc', '2022-07-01']]
[['James Pearson ( cricketer, born 1983)', 'startMemberOf', 'Shropshire County Cricket Club', '2022-07-01']]
[['Johannes B. Kerner', 'startMemberOf', 'FC Grenoble', '2022-07-01']]
[['Quade Taylor', 'startMemberOf', 'Çaykur Rizespor', '2022-07-01']]
[['Nicky Ioannou', 'startMemberOf', 'Horsham F. C.', '2022-07-01']]
[['Laurent Lamarque', 'endWorksFor', 'University of Bordeaux', '2022-07-01']]
[['Georgiy Zabirov', 'startMemberOf', 'Ahal FK', '2022-07-01']]
[['Sotaro Yasunaga', 'startMemberOf', 'Dalian Shide F. C.', '2022-07-01']]
[['Frédéric Gaillard', 'endMemberOf', 'Itera– Katusha', '2022-07-01']]
[['Vitaly Barbas', 'startMemberOf', 'CS Avion', '2022-07-01']]
[['Alpha Diallo ( basketball, born 1997)', 'endMemberOf', 'Karachi Kings', '2022-07-01']]
[['Marco Pittroff', 'startMemberOf', 'FC Nosta Novotroitsk', '2022-07-01']]
[['Mitch Brundle', 'endMemberOf', 'German Research Foundation', '2022-07-01']]
[['Basuraj Bhowmik', 'startMemberOf', 'Goslarer SC 08', '2022-07-01']]
[['André Weiß', 'startMemberOf', 'Bristol City F. C.', '2022-07-01']]
[['TJ Moncur', 'endMemberOf', 'Chesterfield F. C.', '2022-07-01']]
[['Hugo Viana', 'startMemberOf', 'FC Andorra', '2022-07-02']]
[['Adam Cawley', 'endWorksFor', 'National Measurement Institute', '2022-07-02']]
[['Fernando P Lima', 'endWorksFor', 'Faculty Of Sciences Of The University Of Porto', '2022-07-02']]
[['Simon Agolory', 'endWorksFor', 'Tulane Medical Center', '2022-07-03']]
[['Eva Pavlović Mori', 'startMemberOf', 'Unet E-Work Busto Arsizio', '2022-07-03']]
[['Keith Lowe', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-03']]
[['Bilica ( footballer)', 'startMemberOf', 'Júbilo Iwata', '2022-07-04']]
[['Philip Perry', 'endWorksFor', 'Dublin City University', '2022-07-04']]
[['Simon Whaley', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-04']]
[['Tom Piscina', 'startMemberOf', 'Soles de Santo Domingo Este', '2022-07-04']]
[['Noah Vonleh', 'startMemberOf', 'Orlando Magic', '2022-07-04']]
[['Eun Shik Choi', 'endWorksFor', 'Seoul National University', '2022-07-04']]
[['Hector J Rivera-Jacquez', 'endWorksFor', 'University of Central Florida', '2022-07-04']]
[['Brian I U002E Magi', 'endWorksFor', 'Princeton University', '2022-07-05']]
[['Gia Labadze', 'endMemberOf', 'Rugby Club Stade Phocéen', '2022-07-06']]
[['Einav Tayeb-Fligelman', 'endWorksFor', 'David Geffen School of Medicine at UCLA', '2022-07-07']]
[['Hai Wang', 'endWorksFor', 'Cornell University', '2022-07-07']]
[['Virender Sehwag', 'startMemberOf', 'Wellington cricket team', '2022-07-07']]
[['Achille Coser', 'endMemberOf', 'U. S. Livorno 1915', '2022-07-07']]
[['Chris Wise', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2022-07-08']]
[['Andreas Wolff', 'endMemberOf', 'HSG Wetzlar', '2022-07-08']]
[['Robert Milsom', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-08']]
[['Melissa O U0027 Neal', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2022-07-08']]
[['Okan Karabulut', 'endMemberOf', 'Balıkesirspor', '2022-07-08']]
[['Volker Dötsch', 'endWorksFor', 'University of California, San Francisco', '2022-07-08']]
[['Stephen Beatty', 'endMemberOf', 'Coleraine F. C.', '2022-07-08']]
[['Shunsuke Oyama', 'endMemberOf', 'Shonan Bellmare', '2022-07-09']]
[['Kisley', 'startMemberOf', 'Sertanense F. C.', '2022-07-09']]
[['Omar de Jesús', 'endMemberOf', 'C. D. El Nacional', '2022-07-09']]
[['Maksim Kuzmin', 'startMemberOf', 'FC Dynamo Makhachkala', '2022-07-09']]
[['Anant Mamidi', 'endWorksFor', 'University of Padua', '2022-07-09']]
[['Chandrasai Potla Durthi', 'endWorksFor', 'National Institute of Nutrition, Hyderabad', '2022-07-09']]
[['Somayeh Mashayekhi', 'endWorksFor', 'Florida State University', '2022-07-10']]
[['Santiago Silva ( footballer, born 1980)', 'startMemberOf', 'University of Pennsylvania', '2022-07-10']]
[['John Hong', 'endWorksFor', 'Great Wakering Rovers F. C.', '2022-07-10']]
[['Pinakin Dhandhukia', 'endWorksFor', 'Sardar Patel University', '2022-07-11']]
[['Austin Wallace', 'startMemberOf', 'Pistoia Basket 2000', '2022-07-11']]
[['Trae Anderson', 'startMemberOf', 'Veltex Shizuoka', '2022-07-11']]
[['Lee Sung-min ( footballer)', 'endMemberOf', 'Izmir Tepecik Eğitim Ve Araştırma Hastanesi', '2022-07-11']]
[['Grażyna Bernatowicz', 'endWorksFor', 'Droylsden F. C.', '2022-07-11']]
[['Katie Lind', 'endMemberOf', 'United States women\' s national under-20 soccer team', '2022-07-12']]
[['Sándor Torghelle', 'startMemberOf', 'Ottawa Fury FC', '2022-07-12']]
[['Chinedu Ede', 'startMemberOf', 'Ottawa Fury FC', '2022-07-13']]
[['Rubén Epitié', 'endMemberOf', 'FC Andorra', '2022-07-13']]
[['Artem Biesiedin', 'startMemberOf', 'FC Stal Alchevsk', '2022-07-13']]
[['Qa U0027 Rraan Calhoun', 'startMemberOf', 'Niigata Albirex BB', '2022-07-13']]
[['Cully Payne', 'endMemberOf', 'Faculdade De Ciências Da Universidade De Lisboa', '2022-07-13']]
[['Tsukasa Baba', 'endWorksFor', 'Lund University', '2022-07-13']]
[['Andrew Vollmer', 'endMemberOf', 'Aevolo', '2022-07-13']]
[['Gordon Kinsaini', 'startMemberOf', 'R. F. C. Tournai', '2022-07-13']]
[['Robyn Johannes', 'startMemberOf', 'K. V. C. Westerlo', '2022-07-13']]
[['Jin Okubo', 'startMemberOf', 'Nippo– Vini Fantini– Faizanè', '2022-07-13']]
[['Abdul R Rishi', 'endMemberOf', 'MSP Batna', '2022-07-13']]
[['Werner Schmoelz', 'endMemberOf', 'Sv Zweckel', '2022-07-13']]
[['Lewis Moody', 'endMemberOf', 'Veria F. C.', '2022-07-13']]
[['Michael Augustin', 'endMemberOf', 'FC Cincinnati ( 2016– 2018)', '2022-07-13']]
[['Lek Kćira', 'endMemberOf', 'Songkhla United F. C.', '2022-07-13']]
[['Michael Salazar', 'startMemberOf', 'Clube Atlético Linense', '2022-07-13']]
[['Sergio Pérez Moya', 'endMemberOf', 'Atlante F. C.', '2022-07-13']]
[['Elvira Maranesi', 'startMemberOf', 'Fulham F. C.', '2022-07-13']]
[['Joseph Unsay', 'endWorksFor', 'Ateneo de Manila University', '2022-07-13']]
[['Elisa Calvo', 'endWorksFor', 'Alfonso X El Sabio University', '2022-07-13']]
[['Adrian Pulis', 'startMemberOf', 'Latvia national football team', '2022-07-13']]
[['Richard Evans', 'endWorksFor', 'University of Westminster', '2022-07-13']]
[['Rubens Bertogliati', 'endMemberOf', 'Team Novo Nordisk', '2022-07-13']]
[['Frédéric Leloir', 'endMemberOf', 'US Dax', '2022-07-13']]
[['Alexandre F Souza', 'endWorksFor', 'Unisinos', '2022-07-13']]
[['Gennady Puninski', 'endWorksFor', 'University of Manchester', '2022-07-13']]
[['Gianluca Ciatto', 'endWorksFor', 'European Synchrotron Radiation Facility', '2022-07-13']]
[['Brian Martin', 'endMemberOf', 'FC Andorra', '2022-07-13']]
[['Miguel Ángel Riau', 'startMemberOf', 'Louisiana Tech Bulldogs basketball', '2022-07-13']]
[['Daniel K Jones', 'endWorksFor', 'Cary Institute of Ecosystem Studies', '2022-07-13']]
[['Bin Wu', 'endWorksFor', 'Huashan Hospital', '2022-07-13']]
[['Darren Goodson', 'endMemberOf', 'Kent State Golden Flashes men\' s basketball', '2022-07-13']]
[['Quinten Rollins', 'startMemberOf', 'Cincinnati Bearcats football', '2022-07-13']]
[['Tommy Kuhse', 'startMemberOf', 'MKS Dąbrowa Górnicza ( basketball)', '2022-07-13']]
[['Leandro Caruso', 'startMemberOf', 'Racing de Córdoba', '2022-07-13']]
[['John Henry ( footballer)', 'endMemberOf', 'Dumbarton F. C.', '2022-07-13']]
[['Jake Boggs', 'endMemberOf', 'UNC Wilmington Seahawks men\' s basketball', '2022-07-13']]
[['Kris Collins', 'startMemberOf', 'BC Andorra', '2022-07-13']]
[['Leonardo Scarselli', 'startMemberOf', 'AG2R Citroën Team', '2022-07-13']]
[['Connor Crisp', 'startMemberOf', 'Hamilton Bulldogs ( AHL)', '2022-07-13']]
[['Jamaal Womack', 'startMemberOf', 'Onisilos Sotira', '2022-07-13']]
[['', 'endLocation', 'Lesbos Municipality', '2022-07-13']]
[['Antonio Cruz ( cyclist)', 'endMemberOf', 'Toyota– United', '2022-07-13']]
[['Abdennour Chérif El-Ouazzani', 'startMemberOf', 'Al Ahli SC ( Doha)', '2022-07-13']]
[['Barbara Caplan', 'endWorksFor', 'University of California, Los Angeles', '2022-07-13']]
[['Gilvan Guedes', 'endWorksFor', 'Vale Do Rio Doce University', '2022-07-13']]
[['Robert Fernandez', 'endWorksFor', 'Saint Leo University', '2022-07-13']]
[['René Lobo', 'startMemberOf', 'Alta IF', '2022-07-13']]
[['Alyaksandr Kobets', 'startMemberOf', 'Puszcza Niepołomice', '2022-07-13']]
[['Stéphane Guivarc\' h', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-13']]
[['Artur Kopytin', 'startMemberOf', 'FC Ryazan ( 2010)', '2022-07-13']]
[['Wen Chao', 'endMemberOf', 'Yinchuan Helanshan F. C.', '2022-07-13']]
[['Mahantesha B N Naika', 'endWorksFor', 'University of Agricultural Sciences, Bangalore', '2022-07-13']]
[['Aleksandar R. Petrović', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-13']]
[['Nicoletta Plotegher', 'endWorksFor', 'University of Pavia', '2022-07-13']]
[['Scott Smith ( footballer, born 1992)', 'startMemberOf', 'Çaykur Rizespor', '2022-07-13']]
[['Nikolay Bankov', 'startMemberOf', 'FC Chepinets Velingrad', '2022-07-13']]
[['Stefano Dall\' Acqua', 'startMemberOf', 'FC Andorra', '2022-07-13']]
[['Paula Rote', 'startMemberOf', 'German Research Foundation', '2022-07-13']]
[['Gjorgji Hristov', 'endMemberOf', 'Dynamo Kursk', '2022-07-13']]
[['Muhammad Awais', 'startMemberOf', 'A. R. Monex Women\' s Pro Cycling Team', '2022-07-13']]
[['Jarrett L Lancaster', 'startMemberOf', 'Dunfermline Athletic F. C.', '2022-07-13']]
[['Stefania Tarenzi', 'startMemberOf', 'A. C. F. Milan', '2022-07-13']]
[['Anna Grodzka', 'startMemberOf', 'The Greens ( Poland)', '2022-07-13']]
[['Shaun Bajada', 'startMemberOf', 'Panionios F. C.', '2022-07-13']]
[['', 'startMemberOf', 'SKA Minsk', '2022-07-13']]
[['Oleg Teryokhin', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-07-13']]
[['Andrei Pacheco', 'startMemberOf', 'SC Zofingen', '2022-07-13']]
[['Lev Potapov', 'startMemberOf', 'FC Olimpia Volgograd', '2022-07-13']]
[['Marcus Maloney', 'endWorksFor', 'La Trobe University', '2022-07-13']]
[['Stuart Wise', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-13']]
[['Latha Kumari', 'endWorksFor', 'Florida International University', '2022-07-13']]
[['Doaa Boshra Farag', 'startMemberOf', 'FC Rostov', '2022-07-14']]
[['Jesper Leerdam', 'endMemberOf', 'Hunan Agricultural University', '2022-07-14']]
[['Xiao-Zhang Yu', 'endWorksFor', 'Dayton Dutch Lions', '2022-07-14']]
[['Okay Yokuşlu', 'endMemberOf', 'Turkey national under-20 football team generic instance', '2022-07-14']]
[['Ryan Hegarty', 'endMemberOf', 'San Diego Toreros men\' s basketball', '2022-07-15']]
[['Seo Dong-myung', 'startMemberOf', 'South Korea national football team generic instance', '2022-07-15']]
[['José Manuel González ( footballer)', 'endMemberOf', 'C. D. Águila', '2022-07-15']]
[['Davor Bratić', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-15']]
[['Gérard Sévérin', 'endWorksFor', 'Antalyaspor', '2022-07-15']]
[['Dimosthenis Kotsopoulos', 'endWorksFor', 'Hellenic Army', '2022-07-15']]
[['Stefanos Polyzos', 'endMemberOf', 'Olympiacos Volos F. C.', '2022-07-16']]
[['Katrien Van Looy', 'endMemberOf', 'Lotto Dstny Ladies', '2022-07-16']]
[['Eliran Bar-El', 'endWorksFor', 'Tel Aviv University', '2022-07-16']]
[['Brad Oleson', 'endMemberOf', 'UCAM Murcia CB', '2022-07-17']]
[['Sergei Galishnikov', 'startMemberOf', 'FC MITOS Novocherkassk', '2022-07-17']]
[['Renato Soru', 'endMemberOf', 'Democratic Party ( Italy)', '2022-07-17']]
[['Masaaki Shojima', 'endWorksFor', 'The University Of Tokyo Hospital', '2022-07-17']]
[['Yunfei Wang', 'endWorksFor', 'MD Anderson Cancer Center', '2022-07-17']]
[['Renan Zanelli', 'startMemberOf', 'Fehérvár FC', '2022-07-18']]
[['Andrey Harawtsow', 'startMemberOf', 'Puszcza Niepołomice', '2022-07-18']]
[['Shamsurin Abdul Rahman', 'startMemberOf', 'Woodlands Wellington FC', '2022-07-19']]
[['Kingseley Obiekwe', 'startMemberOf', 'S. C. Lusitânia ( basketball)', '2022-07-19']]
[['Michael König', 'startMemberOf', 'Ottawa Fury FC', '2022-07-19']]
[['Masahiro Iwata', 'endMemberOf', 'Gainare Tottori', '2022-07-19']]
[['Larry Owens', 'startMemberOf', 'Kyoto Hannaryz', '2022-07-20']]
[['Mary M Lee', 'endWorksFor', 'Stony Brook University Hospital', '2022-07-20']]
[['Yuji Ozaki', 'startMemberOf', 'FC Ryukyu', '2022-07-20']]
[['George Banks ( basketball)', 'endMemberOf', 'BC Körmend', '2022-07-20']]
[['Ina Mester', 'endMemberOf', 'Djk Eintracht Coesfeld', '2022-07-21']]
[['Vitaliy Buts', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-07-21']]
[['Morten Hamm', 'endMemberOf', 'Nordvest FC', '2022-07-22']]
[['Hugues Sana', 'endWorksFor', 'Space Telescope Science Institute', '2022-07-22']]
[['Fraser Fyvie', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-22']]
[['Aaron Hardy', 'endMemberOf', 'Guiseley A. F. C.', '2022-07-22']]
[['University of Biskra', 'startMemberOf', 'Municipal Limeño', '2022-07-23']]
[['Stephan Täuber', 'endMemberOf', 'German Research Foundation', '2022-07-23']]
[['Rafal Suwinski', 'startAcademicDegree', 'Doctor of Sciences generic instance', '2022-07-23']]
[['Paras Mehta', 'endWorksFor', 'National Institutes of Health Clinical Center', '2022-07-23']]
[['Henry Velasco', 'endMemberOf', 'Movistar Ecuador', '2022-07-24']]
[['Alen Melunović', 'endMemberOf', 'Widzew Łódź', '2022-07-24']]
[['Hong-Jie Peng', 'endWorksFor', 'Tsinghua University', '2022-07-25']]
[['Taylor Filipek', 'startMemberOf', 'KB Trepça', '2022-07-25']]
[['Francesco Strati', 'endWorksFor', 'Edmund Mach Foundation', '2022-07-25']]
[['Attila Dorogi', 'endMemberOf', 'Şanlıurfaspor', '2022-07-25']]
[['Moath M A Alhamad', 'startMemberOf', 'MFK Ružomberok', '2022-07-25']]
[['Jungpil Seo', 'endWorksFor', 'Princeton University', '2022-07-25']]
[['Alessio Menga', 'endWorksFor', 'University of Bari', '2022-07-26']]
[['Jiří Koubský', 'endMemberOf', 'FC Aarau', '2022-07-26']]
[['Maggy M U002E Nugues', 'endWorksFor', 'University of North Carolina Wilmington', '2022-07-27']]
[['Bartłomiej Niedziela', 'endMemberOf', 'Flota Świnoujście', '2022-07-27']]
[['Albaye Papa Diop', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-28']]
[['Carla Lambertini', 'endWorksFor', 'Aarhus University', '2022-07-28']]
[['Sébastien Macé', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-29']]
[['Stephanie N Tornberg-Belanger', 'endWorksFor', 'Tufts University', '2022-07-29']]
[['Carlos Eduardo ( footballer, born 1989)', 'startMemberOf', 'Dalian Shide F. C.', '2022-07-30']]
[['Josipa Marković', 'endMemberOf', 'CB Breogán', '2022-07-30']]
[['Ariane Utomo', 'startMemberOf', 'German Institute Of Human Nutrition', '2022-07-30']]
[['Néstor E Valadez-Pérez', 'startMemberOf', 'University of Galway', '2022-07-30']]
[['Richaun Holmes', 'endWorksFor', 'ASA 2013 Târgu Mureș', '2022-07-30']]
[['Diana G Branzea', 'endWorksFor', 'Ircica Digital Institute', '2022-07-30']]
[['Brendan Rhim', 'endMemberOf', 'EvoPro Racing', '2022-07-30']]
[['Evren Nuri Turhan', 'endMemberOf', 'FC Andorra', '2022-07-31']]
[['Julian Krick', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-31']]
[['Shaoneng He', 'startMemberOf', 'Turanspor', '2022-07-31']]
[['Anders Halland Johannessen', 'startMemberOf', 'Joker Fuel of Norway', '2022-07-31']]
[['Thomas C Sprague', 'endWorksFor', 'New York University', '2022-07-31']]
[['Oliver Wells', 'endMemberOf', 'Central Arkansas Bears basketball', '2022-07-31']]
[['Nick Evola', 'startMemberOf', 'BC Andorra', '2022-07-31']]
[['Daniel Faria', 'startMemberOf', 'FC Andorra', '2022-07-31']]
[['Artem Oganov', 'startMemberOf', 'R. S. C. Anderlecht', '2022-07-31']]
[['Péter Kusztor', 'startMemberOf', 'AG2R Citroën Team', '2022-07-31']]
[['Marimar Benitez', 'endWorksFor', 'Gladstone Institutes', '2022-07-31']]
[['Abdulrahman Akkari', 'endMemberOf', 'Nawair SC', '2022-07-31']]
[['Jeremy Green', 'startMemberOf', 'Riesen Ludwigsburg', '2022-07-31']]
[['Lu Gong', 'endWorksFor', 'Chinese Research Academy Of Environmental Sciences', '2022-07-31']]
[['Ivan Tomić', 'startMemberOf', 'FC Andorra', '2022-07-31']]
[['Tuka Tisam', 'endMemberOf', 'San Francisco Seals ( soccer)', '2022-07-31']]
[['Marina Andrijevic', 'endWorksFor', 'Climate Analytics', '2022-07-31']]
[['Derre Kwee', 'endMemberOf', 'Jong FC Twente', '2022-07-31']]
[['Azeem Tariq', 'endWorksFor', 'University of Göttingen', '2022-07-31']]
[['Jarmo Ahjupera', 'startMemberOf', 'Fehérvár FC', '2022-07-31']]
[['Jonathan Woods', 'startMemberOf', 'UB La Palma', '2022-07-31']]
[['Adam Walker ( footballer)', 'startMemberOf', 'Mansfield Town F. C.', '2022-07-31']]
[['Jimmy McLaughlin', 'endMemberOf', 'FC Cincinnati ( 2016– 2018)', '2022-07-31']]
[['Igor Reshetnikov', 'startMemberOf', 'FC Volga Ulyanovsk', '2022-07-31']]
[['Nico Rosberg', 'endMemberOf', 'Mercedes-AMG Petronas Motorsport', '2022-07-31']]
[['Cameron Borgas', 'startMemberOf', 'Australia national cricket team', '2022-07-31']]
[['Lizanne Murphy', 'endMemberOf', 'Union Féminine Angers Basket 49', '2022-07-31']]
[['Marcel Cas', 'startMemberOf', 'Lincoln United F. C.', '2022-07-31']]
[['Yingfeng Deng', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2022-07-31']]
[['Magnus Troest', 'startMemberOf', 'FC Andorra', '2022-07-31']]
[['Stephen Evans', 'startMemberOf', 'Minnesota Timberwolves', '2022-07-31']]
[['Lee Warren', 'endMemberOf', 'Stocksbridge Park Steels F. C.', '2022-07-31']]
[['Carlo Cudicini', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-31']]
[['Paulo Baptista', 'endWorksFor', 'University of Minho', '2022-07-31']]
[['Nate Hutcheson', 'endMemberOf', 'BC Andorra', '2022-07-31']]
[['Moreno De Pauw', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-07-31']]
[['Joshua Goodman', 'endWorksFor', 'Brandeis University', '2022-07-31']]
[['Niamh Kennedy', 'endWorksFor', 'University of East Anglia', '2022-07-31']]
[['Andrew Fox ( footballer)', 'endMemberOf', 'Club Brugge KV', '2022-07-31']]
[['Abdulaziz Al-Bishi', 'startMemberOf', 'El Paso Locomotive FC', '2022-07-31']]
[['Yasuhiro Yoshida', 'endMemberOf', 'Fujieda MYFC', '2022-07-31']]
[['Dominic Shimmin', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-31']]
[['Patrick Riedesser', 'endMemberOf', 'MD Anderson Cancer Center', '2022-07-31']]
[['Alex De Visscher', 'endMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-07-31']]
[['Sonni Nattestad', 'endWorksFor', 'Carnegie Mellon University', '2022-07-31']]
[['David Duvenaud', 'startMemberOf', 'R. S. C. Anderlecht', '2022-07-31']]
[['Jeppe Tengbjerg', 'startWorksFor', 'FC Vysočina Jihlava', '2022-07-31']]
[['Turin', 'endMemberOf', 'Olbia Calcio 1905', '2022-07-31']]
[['Chupe ( footballer)', 'startMemberOf', 'FC Andorra', '2022-07-31']]
[['Shane McFaul', 'startMemberOf', 'Lincoln United F. C.', '2022-07-31']]
[['Eduard Sergienko', 'endMemberOf', 'Kazakhstan national football team', '2022-07-31']]
[['Dimitrios Orfanos', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-31']]
[['Himanshu Aggarwal', 'endWorksFor', 'King Abdullah University of Science and Technology', '2022-07-31']]
[['Maksim Schastlivtsev', 'endMemberOf', 'Simba S. C.', '2022-07-31']]
[['Olive Melissa Minor Peters', 'startMemberOf', 'AEZ Zakakiou', '2022-07-31']]
[['David Bell', 'endMemberOf', 'University of Oklahoma Health Sciences Center', '2022-07-31']]
[['Elise M Stevens', 'endWorksFor', 'Horsham F. C.', '2022-07-31']]
[['Irina Trofimova', 'startMemberOf', 'Ranheim Fotball', '2022-07-31']]
[['Gyula Forró', 'startMemberOf', 'Ottawa Fury FC', '2022-07-31']]
[['Leandro Paredes', 'startMemberOf', 'Panthrakikos F. C.', '2022-07-31']]
[['Lahat Thioune', 'startMemberOf', 'New Mexico Lobos men\' s basketball', '2022-07-31']]
[['Manuel Benson', 'startMemberOf', 'Belgium national football team generic instance', '2022-07-31']]
[['David Killock', 'endWorksFor', 'King\' s College London', '2022-07-31']]
[['Manfred Rothbauer', 'startMemberOf', 'FC Juniors OÖ', '2022-07-31']]
[['Luciano Battioni', 'endMemberOf', 'Auckland District Health Board', '2022-07-31']]
[['Halina Wyrodek', 'endWorksFor', 'Brazil national football team generic instance', '2022-07-31']]
[['Matt McCullough', 'startMemberOf', 'Newcastle Falcons', '2022-08-01']]
[['Damir Džombić', 'startMemberOf', 'Ottawa Fury FC', '2022-08-01']]
[['Ryan Kiernan', 'startMemberOf', 'Team FOG Næstved', '2022-08-01']]
[['Sékou Sanogo ( footballer)', 'startMemberOf', 'Panionios F. C.', '2022-08-01']]
[['Cristina Vega', 'startMemberOf', 'Bristol City W. F. C.', '2022-08-01']]
[['Leonilde M U002E Moreira', 'endWorksFor', 'University of Illinois Chicago', '2022-08-01']]
[['Rasmus Festersen', 'endMemberOf', 'Oakleigh Cannons FC', '2022-08-01']]
[['Caheem Broadus', 'startMemberOf', 'Youngstown State Penguins men\' s basketball', '2022-08-01']]
[['Michał Czubenko', 'endWorksFor', 'Gdańsk University of Technology', '2022-08-01']]
