[['Timur Melekestsev', 'endMemberOf', 'FC Dynamo Makhachkala', '2022-01-01']]
[['Aleksandr Pavlovets', 'endMemberOf', 'FC Rostov', '2022-06-01']]
[['Ricardo Quaresma', 'endMemberOf', 'Vitória S. C.', '2022-06-01']]
[['Aleksandr Chizh ( footballer, born 2002)', 'endMemberOf', 'FC Rogachev', '2022-06-01']]
[['Luiz Gustavo', 'endMemberOf', 'Fenerbahçe S. K. ( football)', '2022-06-01']]
[['Alexandre Lacazette', 'endMemberOf', 'Arsenal F. C.', '2022-06-02']]
[['Besard Šabović', 'endMemberOf', 'FC Khimki', '2022-06-03']]
[['Roman Davyskiba', 'startMemberOf', 'Belarus national under-21 football team', '2022-06-04']]
[['Victor Trotsyuk', 'startMemberOf', 'Fc Niva Doŭbizna', '2022-06-04']]
[['Matthew Gibson ( cyclist)', 'endMemberOf', 'AT85 Pro Cycling', '2022-06-05']]
[['Jesús Alfaro', 'endMemberOf', 'UD Logroñés', '2022-06-05']]
[['Andrey Solovey', 'startMemberOf', 'Belarus national football team', '2022-06-06']]
[['Yaroslav Oreshkevich', 'startMemberOf', 'Belarus national under-21 football team', '2022-06-08']]
[['Vladislav Morozov', 'startMemberOf', 'Belarus national under-21 football team', '2022-06-08']]
[['Alfio Pelliccioni', 'endMemberOf', 'U. S. Catanzaro 1929', '2022-06-09']]
[['Pavel Sedko', 'startMemberOf', 'Belarus national football team', '2022-06-10']]
[['Roman Begunov', 'startMemberOf', 'Belarus national football team', '2022-06-10']]
[['Vyacheslav Kaminsky', 'startMemberOf', 'FC Ostrovets', '2022-06-11']]
[['Lee Kang-in', 'endMemberOf', 'South Korea national under-23 football team', '2022-06-12']]
[['Dmitry Bessmertny', 'startMemberOf', 'Belarus national football team', '2022-06-13']]
[['Michael Amir Murillo', 'startMemberOf', 'Panama national football team generic instance', '2022-06-13']]
[['Pavel Pavlyuchenko', 'startMemberOf', 'Belarus national football team', '2022-06-13']]
[['Alexandru Dandea', 'endMemberOf', 'FC Rapid București', '2022-06-13']]
[['Merih Demiral', 'endMemberOf', 'Juventus F. C.', '2022-06-17']]
[['Valentin Baume', 'endMemberOf', 'US Boulogne', '2022-06-19']]
[['Merih Demiral', 'startMemberOf', 'Turkey national football team', '2022-06-19']]
[['Diego Godín', 'startMemberOf', 'Club Atlético Vélez Sarsfield', '2022-06-21']]
[['Diego Godín', 'startMemberOf', 'Uruguay national football team generic instance', '2022-06-21']]
[['Alexys Brunel', 'endMemberOf', 'UAE Team Emirates', '2022-06-22']]
[['Alessandro Fedeli', 'startMemberOf', 'Eolo– Kometa', '2022-06-22']]
[['Andrea Piccolo', 'startMemberOf', 'GW Shimano– Sidermec', '2022-06-24']]
[['Luis Paradela', 'endMemberOf', 'Santos de Guápiles F. C.', '2022-06-27']]
[['Rasmus Byriel Iversen', 'endMemberOf', 'Team Herning Ck Elite', '2022-06-27']]
[['Thibault Corbaz', 'startMemberOf', 'FC Winterthur', '2022-06-28']]
[['Aleksey Nosko', 'startMemberOf', 'FC BATE Borisov', '2022-06-29']]
[['William Saliba', 'endMemberOf', 'Olympique de Marseille', '2022-06-30']]
[['David Ospina', 'endMemberOf', 'S. S. C. Napoli', '2022-06-30']]
[['Anthony Contreras', 'endMemberOf', 'A. D. Guanacasteca', '2022-06-30']]
[['Braian Cufré', 'endMemberOf', 'Málaga CF', '2022-06-30']]
[['Christophe Lepoint', 'endMemberOf', 'Royal Excel Mouscron', '2022-06-30']]
[['Susbhan Das', 'endWorksFor', 'Aalto University', '2022-06-30']]
[['Matteo Guendouzi', 'endMemberOf', 'Olympique de Marseille', '2022-06-30']]
[['Rodrigo Battaglia', 'endMemberOf', 'RCD Mallorca', '2022-06-30']]
[['Cesc Fàbregas', 'endMemberOf', 'AS Monaco FC', '2022-06-30']]
[['Lars Dietz', 'endMemberOf', 'Würzburger Kickers', '2022-06-30']]
[['Daniel Ballard', 'endMemberOf', 'Millwall F. C.', '2022-06-30']]
[['Charly Jan', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-06-30']]
[['Thomas Ephestion', 'endMemberOf', 'K. V. C. Westerlo', '2022-06-30']]
[['Ainsley Maitland-Niles', 'endMemberOf', 'A. S. Roma', '2022-06-30']]
[['Lukas Sulaj Kloppenborg', 'endMemberOf', 'Holbæk Cykelsport', '2022-06-30']]
[['Héctor Bellerín', 'endMemberOf', 'Real Betis', '2022-06-30']]
[['Konstantinos Mavropanos', 'endMemberOf', 'VfB Stuttgart', '2022-06-30']]
[['Vedat Muriqi', 'endMemberOf', 'RCD Mallorca', '2022-06-30']]
[['Pau Cendrós', 'endMemberOf', 'CE Campos', '2022-06-30']]
[['Pablo Marí', 'endMemberOf', 'Udinese Calcio', '2022-06-30']]
[['Lago Junior', 'endMemberOf', 'SD Huesca', '2022-06-30']]
[['Lucas Torreira', 'endMemberOf', 'ACF Fiorentina', '2022-06-30']]
[['Albert Bunjaku', 'endMemberOf', 'Bonner SC', '2022-06-30']]
[['Rúnar Alex Rúnarsson', 'endMemberOf', 'Oud-Heverlee Leuven', '2022-06-30']]
[['Elijah Burns', 'startMemberOf', 'Kagoshima Rebnise', '2022-06-30']]
[['Aleksey Nosko', 'startMemberOf', 'FC Maktaaral', '2022-07-01']]
[['Yevgeny Kozel', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-07-01']]
[['Aleksandr Chizh ( footballer, born 2002)', 'startMemberOf', 'FC Osipovichi', '2022-07-01']]
[['University of Gothenburg', 'startMemberOf', 'Eutopia European University', '2022-07-01']]
[['Shahrom Samiev', 'endMemberOf', 'FC Torpedo-BelAZ Zhodino', '2022-07-01']]
[['Pompeu Fabra University', 'startMemberOf', 'Eutopia European University', '2022-07-01']]
[['Laurențiu Brănescu', 'endMemberOf', 'FC Viitorul Constanța', '2022-07-01']]
[['Renan Bressan', 'startMemberOf', 'Vila Nova Futebol Clube', '2022-07-01']]
[['Shokhboz Umarov', 'startMemberOf', 'FC Ordabasy', '2022-07-01']]
[['Benoît Costil', 'startMemberOf', 'AJ Auxerre', '2022-07-01']]
[['Ilyaz Safi', 'startMemberOf', 'FC Orsha', '2022-07-01']]
[['Ko Itakura', 'endMemberOf', 'Manchester City F. C.', '2022-07-01']]
[['Daniil Miroshnikov', 'startMemberOf', 'FC Dynamo Brest', '2022-07-01']]
[['Vadim Crîcimari', 'startMemberOf', 'AFC Dacia Unirea Brăila', '2022-07-01']]
[['Yegor Bogomolsky', 'endMemberOf', 'FC Minsk', '2022-07-01']]
[['Ca\' Foscari University of Venice', 'startMemberOf', 'Eutopia European University', '2022-07-01']]
[['Vadim Crîcimari', 'endMemberOf', 'ASC Oțelul Galați', '2022-07-01']]
[['Toby Alderweireld', 'endMemberOf', 'Al-Duhail SC', '2022-07-01']]
[['Jayden Oosterwolde', 'startMemberOf', 'Parma Calcio 1913', '2022-07-01']]
[['Vasile Buhăescu', 'startMemberOf', 'FC Dinamo București', '2022-07-01']]
[['Laurențiu Brănescu', 'startMemberOf', 'FC Universitatea Cluj', '2022-07-01']]
[['Steve Mandanda', 'endMemberOf', 'Olympique de Marseille', '2022-07-01']]
[['Chidi Osuchukwu', 'startMemberOf', 'FC Tobol', '2022-07-01']]
[['Chidi Osuchukwu', 'endMemberOf', 'FC Turan', '2022-07-01']]
[['Arturo Vidal', 'endMemberOf', 'Inter Milan', '2022-07-01']]
[['Hernán Galíndez', 'endMemberOf', 'Club Universidad de Chile', '2022-07-01']]
[['Robert Riza', 'startMemberOf', 'AFC Chindia Târgoviște', '2022-07-01']]
[['Nemanja Milunović', 'endMemberOf', 'Alanyaspor', '2022-07-01']]
[['Vladislav Lyakh', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-07-01']]
[['Aram Kocharyan', 'startMemberOf', 'FC Vitebsk', '2022-07-01']]
[['University of Ljubljana', 'startMemberOf', 'Eutopia European University', '2022-07-01']]
[['Aleksei Kozlov ( footballer, born 1999)', 'startMemberOf', 'FC Caspiy', '2022-07-01']]
[['Dominik Dinga', 'startMemberOf', 'FC Ordabasy', '2022-07-01']]
[['Jakub Řezníček', 'startMemberOf', 'FC Zbrojovka Brno', '2022-07-01']]
[['Mesut Özil', 'endMemberOf', 'Fenerbahçe S. K. ( football)', '2022-07-01']]
[['Yevgeny Zemko', 'startMemberOf', 'FC Slavia Mozyr', '2022-07-01']]
[['Ellen Jansen', 'endMemberOf', 'Valencia CF Femenino', '2022-07-01']]
[['Sergei Bugriyev', 'endMemberOf', 'FC Vitebsk', '2022-07-01']]
[['Mikalay Zyanko', 'endMemberOf', 'FC Lida', '2022-07-01']]
[['Dzyanis Kavalewski', 'startMemberOf', 'FC Rogachev', '2022-07-01']]
[['Joëlle Smits', 'endMemberOf', 'VfL Wolfsburg ( women)', '2022-07-01']]
[['Yojiro Takahagi', 'startMemberOf', 'Tochigi SC', '2022-07-01']]
[['Pablo Maffeo', 'endMemberOf', 'VfB Stuttgart', '2022-07-01']]
[['Nikita Melnikov ( footballer)', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2022-07-01']]
[['Maksim Zhumabekov', 'startMemberOf', 'FC Vitebsk', '2022-07-01']]
[['Oleksandr Zinchenko ( footballer)', 'endMemberOf', 'Manchester City F. C.', '2022-07-01']]
[['Iina Salmi', 'endMemberOf', 'Valencia CF Femenino', '2022-07-01']]
[['Yuki Kobayashi ( footballer, born 1992)', 'startMemberOf', 'Vissel Kobe', '2022-07-01']]
[['Yuki Kobayashi ( footballer, born 1992)', 'endMemberOf', 'Gangwon FC', '2022-07-01']]
[['Robert Riza', 'endMemberOf', 'FC Astra Giurgiu', '2022-07-01']]
[['Artem Kontsevoy ( footballer, born 1999)', 'startMemberOf', 'FC Dinamo Minsk', '2022-07-01']]
[['Chigozie Udoji', 'startMemberOf', 'Welling United F. C.', '2022-07-01']]
[['José Manuel Copete', 'endMemberOf', 'SD Ponferradina', '2022-07-01']]
[['Shahrom Samiev', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-07-01']]
[['Oleg Yevdokimov', 'endMemberOf', 'FC Minsk', '2022-07-01']]
[['Constantin Dima', 'startMemberOf', 'AFC Chindia Târgoviște', '2022-07-01']]
[['Vrije Universiteit Brussel', 'startMemberOf', 'Eutopia European University', '2022-07-01']]
[['Pavel Baskakov', 'endMemberOf', 'Fc Kronan', '2022-07-01']]
[['Cristiano ( footballer, born 1990)', 'endMemberOf', 'FC Dinamo București', '2022-07-01']]
[['Tajsir Adamčyk', 'endMemberOf', 'FC Minsk', '2022-07-01']]
[['Mikhail Shibun', 'endMemberOf', 'FC Minsk', '2022-07-01']]
[['Aleksandr Shestyuk', 'endMemberOf', 'FK RFS', '2022-07-01']]
[['Aleksandr Shestyuk', 'endMemberOf', 'FC Pari Nizhny Novgorod', '2022-07-01']]
[['Yevhen Bokhashvili', 'endMemberOf', 'Persipura Jayapura', '2022-07-01']]
[['Maksim Lutskiy', 'endMemberOf', 'FC Naftan Novopolotsk', '2022-07-01']]
[['Shaq Moore', 'endMemberOf', 'CD Tenerife', '2022-07-01']]
[['Alexander Domínguez', 'endMemberOf', 'Deportes Tolima', '2022-07-01']]
[['Gleb Rassadkin', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-07-01']]
[['Lumor Agbenyenu', 'endMemberOf', 'Aris Thessaloniki F. C.', '2022-07-01']]
[['Pavel Klenyo', 'endMemberOf', 'FC Minsk', '2022-07-01']]
[['Ángel Di María', 'startMemberOf', 'Juventus F. C.', '2022-07-01']]
[['Cédric Khaleb Kouadio', 'endMemberOf', 'FC Neman Grodno', '2022-07-01']]
[['Yevgeny Kozel', 'endMemberOf', 'FC Dynamo Brest', '2022-07-01']]
[['Kento Hashimoto', 'endMemberOf', 'FC Rostov', '2022-07-01']]
[['Igor Zayats', 'startMemberOf', 'FC Slutsk', '2022-07-01']]
[['Oleg Yevdokimov', 'startMemberOf', 'FC Turan', '2022-07-01']]
[['Aleksandr Poznyak', 'startMemberOf', 'FC Shakhter Karagandy', '2022-07-01']]
[['Mandy van den Berg', 'endMemberOf', 'PSV ( women)', '2022-07-01']]
[['Alexandru Dandea', 'startMemberOf', 'CSC 1599 Șelimbăr', '2022-07-01']]
[['Kento Hashimoto', 'endMemberOf', 'Vissel Kobe', '2022-07-01']]
[['Ritsu Dōan', 'endMemberOf', 'PSV Eindhoven', '2022-07-01']]
[['Dzmitry Rekish', 'endMemberOf', 'FC Samtredia', '2022-07-01']]
[['Arciom Višniak', 'endMemberOf', 'FC Viktoryja Marjina Horka', '2022-07-01']]
[['Abdullah Hassoun', 'endMemberOf', 'Al Ahli Saudi FC', '2022-07-01']]
[['Dzianis Kazloŭski', 'startMemberOf', 'FC Gomel', '2022-07-01']]
[['Dražen Bagarić', 'startMemberOf', 'FC Honka', '2022-07-01']]
[['Yegor Khvalko', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2022-07-01']]
[['Fabricio Agosto', 'endMemberOf', 'Fulham F. C.', '2022-07-01']]
[['Charly Jan', 'startMemberOf', 'FC Martigues', '2022-07-01']]
[['NOVA University Lisbon', 'startMemberOf', 'Eutopia European University', '2022-07-01']]
[['Abdelhamid Sabiri', 'endMemberOf', 'U. C. Sampdoria', '2022-07-01']]
[['Kirill Leonovich', 'endMemberOf', 'FC Neman Grodno', '2022-07-01']]
[['Yegor Generalov', 'startMemberOf', 'FC Minsk', '2022-07-01']]
[['Willian Arão', 'endMemberOf', 'CR Flamengo', '2022-07-01']]
[['Vladimír Brodziansky', 'startMemberOf', 'Bahçeşehir Koleji S. K.', '2022-07-01']]
[['Gareth Bale', 'startMemberOf', 'Los Angeles FC', '2022-07-01']]
[['Maksim Vysotskiy', 'endMemberOf', 'FC Belshina Bobruisk', '2022-07-01']]
[['Katja Snoeijs', 'endMemberOf', 'FC Girondins de Bordeaux ( women)', '2022-07-01']]
[['Cosmin Vâtcă', 'endMemberOf', 'CSC 1599 Șelimbăr', '2022-07-01']]
[['Vlad Rusu', 'endMemberOf', 'ACS Viitorul Târgu Jiu', '2022-07-01']]
[['Gleb Rassadkin', 'endMemberOf', 'FC Vitebsk', '2022-07-01']]
[['TU Dresden', 'startMemberOf', 'Eutopia European University', '2022-07-01']]
[['Anton Susha', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2022-07-01']]
[['Eduard Zhevnerov', 'startMemberOf', 'FC Minsk', '2022-07-01']]
[['Yaroslav Yarotsky', 'endMemberOf', 'FC Vitebsk', '2022-07-01']]
[['Yevhen Bokhashvili', 'startMemberOf', 'Thep Xanh Nam Dinh F. C', '2022-07-01']]
[['Artsyom Vaskow', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2022-07-01']]
[['Robert Primus', 'endMemberOf', 'Aizawl FC', '2022-07-01']]
[['Răzvan Greu', 'endMemberOf', 'AFC Unirea Slobozia', '2022-07-01']]
[['Diego Rossi', 'endMemberOf', 'Los Angeles FC', '2022-07-01']]
[['Bourama Fomba', 'endMemberOf', 'FC Minsk', '2022-07-01']]
[['Bekim Balaj', 'startMemberOf', 'Ankara Keçiörengücü S. K.', '2022-07-01']]
[['Ivan Pešić ( footballer, born 1992)', 'endMemberOf', 'FC Dinamo Minsk', '2022-07-01']]
[['Pavel Zuyevich', 'endMemberOf', 'FC Shakhtyor Petrikov', '2022-07-01']]
[['Inessa Kaagman', 'endMemberOf', 'Brighton & Hove Albion F. C.', '2022-07-01']]
[['Yaroslav Rakitskyi', 'startMemberOf', 'Adana Demirspor', '2022-07-01']]
[['Artem Sukhotskyi', 'endMemberOf', 'FC Chornomorets Odesa', '2022-07-01']]
[['Albin Ekdal', 'endMemberOf', 'U. C. Sampdoria', '2022-07-01']]
[['Nikita Supranovich', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-07-01']]
[['Pavel Dolgov', 'startMemberOf', 'FC Atyrau', '2022-07-01']]
[['Lukas Sulaj Kloppenborg', 'startMemberOf', 'Restaurant Suri– Carl Ras', '2022-07-01']]
[['Andrej Lieŭkaviec', 'endMemberOf', 'FK Khujand', '2022-07-01']]
[['University of Warwick', 'startMemberOf', 'Eutopia European University', '2022-07-01']]
[['Dzmitry Baradzin', 'endMemberOf', 'FC Dinamo Minsk', '2022-07-01']]
[['Kensuke Nagai', 'endMemberOf', 'FC Tokyo', '2022-07-01']]
[['Ignatiy Sidor', 'endMemberOf', 'FK Khujand', '2022-07-01']]
[['Ilya Belous', 'startMemberOf', 'FC Belshina Bobruisk', '2022-07-01']]
[['Thomas Ephestion', 'startMemberOf', 'RWDM47', '2022-07-01']]
[['Anton Putsila', 'startMemberOf', 'FC Dinamo Minsk', '2022-07-02']]
[['Ömer Toprak', 'startMemberOf', 'Turkey national football team', '2022-07-02']]
[['Sergey Duboyenko', 'startMemberOf', 'FC Viktoryja Marjina Horka', '2022-07-02']]
[['Ilya Zatenko', 'startMemberOf', 'Fc Homieĺski Dosliedny Liashas', '2022-07-03']]
[['Samir Ramizi', 'startMemberOf', 'FC Winterthur', '2022-07-04']]
[['Sofija Medić', 'startMemberOf', 'Panathinaikos women\' s volleyball', '2022-07-05']]
[['Nemanja Nedović', 'endMemberOf', 'Panathinaikos B. C.', '2022-07-06']]
[['Daryl Macon', 'endMemberOf', 'Panathinaikos B. C.', '2022-07-08']]
[['Julie Blakstad', 'startMemberOf', 'Norway women\' s national football team', '2022-07-09']]
[['Anna Jøsendal', 'startMemberOf', 'Norway women\' s national football team', '2022-07-09']]
[['Julie Blakstad', 'startMemberOf', 'Manchester City W. F. C.', '2022-07-09']]
[['Elisabeth Terland', 'startMemberOf', 'Norway women\' s national football team', '2022-07-10']]
[['Carlos David', 'endMemberOf', 'Hércules CF', '2022-07-12']]
[['Rubén Yáñez', 'startMemberOf', 'Getafe CF', '2022-07-13']]
[['Dominik Górak', 'endMemberOf', 'HRE Mazowsze Serce Polski', '2022-07-14']]
[['Joshua King ( footballer)', 'startMemberOf', 'Norway national football team', '2022-07-14']]
[['Ioannis Papapetrou', 'endMemberOf', 'Panathinaikos B. C.', '2022-07-15']]
[['Willian Arão', 'startMemberOf', 'Brazil national football team generic instance', '2022-07-18']]
[['Raphaël Gerbeaud', 'startMemberOf', 'Saint-Pryvé Saint-Hilaire FC', '2022-07-20']]
[['İlyas Akan', 'startMemberOf', 'Amed S. F. K.', '2022-07-21']]
[['Kim Min-jae ( footballer)', 'endMemberOf', 'Fenerbahçe S. K. ( football)', '2022-07-22']]
[['Vedat Muriqi', 'endMemberOf', 'S. S. Lazio', '2022-07-22']]
[['Predrag Rajković', 'endMemberOf', 'Stade de Reims', '2022-07-22']]
[['Aleksandr Mrinsky', 'startMemberOf', 'Fc Kolas Červień', '2022-07-23']]
[['Aaron Ramsey', 'endMemberOf', 'Juventus F. C.', '2022-07-26']]
[['Rodrigo Battaglia', 'endMemberOf', 'Sporting CP', '2022-07-29']]
[['Anton Kijko', 'startMemberOf', 'FC Viktoryja Marjina Horka', '2022-07-30']]
[['Marceli Bogusławski', 'endMemberOf', 'HRE Mazowsze Serce Polski', '2022-07-31']]
[['Igor Chzhan', 'endMemberOf', 'Almaty Cycling Team', '2022-07-31']]
[['Laurens Sweeck', 'endMemberOf', 'Pauwels Sauzen– Bingoal', '2022-07-31']]
[['Mame Thiam', 'startMemberOf', 'Senegal national football team generic instance', '2022-07-31']]
[['Dries De Pooter', 'endMemberOf', 'Hagens Berman Axeon', '2022-07-31']]
[['Anders Foldager', 'endMemberOf', 'Biesse Arvedi', '2022-07-31']]
[['Sebastián Henao', 'endMemberOf', 'Astana Qazaqstan Team', '2022-07-31']]
[['Andrea Piccolo', 'endMemberOf', 'GW Shimano– Sidermec', '2022-07-31']]
[['João Pedro ( footballer, born 1992)', 'startMemberOf', 'Italy national football team', '2022-07-31']]
[['Kasper Andersen ( cyclist)', 'endMemberOf', 'Hagens Berman Axeon', '2022-07-31']]
[['Florentin Lecamus-Lambert', 'endMemberOf', 'Vc Rouen 76', '2022-07-31']]
[['Florian Dauphin', 'endMemberOf', 'Vc Pays De Loudéac', '2022-07-31']]
[['Oleksandr Nasonov', 'startMemberOf', 'Pakhtakor Tashkent FK', '2022-08-01']]
[['Brigid Heywood', 'endWorksFor', 'University of New England ( Australia)', '2022-08-01']]
[['Vadim Crîcimari', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-08-01']]
[['Syarhey Kandratsyew', 'startMemberOf', 'Fc Vialies-2020', '2022-08-01']]
[['Igor Chzhan', 'startMemberOf', 'Astana Qazaqstan Team', '2022-08-01']]
[['Griffith University', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Robert Riza', 'endMemberOf', 'AFC Chindia Târgoviște', '2022-08-01']]
[['Vladislav Fedosov', 'startMemberOf', 'FC Volna Pinsk', '2022-08-01']]
[['Kasper Andersen ( cyclist)', 'startMemberOf', 'UAE Team Emirates', '2022-08-01']]
[['Brett M U002E Morris', 'endWorksFor', 'University of Bern', '2022-08-01']]
[['Marc Bartra', 'endMemberOf', 'Real Betis', '2022-08-01']]
[['Alyaksandr Aleksandrovich', 'startMemberOf', 'FC Belshina Bobruisk', '2022-08-01']]
[['Oleksandr Noyok', 'endMemberOf', 'Apollon Limassol FC', '2022-08-01']]
[['Yevhen Bokhashvili', 'startMemberOf', 'ASC Oțelul Galați', '2022-08-01']]
[['Aleksa Matić ( footballer, born 2002)', 'startMemberOf', 'FC Minsk', '2022-08-01']]
[['Pavel Pavlyuchenko', 'startMemberOf', 'Bruk-Bet Termalica Nieciecza', '2022-08-01']]
[['João Amorim ( footballer, born February 1992)', 'endMemberOf', 'F. C. Penafiel', '2022-08-01']]
[['CSIRO', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Nikita Nikolayevich', 'endMemberOf', 'PFC Slavia Sofia', '2022-08-01']]
[['Artem Dzyuba', 'startMemberOf', 'Adana Demirspor', '2022-08-01']]
[['Lucas Paquetá', 'endMemberOf', 'Olympique Lyonnais', '2022-08-01']]
[['University of New South Wales', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Andrej Lieŭkaviec', 'startMemberOf', 'FC Minsk', '2022-08-01']]
[['Robert Riza', 'startMemberOf', 'CSC 1599 Șelimbăr', '2022-08-01']]
[['Yamoussa Camara ( footballer)', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-08-01']]
[['Renato Sanches', 'endMemberOf', 'Lille OSC', '2022-08-01']]
[['Florentin Lecamus-Lambert', 'startMemberOf', 'Cofidis ( cycling team)', '2022-08-01']]
[['Plamen Iliev ( footballer, born 1991)', 'endMemberOf', 'FC Hermannstadt', '2022-08-01']]
[['Katja Snoeijs', 'startMemberOf', 'Everton F. C. ( women)', '2022-08-01']]
[['Pavel Golovenko', 'endMemberOf', 'Fc Žodzina-Paŭdniovaje', '2022-08-01']]
[['Edith Cowan University', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Mu Kanazaki', 'startMemberOf', 'Oita Trinita', '2022-08-01']]
[['Andrey Lebedzew', 'startMemberOf', 'FC Minsk', '2022-08-01']]
[['Oleksandr Kapliyenko', 'endMemberOf', 'FK Auda', '2022-08-01']]
[['David Tweh', 'endMemberOf', 'FC Rukh Brest', '2022-08-01']]
[['Sigitas Olberkis', 'endMemberOf', 'Dalkurd FF', '2022-08-01']]
[['Samuel Zimța', 'endMemberOf', 'FC Zimbru Chișinău', '2022-08-01']]
[['Andriy Yakovlyev', 'startMemberOf', 'Terracina Calcio 1925', '2022-08-01']]
[['Australian National University', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Maruschka Waldus', 'endMemberOf', 'PSV ( women)', '2022-08-01']]
[['Yegor Kudinov', 'endMemberOf', 'FC Shakhtyor Petrikov', '2022-08-01']]
[['Florian Dauphin', 'startMemberOf', 'B& B Hotels– KTM', '2022-08-01']]
[['University of Sydney', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Mario Balotelli', 'endMemberOf', 'Adana Demirspor', '2022-08-01']]
[['Christian Benteke', 'endMemberOf', 'Crystal Palace F. C.', '2022-08-01']]
[['Daniil Kovalev', 'startMemberOf', 'FC Orsha', '2022-08-01']]
[['Frédéric Veseli', 'endMemberOf', 'U. S. Salernitana 1919', '2022-08-01']]
[['Răzvan Greu', 'startMemberOf', 'FC Unirea Dej', '2022-08-01']]
[['University of Tasmania', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Queensland University of Technology', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Mathew Ryan', 'endMemberOf', 'Real Sociedad', '2022-08-01']]
[['Salvatore Sirigu', 'startMemberOf', 'S. S. C. Napoli', '2022-08-01']]
[['Josip Iličić', 'endMemberOf', 'Atalanta B. C.', '2022-08-01']]
[['Curtin University', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Mathew Ryan', 'startMemberOf', 'F. C. Copenhagen', '2022-08-01']]
[['University of Western Australia', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Swinburne University of Technology', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['University of Adelaide', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Realdo Fili', 'startMemberOf', 'FC Chornomorets Odesa', '2022-08-01']]
[['Yevhen Bokhashvili', 'endMemberOf', 'Thep Xanh Nam Dinh F. C', '2022-08-01']]
[['Layonel Adams', 'endMemberOf', 'FK Budućnost Podgorica', '2022-08-01']]
[['University of Queensland', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Macquarie University', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Evgheni Oancea', 'endMemberOf', 'FC Noah', '2022-08-01']]
[['German Barkovskiy', 'endMemberOf', 'FC Isloch Minsk Raion', '2022-08-01']]
[['Arnór Ingvi Traustason', 'endMemberOf', 'New England Revolution', '2022-08-01']]
[['Alexis Sánchez', 'endMemberOf', 'Inter Milan', '2022-08-01']]
[['Kehinde Fatai', 'startMemberOf', 'FC Turan', '2022-08-01']]
[['Zoran Josipovic', 'startMemberOf', 'FC Dinamo Minsk', '2022-08-01']]
[['University of Melbourne', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Marceli Bogusławski', 'startMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2022-08-01']]
[['Monash University', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['German Barkovskiy', 'endMemberOf', 'FC Rukh Brest', '2022-08-01']]
[['Daniel Wass', 'endMemberOf', 'Atlético Madrid', '2022-08-01']]
[['João Amorim ( footballer, born February 1992)', 'startMemberOf', 'FC Brașov ( 2021)', '2022-08-01']]
[['Bernd Leno', 'endMemberOf', 'Arsenal F. C.', '2022-08-01']]
[['Alexander Isak', 'endMemberOf', 'Real Sociedad', '2022-08-01']]
[['Evgheni Oancea', 'startMemberOf', 'CS Concordia Chiajna', '2022-08-01']]
[['Aleksandr Bulychyov', 'endMemberOf', 'FC Dynamo Brest', '2022-08-01']]
[['Flinders University', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Oleg Pliyev', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-08-01']]
[['Matteo Malucelli', 'startMemberOf', 'China Glory Continental Cycling Team', '2022-08-01']]
[['Richard Keogh', 'endMemberOf', 'Blackpool F. C.', '2022-08-01']]
[['Tomáš Pekhart', 'startMemberOf', 'Gaziantep F. K.', '2022-08-01']]
[['University of Technology Sydney', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['University of South Australia', 'startMemberOf', 'Australian Research Data Commons', '2022-08-01']]
[['Jordan Lukaku', 'startMemberOf', 'SD Ponferradina', '2022-08-01']]
