[['Ruth Davis (basketball)', 'award', 'Pac-12 Conference Women\'s Basketball Player of the Year', '2015-01-01']]
[['Pilar Bernal-Bayard', 'startWorksFor', 'Institute Of Plant Biochemistry And Photosynthesis', '2016-06-16']]
[['Byaroza District', 'startLeader', 'Leanid Martyniuk', '2016-06-15']]
[['Alexander B Harris', 'startWorksFor', 'New York City Department of Health and Mental Hygiene', '2016-06-20']]
[['Subramanian Muthukumar', 'startWorksFor', 'Sri Balaji Vidyapeeth University', '2016-06-06']]
[['Osica de Sus', 'startLeader', 'Cezar Filip', '2016-06-01']]
[['Nicole K Rendos', 'startWorksFor', 'Florida International University', '2016-06-01']]
[['Bang C Huynh', 'startWorksFor', 'École Polytechnique Fédérale de Lausanne', '2016-06-20']]
[['Alina Kirillova', 'endWorksFor', 'Leibniz Institute for Polymer Research', '2016-06-30']]
[['Anna Wodzińska', 'startAcademicDegree', 'Habilitation', '2016-06-22']]
[['Marco Ginzel', 'startWorksFor', 'University Hospital Leipzig', '2016-06-01']]
[['Michaela A U Hoesl', 'endWorksFor', 'University Medical Center Utrecht', '2016-06-30']]
[['András Horváth', 'startWorksFor', 'Chemical Research Center of the Hungarian Academy of Sciences', '2016-06-01']]
[['Dong-Hoon Lee', 'startWorksFor', 'Yonsei University', '2016-06-01']]
[['Robert Gałązkowski', 'startAcademicDegree', 'Habilitation', '2016-06-07']]
[['Sang T Pham', 'startWorksFor', 'UOP LLC', '2016-06-01']]
[['Michael J Tatterton', 'endWorksFor', 'University of York', '2016-06-01']]
[['Alessandro Marco De Nunzio', 'startWorksFor', 'University of Birmingham', '2016-06-01']]
[['Sprâncenata', 'startLeader', 'Marin Mihăeșteanu', '2016-06-01']]
[['Yuhang Song', 'startWorksFor', 'Beihang University', '2016-06-01']]
[['Anna L Gosling', 'endWorksFor', 'University of Otago', '2016-06-10']]
[['Mandaluyong', 'startLeader', 'Carmelita Abalos', '2016-06-30']]
[['Martha Fleming', 'endWorksFor', 'University of Reading', '2016-06-15']]
[['Cites', 'startActor', 'Paula Malia', '2016-06-06']]
[['Yi Cao', 'endWorksFor', 'University of Essex', '2016-06-01']]
[['Davao del Sur', 'startLeader', 'Douglas Cagas', '2016-06-30']]
[['Andrew Scipione', 'award', 'Officer Of The Order Of Australia', '2016-06-13']]
[['Magdalena Żemojtel-Piotrowska', 'startAcademicDegree', 'Habilitation', '2016-06-16']]
[['ING Australia', 'startLeader', 'Uday Sareen', '2016-06-01']]
[['Farid Díaz', 'startMemberOf', 'Atlético Nacional', '2016-06-08']]
[['Jagath C Ranasinghe', 'endWorksFor', 'National Hospital (Teaching), Kandy', '2016-06-30']]
[['Sergio Mattarella', 'award', 'Collar Of The Order Of The Star Of Romania', '2016-06-11']]
[['Joyjit Kundu', 'endWorksFor', 'Lawrence Berkeley National Laboratory', '2017-06-26']]
[['Emilia Kłoda', 'startAcademicDegree', 'Doctorate', '2017-06-28']]
[['Nan Sethakorn', 'endWorksFor', 'University of Wisconsin–Madison', '2017-06-01']]
[['Filipe Teixeira', 'startMemberOf', 'FCSB', '2017-06-23']]
[['Gurunathan Thangavel', 'endWorksFor', 'Ulsan National Institute of Science and Technology', '2017-06-30']]
[['Oldřich Bajer', 'startOwns', 'Zoot', '2017-06-20']]
[['Paul L Ornstein', 'endWorksFor', 'Roosevelt University', '2017-06-30']]
[['Shria Kumar', 'endWorksFor', 'Columbia University Irving Medical Center', '2017-06-13']]
[['Milica I Petkovic', 'endWorksFor', 'University of Niš', '2017-06-01']]
[['Kostiantyn Bryl', 'startAcademicDegree', 'Doctor of Juridical Science', '2017-06-26']]
[['Nandimalla Vishnu', 'endWorksFor', 'IIT Delhi', '2017-06-01']]
[['Nepal', 'endLeader', 'Pushpa Kamal Dahal', '2017-06-07']]
[['Agglomeration community of Le Havre', 'startLeader', 'Luc Lemonnier', '2017-06-25']]
[['Mohamed Bennasar', 'endWorksFor', 'Cardiff University', '2017-06-30']]
[['Mimmi Bjöersdorff', 'endWorksFor', 'Linköping University Hospital', '2017-06-14']]
[['Thomas P Senftle', 'endWorksFor', 'Princeton University', '2017-06-30']]
[['Sara Livazovic', 'endWorksFor', 'King Abdullah University of Science and Technology', '2017-06-30']]
[['David K Moss', 'endWorksFor', 'Vassar College', '2017-06-30']]
[['Peter Quinn (admiral)', 'award', 'Member Of The Order Of Australia', '2018-06-11']]
[['Luay Anaya', 'endWorksFor', 'Palestine Technical University – Kadoorie', '2018-06-01']]
[['Lisa Doorn', 'startMemberOf', 'AFC Ajax (women)', '2018-06-01']]
[['Nathan A Bihlmeyer', 'endWorksFor', 'Massachusetts General Hospital', '2018-06-08']]
[['Intel', 'startLeader', 'Bob Swan', '2018-06-21']]
[['Jammu and Kashmir (state)', 'endLeader', 'Mehbooba Mufti', '2018-06-20']]
[['Shuting Li', 'endWorksFor', 'Shanghai Institutes for Biological Sciences', '2018-06-01']]
[['Aisha N Bismillah', 'endWorksFor', 'University of Southern California', '2018-06-17']]
[['Hai Qian', 'endWorksFor', 'Dartmouth College', '2018-06-01']]
[['Kevin Engelhardt', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2018-06-30']]
[['Andero Uusberg', 'endWorksFor', 'Stanford University', '2018-06-01']]
[['Blazej Misiak', 'startAcademicDegree', 'Habilitation', '2018-06-21']]
[['Taiwan Provincial Government', 'endLeader', 'Wu Tze-cheng', '2018-06-30']]
[['Sang Won Jung', 'endWorksFor', 'Daegu Gyeongbuk Institute of Science and Technology', '2018-06-21']]
[['Shivani Gupta', 'endWorksFor', 'Saint Louis University', '2018-06-01']]
[['First Conte government', 'startLeader', 'Giuseppe Conte', '2018-06-01']]
[['Andrzej Białkiewicz', 'startAcademicDegree', 'Scientific Professorship Degree', '2018-06-20']]
[['Bismarck, North Dakota', 'startLeader', 'Steve Bakken', '2018-06-26']]
[['Joachim Gauck', 'award', 'Reinhard Mohn Prize', '2018-06-07']]
[['Maggi A Price', 'endWorksFor', 'Yale School of Medicine', '2018-06-30']]
[['Orbital Atk', 'endLeader', 'David W. Thompson', '2018-06-30']]
[['Abhijeet Singh', 'endWorksFor', 'All India Institute of Medical Sciences, New Delhi', '2018-06-01']]
[['Oscar Garcia-Valencia', 'endWorksFor', 'Mayo Clinic', '2019-06-23']]
[['Megan-Jane Johnstone', 'award', 'Officer Of The Order Of Australia', '2019-06-10']]
[['Université de l\'Ontario français', 'endLeader', 'Normand Labrie', '2019-06-01']]
[['Piotr Bajda', 'startAcademicDegree', 'Habilitation', '2019-06-03']]
[['Jennifer Coias', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2019-06-30']]
[['Eleanor Wilson', 'endWorksFor', 'Institute of Human Virology', '2019-06-30']]
[['Ibraheem Ali', 'endWorksFor', 'Gladstone Institutes', '2019-06-27']]
[['Norwegian Police Security Service', 'startLeader', 'Hans Sverre Sjøvold', '2019-06-01']]
[['Pamplona', 'endLeader', 'Joseba Asirón', '2019-06-15']]
[['Dowdupont', 'endLeader', 'Edward D. Breen', '2019-06-01']]
[['Orestes Solis', 'endWorksFor', 'University of Rochester', '2019-06-30']]
[['Kaylin V Dance', 'endWorksFor', 'Emory University', '2019-06-23']]
[['Asrar Ahmad', 'endWorksFor', 'Jefferson Abington Hospital', '2019-06-23']]
[['Maree Smith', 'award', 'Companion Of The Order Of Australia', '2019-06-10']]
[['Tomos Walters', 'endWorksFor', 'University of California, San Francisco', '2019-06-30']]
[['Adam Bodnar', 'startAcademicDegree', 'Habilitation', '2019-06-17']]
[['Save the Children', 'endLeader', 'Helle Thorning-Schmidt', '2019-06-01']]
[['Banu Iyisan', 'endWorksFor', 'Max Planck Institute for Polymer Research', '2020-06-01']]
[['Jaap D Zindler', 'endWorksFor', 'Erasmus MC', '2020-06-30']]
[['Sayonara Wild Hearts', 'award', 'Apple Design Award', '2020-06-29']]
[['Suzanne Crowe', 'award', 'Officer Of The Order Of Australia', '2020-06-07']]
[['Sarah Medland', 'award', 'Medal Of The Order Of Australia', '2020-06-07']]
[['Belley', 'endLeader', 'Pierre Berthet', '2020-06-27']]
[['Le Havre Seine Métropole', 'endLeader', 'Luc Lemonnier', '2020-06-28']]
[['Robert Mcgowan', 'award', 'Queen\'s Service Medal', '2020-06-01']]
[['Ipsen', 'endLeader', 'Aymeric Le Chatelier', '2020-06-30']]
[['Ugur Sener', 'endWorksFor', 'Memorial Sloan Kettering Cancer Center', '2020-06-30']]
[['Institut Ėkologii Volzhskogo Basseĭna', 'endLeader', 'Sergey Saksonov', '2020-06-01']]
[['Martyna Kobus', 'startAcademicDegree', 'Habilitation', '2020-06-25']]
[['First Kurti cabinet', 'endLeader', 'Albin Kurti', '2020-06-03']]
[['Kaohsiung', 'endLeader', 'Han Kuo-yu', '2020-06-12']]
[['Mitchell L Worley', 'endWorksFor', 'Medical University of South Carolina', '2020-06-01']]
[['North Shore Community College', 'startMemberOf', 'Community College Consortium for Open Educational Resources', '2020-06-01']]
[['Rodrigo Vizeu Klautau De Amorim', 'endNotableWork', 'Café Da Manhã', '2020-06-12']]
[['Michael Clarke (cricketer)', 'award', 'Officer Of The Order Of Australia', '2020-06-07']]
[['Mara Lisa Alves', 'endWorksFor', 'Itqb Nova', '2020-06-30']]
[['Tiago De Matos Gomes', 'startMemberOf', 'Volt Portugal', '2020-06-25']]
[['Danielle S. W. De Jonge', 'endWorksFor', 'Royal Netherlands Institute for Sea Research', '2020-06-15']]
[['College of Southern Nevada', 'startMemberOf', 'Community College Consortium for Open Educational Resources', '2020-06-01']]
[['Kosovo', 'endLeader', 'Albin Kurti', '2020-06-03']]
[['Simone Ciambelli', 'startAcademicDegree', 'Doctor of Philosophy', '2020-06-24']]
[['André Cardoso', 'startMemberOf', 'Efapel Cycling', '2021-06-27']]
[['Valerio Pace', 'endWorksFor', 'Royal National Orthopaedic Hospital', '2021-06-01']]
[['Franziska Giffey', 'endAcademicDegree', 'Doctor Of Political Science', '2021-06-10']]
[['Le Mont-sur-Lausanne', 'endLeader', 'Jean-Pierre Sueur', '2021-06-30']]
[['Plan International', 'endLeader', 'Anne-Birgitte Albrectsen', '2021-06-01']]
[['Ciudad Real', 'endLeader', 'Pilar Zamora', '2021-06-18']]
[['Shanxi', 'endLeader', 'Lin Wu', '2021-06-01']]
[['Lacey Wallace', 'award', 'Fellow Of The Society Of Antiquaries', '2021-06-24']]
[['Filip Prokopyszyn', 'startMemberOf', 'Voster ATS Team', '2022-06-15']]
[['Alejandro Valenzuela', 'endWorksFor', 'University of the Balearic Islands', '2022-06-29']]
[['Christophe Beaux', 'award', 'Officer Of The National Order Of Merit', '2022-06-20']]
[['Magdalena Żemojtel-Piotrowska', 'startAcademicDegree', 'Scientific Professorship Degree', '2022-06-01']]
[['Evelyne Heyer', 'award', 'Officer Of The National Order Of Merit', '2022-06-20']]
[['Ncamiso B Khanyile', 'startWorksFor', 'Stellenbosch University', '2015-07-15']]
[['Kelsey A Rankin', 'startWorksFor', 'Brigham and Women\'s Hospital', '2015-07-01']]
[['Balamurugan Srinivasan', 'startWorksFor', 'Jinan University', '2015-07-16']]
[['Connor Forbes', 'startWorksFor', 'University of British Columbia', '2015-07-01']]
[['Subramanian Muthukumar', 'startWorksFor', 'Bharathidasan University', '2015-07-21']]
[['Lauren M Schwartz', 'startWorksFor', 'University of Arkansas', '2015-07-13']]
[['Stephany Flores Ramos', 'startWorksFor', 'Amherst College', '2015-07-01']]
[['Thomas A Duda', 'startWorksFor', 'Baylor College of Medicine', '2015-07-01']]
[['Bharat A Panuganti', 'startWorksFor', 'University of California, San Diego', '2015-07-02']]
[['Ana Costa', 'startWorksFor', 'Faculty Of Medicine Of The University Of Porto', '2015-07-27']]
[['Ladina Vonzun', 'startWorksFor', 'University of Zurich', '2015-07-01']]
[['Kuang-Hsu Wu', 'startWorksFor', 'Institute Of Metals Research', '2015-07-06']]
[['Michel Rocard', 'award', 'Grand Cross Of The Legion Of Honour', '2015-07-14']]
[['Colleen M Johnston', 'startWorksFor', 'University of the Sunshine Coast', '2015-07-13']]
[['Sardar Malek', 'startWorksFor', 'Massachusetts Institute of Technology', '2015-07-20']]
[['Bharath Kumar Tirupakuzhi Vijayaraghavan', 'startWorksFor', 'Sunnybrook Health Sciences Centre', '2015-07-08']]
[['Robert Fritze', 'endWorksFor', 'Medical University of Vienna', '2015-07-31']]
[['Santanu Bhattacharyya', 'endWorksFor', 'IMDEA Nanoscience Institute', '2015-07-01']]
[['Liang Chen', 'startWorksFor', 'George Mason University', '2015-07-01']]
[['Sollentuna Municipality', 'startLeader', 'Anna-Lena Johansson', '2015-07-11']]
[['John Peter Merryman Boncori', 'startWorksFor', 'Sarmap (Switzerland)', '2015-07-01']]
[['Jin-Xin Zhao', 'startWorksFor', 'Shanghai Institute Of Materia Medica', '2015-07-01']]
[['Kirill Gorshkov', 'startWorksFor', 'Eli Lilly and Company', '2015-07-20']]
[['Maria E K Lie', 'endWorksFor', 'University of Otago', '2015-07-22']]
[['Boeing', 'startLeader', 'Dennis Muilenburg', '2015-07-01']]
[['Katarzyna Juda-Rezler', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-07-17']]
[['Stanisław Bieleń', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-07-28']]
[['Anna Brożek', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-07-28']]
[['Chelyabinsk', 'startLeader', 'Yevgeny Teftelev', '2015-07-28']]
[['Hans-Olaf Henkel', 'startMemberOf', 'Liberal Conservative Reformers', '2015-07-01']]
[['Ethan D Borre', 'startWorksFor', 'Massachusetts General Hospital', '2015-07-01']]
[['Kris Jenner', 'startNotableWork', 'I Am Cait', '2015-07-26']]
[['Richeal Ni Riordain', 'endWorksFor', 'Newham University Hospital', '2015-07-01']]
[['Maryam Nikkhou', 'startWorksFor', 'Jožef Stefan Institute', '2015-07-14']]
[['Ming Wang', 'startWorksFor', 'Huawei', '2015-07-01']]
[['Soumav Nath', 'endWorksFor', 'Savitribai Phule Pune University', '2015-07-01']]
[['Albeștii de Muscel', 'startLeader', 'Cătălin Manta', '2016-07-01']]
[['Bartolomeo Pantò', 'endWorksFor', 'University of Catania', '2016-07-01']]
[['Gustavo Bravo Ruiz', 'startWorksFor', 'University of Kent', '2016-07-01']]
[['Daniel Ene', 'startMemberOf', 'Sepsi OSK Sfântu Gheorghe', '2016-07-01']]
[['Captain America: Civil War', 'award', 'Teen Choice Award for Choice Movie – Sci-Fi u002F Fantasy', '2016-07-31']]
[['Shekinah Elmore', 'endWorksFor', 'Brigham and Women\'s Hospital', '2016-07-01']]
[['Enrique Peña Nieto', 'award', 'Knight Grand Cross With Collar Of The Order Of Merit Of The Italian Republic', '2016-07-21']]
[['Brandon Mason', 'startMemberOf', 'Watford F.C.', '2016-07-01']]
[['Rio Tinto (corporation)', 'startLeader', 'Jean-Sébastien Jacques', '2016-07-01']]
[['Ryan J. Watson', 'endWorksFor', 'University of British Columbia', '2016-07-31']]
[['Brady Haran', 'startAcademicDegree', 'Doctor of Letters', '2016-07-20']]
[['Andrea Montanino', 'startWorksFor', 'Polytechnic University of Milan', '2016-07-01']]
[['Henrik O\'Brien', 'startWorksFor', 'University of Utah', '2016-07-01']]
[['Robot Wars (TV series)', 'startActor', 'Sethu Vijayakumar', '2016-07-24']]
[['Emma A Roberts', 'startWorksFor', 'Dana–Farber Cancer Institute', '2016-07-01']]
[['Chuangyan Zhai', 'endWorksFor', 'Medical University of Innsbruck', '2016-07-31']]
[['Gaël Dubus', 'endWorksFor', 'IRCAM', '2016-07-31']]
[['Ciro Marangoni', 'startWorksFor', 'Azienda Usl Di Bologna', '2016-07-01']]
[['Sung Jun Joo', 'startWorksFor', 'University of Washington', '2016-07-01']]
[['Christopher R Hoffman', 'startWorksFor', 'Hahnemann University Hospital', '2016-07-01']]
[['Wee-Jun Ong', 'startWorksFor', 'Agency for Science, Technology and Research', '2016-07-01']]
[['Polly Lohmann', 'startAcademicDegree', 'Doctorate', '2016-07-01']]
[['Montreux', 'startLeader', 'Laurent Wehrli', '2016-07-01']]
[['Larry M. York', 'endWorksFor', 'University of Nottingham', '2016-07-01']]
[['Dayeon Shin', 'startWorksFor', 'University of North Dakota', '2016-07-01']]
[['Robot Wars (TV series)', 'startActor', 'Lucy Rogers', '2016-07-24']]
[['Pascal Mailhos', 'award', 'Officer Of The Order Of Maritime Merit', '2017-07-28']]
[['New Caledonian Armed Forces', 'endLeader', 'Philippe Léonard', '2017-07-31']]
[['Bruay-la-Buissière', 'startLeader', 'Olivier Switaj', '2017-07-01']]
[['Lauren Beach', 'endWorksFor', 'Vanderbilt University Medical Center', '2017-07-31']]
[['Kulan', 'startLeader', 'Bracha Barad', '2017-07-01']]
[['Fabian Dablander', 'endWorksFor', 'Mercedes-Benz Group', '2017-07-01']]
[['Rokas Krušnauskas', 'startMemberOf', 'FK Banga Gargždai', '2017-07-01']]
[['Marco Cosme', 'endWorksFor', 'Utrecht University', '2017-07-31']]
[['Yan Yang', 'startWorksFor', 'Houston Methodist Research Institute', '2017-07-08']]
[['Carillion', 'startLeader', 'Keith Cochrane', '2017-07-10']]
[['Claudia K. Scheuter', 'endWorksFor', 'Inselspital', '2017-07-31']]
[['Fabio Carrara', 'endWorksFor', 'University of Pisa', '2017-07-22']]
[['Jiayang Chen', 'endWorksFor', 'Fudan University', '2017-07-01']]
[['Ma Weiming', 'award', 'August 1 Medal', '2017-07-28']]
[['Alvaro M Plominsky', 'endWorksFor', 'University of Concepción', '2017-07-30']]
[['Farid El Kasmi', 'endWorksFor', 'University of North Carolina at Chapel Hill', '2017-07-31']]
[['Willies, Nord', 'startLeader', 'Bruno Lallemant', '2017-07-26']]
[['Arghya Kundu Choudhury', 'startWorksFor', 'All India Institute of Medical Sciences, Rishikesh', '2017-07-01']]
[['Linna Sai', 'startWorksFor', 'Open University', '2017-07-01']]
[['Elisa Ruffo', 'startWorksFor', 'Vita-Salute San Raffaele University', '2017-07-01']]
[['Samar Soliman', 'endWorksFor', 'University of Houston', '2017-07-25']]
[['Chris David (footballer)', 'startMemberOf', 'FC Utrecht', '2017-07-01']]
[['Giuseppe Leonardi', 'endWorksFor', 'Adam Mickiewicz University in Poznań', '2017-07-31']]
[['Alvaro Galdos', 'endWorksFor', 'Federal University of Mato Grosso', '2017-07-02']]
[['Bruno Gonfiotti', 'startWorksFor', 'University of Pisa', '2017-07-01']]
[['Yang Zhao', 'startWorksFor', 'Southern Medical University', '2017-07-30']]
[['Philip Maurer', 'endWorksFor', 'RWTH Aachen University', '2017-07-01']]
[['Ramón Alain Miranda-Quintana', 'startWorksFor', 'McMaster University', '2017-07-01']]
[['Gilberto Ochoa-Ruiz', 'startWorksFor', 'Universidad Autónoma de Guadalajara', '2017-07-03']]
[['Subramaniyan Mannathan', 'endWorksFor', 'SRM Institute of Science and Technology', '2017-07-23']]
[['Cristina Figueras-Puig', 'endWorksFor', 'Pompeu Fabra University', '2017-07-01']]
[['Mohammad Rahanur Alam', 'startWorksFor', 'Primeasia University', '2018-07-01']]
[['Vladimir Susler', 'startMemberOf', 'Association Sportive De Villeurbanne Et De L\'Éveil Lyonnais Rugby', '2018-07-01']]
[['Université de l\'Ontario français', 'startLeader', 'Normand Labrie', '2018-07-01']]
[['Carlos Calderon', 'endWorksFor', 'European Commission', '2018-07-08']]
[['Anna Walkowiak', 'startAcademicDegree', 'Doctorate', '2018-07-11']]
[['Alex Farrell', 'endWorksFor', 'North Carolina State University', '2018-07-20']]
[['Ahmad Hallak', 'startWorksFor', 'Charleston Area Medical Center', '2018-07-01']]
[['Geolani W. Dy', 'startWorksFor', 'NYU Langone Health', '2018-07-01']]
[['Yohan Cabaye', 'startMemberOf', 'Al-Nasr SC (Dubai)', '2018-07-01']]
[['Ulrich Gerwig', 'endWorksFor', 'Spital Limmattal', '2018-07-31']]
[['Chrysler', 'startLeader', 'Michael Manley (CEO)', '2018-07-21']]
[['Bryan G Victor', 'endWorksFor', 'University of Michigan', '2018-07-31']]
[['Akin Famewo', 'startMemberOf', 'Grimsby Town F.C.', '2018-07-06']]
[['Eric J. Chow', 'startWorksFor', 'Centers for Disease Control and Prevention', '2018-07-01']]
[['Jennifer Mcfaline-Figueroa', 'endWorksFor', 'Georgia State University', '2018-07-01']]
[['Paul Jerabek', 'startWorksFor', 'Max Planck Institute for Coal Research', '2018-07-01']]
[['Jan W Van Der Scheer', 'endWorksFor', 'Loughborough University', '2018-07-01']]
[['Debankur Mukherjee', 'startWorksFor', 'Brown University', '2018-07-01']]
[['Otaru', 'endLeader', 'Hideaki Morii', '2018-07-25']]
[['Yujia Tian', 'endWorksFor', 'Singapore Institute Of Manufacturing Technology', '2018-07-28']]
[['Marsha Ormskirk', 'startWorksFor', 'Lincoln University (New Zealand)', '2018-07-09']]
[['Valentina Fanelli', 'startWorksFor', 'University of Bari', '2018-07-16']]
[['Danillo Oliveira Alvarenga', 'startWorksFor', 'University of Helsinki', '2018-07-01']]
[['Anna M Hardin', 'startWorksFor', 'University of Missouri', '2018-07-01']]
[['Zahia Ziouani', 'award', 'Commandeur Des Arts Et Des Lettres‎', '2018-07-12']]
[['Keith Langford', 'startMemberOf', 'Panathinaikos B.C.', '2018-07-14']]
[['Chetan Khatri', 'endWorksFor', 'Imperial College Healthcare NHS Trust', '2018-07-01']]
[['Lari Lehtovirta', 'endWorksFor', 'Etelä-Pohjanmaan Sairaanhoitopiiri', '2018-07-01']]
[['Venkata Srinu Bhadram', 'endWorksFor', 'Carnegie Institution for Science', '2018-07-31']]
[['Elham Bavafaye Haghighi', 'endWorksFor', 'Aarhus University', '2018-07-31']]
[['Laurence Blanchard', 'endWorksFor', 'London School of Hygiene and Tropical Medicine', '2018-07-01']]
[['Kyle R Northington', 'endWorksFor', 'Life Technologies', '2018-07-31']]
[['Lucas Torreira', 'startMemberOf', 'Arsenal F.C.', '2018-07-10']]
[['Christian Beyle', 'startWorksFor', 'University of Tarapacá', '2019-07-01']]
[['Cristina Fox', 'startWorksFor', 'Meridian Health', '2019-07-29']]
[['Kosovo', 'endLeader', 'Ramush Haradinaj', '2019-07-19']]
[['Martine Latare', 'award', 'Officer Of The Legion Of Honour', '2019-07-13']]
[['Michèle Kirry', 'award', 'Officer Of The Legion Of Honour', '2019-07-13']]
[['Nasser Najibi', 'endWorksFor', 'City College of New York', '2019-07-01']]
[['Paulian Banu', 'startMemberOf', 'FC Metaloglobus București', '2019-07-01']]
[['Boris Tsygankov', 'startMemberOf', 'FC Kolomna', '2019-07-01']]
[['Rosa Dam Waerling', 'endWorksFor', 'Zealand University Hospital, Roskilde', '2019-07-31']]
[['Mathieu R Despard', 'endWorksFor', 'Washington University in St. Louis', '2019-07-31']]
[['Vicente Linares', 'endWorksFor', 'Facultad De Farmacia (Universidad De Sevilla)', '2019-07-15']]
[['Mostafa M El-Sheekh', 'endWorksFor', 'Tanta University', '2019-07-31']]
[['Kimberly Ertel', 'startWorksFor', 'Seattle', '2019-07-01']]
[['Željko Filipović', 'startMemberOf', 'FK Vojvodina', '2019-07-01']]
[['Alexandre Geijo', 'startMemberOf', 'Atlético Sanluqueño CF', '2019-07-22']]
[['Nailya Asker-Zade', 'endOwns', 'Land lot', '2019-07-18']]
[['Nasser Mohammed', 'endWorksFor', 'University of Virginia', '2019-07-05']]
[['Elizabeth C Neilson', 'endWorksFor', 'Michael E. Debakey Va Medical Center', '2019-07-23']]
[['Brittany V Hope', 'endWorksFor', 'University Of Alberta School Of Public Health', '2019-07-22']]
[['New Caledonian Armed Forces', 'endLeader', 'Thierry Marchand', '2019-07-31']]
[['K M Muhammed Shameem', 'startWorksFor', 'Manipal Academy of Higher Education', '2019-07-01']]
[['Chen He', 'endWorksFor', 'Furman University', '2019-07-31']]
[['Jean-Paul Belmondo', 'award', 'Grand Officer Of The Legion Of Honour', '2019-07-13']]
[['Andrew Hodges', 'endWorksFor', 'Leibniz Institute For East And Southeast European Studies', '2019-07-23']]
[['Benjamin D. Stocker', 'endWorksFor', 'Stanford University', '2019-07-31']]
[['Julián Elías Martínez-Sánchez', 'endWorksFor', 'Mexican Social Security Institute', '2020-07-31']]
[['Norilsk', 'endLeader', 'Rinat Akhmetchin', '2020-07-28']]
[['Bruay-la-Buissière', 'endLeader', 'Olivier Switaj', '2020-07-05']]
[['Anna Knol', 'startMemberOf', 'Empoli F.C.', '2020-07-01']]
[['Sabah', 'endLeader', 'Shafie Apdal', '2020-07-30']]
[['Xiangyi Meng', 'endWorksFor', 'Boston University', '2020-07-01']]
[['Nikita Demchenko', 'startMemberOf', 'FC Smolevichi', '2020-07-01']]
[['Communauté De Communes De La Presqu\'Île De Crozon', 'endLeader', 'Daniel Moysan', '2020-07-11']]
[['Lisbourg', 'startLeader', 'Olivier Delbé', '2020-07-01']]
[['Bruno Lemiechevsky', 'startMemberOf', 'Inter Club d\'Escaldes', '2020-07-01']]
[['Ricardo Paredes-León', 'endWorksFor', 'National Autonomous University of Mexico', '2020-07-31']]
[['Matthew G Davey', 'endWorksFor', 'University Hospital Galway', '2020-07-01']]
[['Arka Santra', 'endWorksFor', 'Instituto de Física Corpuscular', '2020-07-15']]
[['Jennifer Manuzak', 'endWorksFor', 'Leonard M. Miller School of Medicine', '2020-07-31']]
[['Vitry-sur-Seine', 'endLeader', 'Jean-Claude Kennedy', '2020-07-04']]
[['Ibram X. Kendi', 'endWorksFor', 'American University', '2020-07-01']]
[['Qinghai', 'endLeader', 'Liu Ning', '2020-07-22']]
[['Löfven II Cabinet', 'endLeader', 'Stefan Löfven', '2021-07-09']]
[['Danil Kopach', 'startMemberOf', 'FC Slonim-2017', '2021-07-01']]
[['Jie Yin', 'startWorksFor', 'Agency for Science, Technology and Research', '2021-07-21']]
[['New Caledonian Armed Forces', 'endLeader', 'Franck Barrera', '2021-07-31']]
[['Maksymilian P Opolski', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-07-21']]
[['Indy Spaan', 'startMemberOf', 'Ungmennafélagið Afturelding', '2021-07-01']]
[['Anna J Zaczek', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-07-21']]
[['Adrian Doroszko', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-07-27']]
[['Akke Van Den Born', 'startMemberOf', 'ADO Den Haag (women)', '2021-07-01']]
[['In-Jee Jung', 'endWorksFor', 'KAIST', '2021-07-01']]
[['Catherine L Omosule', 'startWorksFor', 'Washington University School of Medicine', '2021-07-01']]
[['Beau Rijks', 'startMemberOf', 'Excelsior Rotterdam (women)', '2021-07-01']]
[['Puertollano', 'endLeader', 'Isabel Rodríguez García', '2021-07-15']]
[['Kenner, Louisiana', 'endLeader', 'Ben Zahn', '2022-07-01']]
[['Sylwia Mildner-Szkudlarz', 'startAcademicDegree', 'Scientific Professorship Degree', '2022-07-04']]
[['Thirty-sixth government of Israel', 'endLeader', 'Naftali Bennett', '2022-07-01']]
[['Beata S Lipska-Ziętkiewicz', 'startAcademicDegree', 'Scientific Professorship Degree', '2022-07-04']]
[['Yuan Deng', 'endWorksFor', 'Westlake University', '2022-07-15']]
[['Béavogui u002F Goumou government', 'startLeader', 'Bernard Goumou', '2022-07-16']]
[['Thirty-sixth government of Israel', 'startLeader', 'Yair Lapid', '2022-07-01']]
[['Toshio Matsumoto', 'award', 'Junior Fourth Rank', '2022-07-17']]
[['Dominique Carlac\'H', 'award', 'Knight Of The Legion Of Honour', '2022-07-13']]
[['Vanni Noferini', 'endWorksFor', 'University of Manchester', '2015-08-31']]
[['Victoria G Riese', 'startWorksFor', 'National Institutes of Health', '2015-08-01']]
[['New Caledonian Armed Forces', 'startLeader', 'Philippe Léonard', '2015-08-01']]
[['Jeff C F Lau', 'endWorksFor', 'University Hospital Of North Staffordshire Nhs Trust', '2015-08-01']]
