[['Nazmul Hossain Milon', 'startMemberOf', 'Islamabad United', '2022-06-30'], ['Glenn Maxwell', 'startMemberOf', 'Wellington cricket team', '2022-06-30'], ['Adrian Barath', 'startMemberOf', 'Karachi Kings', '2022-06-30'], ['Jayden Levitt', 'startMemberOf', 'Oxfordshire County Cricket Club', '2022-07-01']]
[['Stéphane Guivarc\' h', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-13'], ['Artur Kopytin', 'startMemberOf', 'FC Ryazan ( 2010)', '2022-07-13'], ['Wen Chao', 'endMemberOf', 'Yinchuan Helanshan F. C.', '2022-07-13'], ['Aleksandar R. Petrović', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-13']]
[['Nikolay Bankov', 'startMemberOf', 'FC Chepinets Velingrad', '2022-07-13'], ['Stefano Dall\' Acqua', 'startMemberOf', 'FC Andorra', '2022-07-13'], ['Jarrett L Lancaster', 'startMemberOf', 'Dunfermline Athletic F. C.', '2022-07-13'], ['Stefania Tarenzi', 'startMemberOf', 'A. C. F. Milan', '2022-07-13']]
[['Oleg Teryokhin', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-07-13'], ['Andrei Pacheco', 'startMemberOf', 'SC Zofingen', '2022-07-13'], ['Lev Potapov', 'startMemberOf', 'FC Olimpia Volgograd', '2022-07-13'], ['Stuart Wise', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-13']]
[['Julian Krick', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-31'], ['Shaoneng He', 'startMemberOf', 'Turanspor', '2022-07-31'], ['Daniel Faria', 'startMemberOf', 'FC Andorra', '2022-07-31'], ['Artem Oganov', 'startMemberOf', 'R. S. C. Anderlecht', '2022-07-31']]
[['Ivan Tomić', 'startMemberOf', 'FC Andorra', '2022-07-31'], ['Tuka Tisam', 'endMemberOf', 'San Francisco Seals ( soccer)', '2022-07-31'], ['Derre Kwee', 'endMemberOf', 'Jong FC Twente', '2022-07-31'], ['Jarmo Ahjupera', 'startMemberOf', 'Fehérvár FC', '2022-07-31']]
[['Jimmy McLaughlin', 'endMemberOf', 'FC Cincinnati ( 2016– 2018)', '2022-07-31'], ['Igor Reshetnikov', 'startMemberOf', 'FC Volga Ulyanovsk', '2022-07-31'], ['Marcel Cas', 'startMemberOf', 'Lincoln United F. C.', '2022-07-31'], ['Magnus Troest', 'startMemberOf', 'FC Andorra', '2022-07-31']]
[['Carlo Cudicini', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-31'], ['Andrew Fox ( footballer)', 'endMemberOf', 'Club Brugge KV', '2022-07-31'], ['Abdulaziz Al-Bishi', 'startMemberOf', 'El Paso Locomotive FC', '2022-07-31'], ['Yasuhiro Yoshida', 'endMemberOf', 'Fujieda MYFC', '2022-07-31']]
[['Chupe ( footballer)', 'startMemberOf', 'FC Andorra', '2022-07-31'], ['Shane McFaul', 'startMemberOf', 'Lincoln United F. C.', '2022-07-31'], ['Eduard Sergienko', 'endMemberOf', 'Kazakhstan national football team', '2022-07-31'], ['Dimitrios Orfanos', 'startMemberOf', 'Asteras Magoula F. C.', '2022-07-31']]
[['Manuel Benson', 'startMemberOf', 'Belgium national football team generic instance', '2022-07-31'], ['Manfred Rothbauer', 'startMemberOf', 'FC Juniors OÖ', '2022-07-31'], ['Damir Džombić', 'startMemberOf', 'Ottawa Fury FC', '2022-08-01'], ['Sékou Sanogo ( footballer)', 'startMemberOf', 'Panionios F. C.', '2022-08-01']]
[['Rasmus Festersen', 'endMemberOf', 'Oakleigh Cannons FC', '2022-08-01'], ['Zack Garcia', 'startMemberOf', 'Nea Salamis Famagusta FC', '2022-08-01'], ['Pari Pantazopoulos', 'startMemberOf', 'Asteras Magoula F. C.', '2022-08-01'], ['Sumy ( footballer)', 'startMemberOf', 'Ottawa Fury FC', '2022-08-01']]
[['Sergei Dudkin', 'startMemberOf', 'FC Volga Ulyanovsk', '2022-08-01'], ['Darrick Ervin', 'endMemberOf', 'Al-Mussanah Club', '2022-08-01'], ['Almaz Fatikhov', 'endMemberOf', 'FC Oktan Perm', '2022-08-01'], ['Fabián Balbuena', 'startMemberOf', 'New York City FC', '2022-08-01']]
[['Emil Kremenliev', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-08-01'], ['Branislav Arsenović', 'startMemberOf', 'Panionios F. C.', '2022-08-01'], ['Freddy Coronel', 'startMemberOf', 'Deportivo Cali', '2022-08-01'], ['Elvis Kafoteka', 'endMemberOf', 'Antwerp Giants', '2022-08-01']]
[['Borko Veselinović', 'startMemberOf', 'FC Andorra', '2022-08-01'], ['Abdou Diallo', 'endMemberOf', 'France national under-19 football team generic instance', '2022-08-01'], ['Alejandro Escalona', 'startMemberOf', 'Olbia Calcio 1905', '2022-08-01'], ['Ionuț Voicu', 'startMemberOf', 'FC Vestsjælland', '2022-08-01']]
[['Robbie Cundy', 'startMemberOf', 'AFC Rushden & Diamonds', '2022-08-01'], ['Ibba Laajab', 'startMemberOf', 'Ottawa Fury FC', '2022-08-01'], ['Sotiris Ninis', 'startMemberOf', 'Asteras Magoula F. C.', '2022-08-01'], ['Paul Zammit ( footballer)', 'startMemberOf', 'Eastbourne Town F. C.', '2022-08-01']]
[['Abdoulaye Maïga ( footballer)', 'startMemberOf', 'Simba S. C.', '2022-08-01'], ['Radiša Ilić', 'startMemberOf', 'Asteras Magoula F. C.', '2022-08-01'], ['Pietro Iemmello', 'endMemberOf', 'Italy national under-18 football team', '2022-08-01'], ['Pavel Novitskiy', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-08-01']]
[['Karol Piątek', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-08-01'], ['Tino-Sven Sušić', 'startMemberOf', 'Trat F. C.', '2022-08-01'], ['Florent Ghisolfi', 'endMemberOf', 'Stade de Reims', '2022-08-01'], ['Uchechi Sunday', 'startMemberOf', 'FC Neunkirch', '2022-08-01']]
[['Jay Bell ( footballer)', 'startMemberOf', 'Ottawa Fury FC', '2022-08-02'], ['Cory Gibbs', 'startMemberOf', 'Asteras Magoula F. C.', '2022-08-02'], ['Bryan Man', 'endMemberOf', 'Hapoel Ramat Gan Givatayim F. C.', '2022-08-02'], ['Yohanis Tjoe', 'startMemberOf', 'Persepam Madura Utama', '2022-08-03']]
[['Denise Pereira Torres', 'startMemberOf', 'Wuppertaler SV', '2022-08-21'], ['Edwin Eziyodawe', 'startMemberOf', 'Hammersborg Fk', '2022-08-21'], ['Vasili Pletin', 'endMemberOf', 'FC Smena Komsomolsk-na-Amure', '2022-08-21'], ['Andrei Strenakov', 'startMemberOf', 'FK Ventspils', '2022-08-21']]
[['Istvan Bakx', 'endMemberOf', 'FC Den Bosch', '2022-08-23'], ['Alex Santos ( footballer)', 'startMemberOf', 'FC Krasnodar', '2022-08-25'], ['Maksim Stanislavovich Lepskiy', 'startMemberOf', 'FK Ventspils', '2022-08-25'], ['Choi Hyun', 'startMemberOf', 'Trat F. C.', '2022-08-26']]
[['Zhai Yanpeng', 'endMemberOf', 'Dalian Shide F. C.', '2022-08-29'], ['Radwan Kalaji', 'startMemberOf', 'Al-Jazeera SC ( Amman)', '2022-08-29'], ['Abdoul Thiam', 'startMemberOf', 'Ottawa Fury FC', '2022-08-29'], ['Ezekiel Bala', 'endMemberOf', 'Nigeria national under-20 football team', '2022-08-29']]
[['Sergei Chernyshov ( footballer, born 1984)', 'startMemberOf', 'PFC Spartak Nalchik', '2022-08-30'], ['Martin Opic', 'startMemberOf', 'Çaykur Rizespor', '2022-08-30'], ['Javier Manjarín', 'startMemberOf', 'Coronel Bolognesi', '2022-08-30'], ['Chun Jae-ho', 'startMemberOf', 'FC Andorra', '2022-08-30']]
[['Paul Williams ( footballer, born 1971)', 'endMemberOf', 'Simba S. C.', '2022-08-31'], ['Xabier Arberas', 'startMemberOf', 'UD Las Palmas', '2022-08-31'], ['Luciano Castiello', 'endMemberOf', 'U. S. Grosseto 1912', '2022-08-31'], ['Kamil Saidov', 'startMemberOf', 'FC Smorgon', '2022-08-31']]
[['Niko Opper', 'startMemberOf', 'Matsumoto Yamaga FC', '2022-08-31'], ['Stéphanie Roualdès', 'endMemberOf', 'Shaanxi Wuzhou F. C.', '2022-08-31'], ['Ricardo Bocanegra', 'endMemberOf', 'Charlotte Independence', '2022-08-31'], ['Volker Schmidt', 'startMemberOf', 'FC Vestsjælland', '2022-08-31']]
[['Snehashish Dutta', 'startMemberOf', 'Huddersfield Town A. F. C.', '2022-09-01'], ['Abdelkader Kraichi', 'startMemberOf', 'Asteras Magoula F. C.', '2022-09-01'], ['Mark Engberink', 'startMemberOf', 'Fehérvár FC', '2022-09-01'], ['Toine van Huizen', 'startMemberOf', 'Fehérvár FC', '2022-09-01']]
[['Shohei Okuno', 'startMemberOf', 'Trat F. C.', '2022-09-01'], ['Rogério Corrêa ( footballer, born 1979)', 'startMemberOf', 'FK Sinđelić Beograd', '2022-09-01'], ['Renan ( footballer, born April 1990)', 'startMemberOf', 'Vila Nova Futebol Clube', '2022-09-01'], ['James Coutts ( footballer)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-09-01']]
[['Ari Nyman', 'startMemberOf', 'Panionios F. C.', '2022-09-01'], ['Basem Al-Sherif', 'startMemberOf', 'Morocco national football team generic instance', '2022-09-01'], ['Colin Edwards ( footballer)', 'startMemberOf', 'FC Shakhter Karagandy', '2022-09-01'], ['Manuel Mendoza ( footballer, born 1989)', 'startMemberOf', 'PFC Akademik Sofia', '2022-09-01']]
[['Dominik Glavina', 'startMemberOf', 'SC Zofingen', '2022-09-01'], ['Jo Sung-hwan', 'startMemberOf', 'South Korea national football team generic instance', '2022-09-01'], ['Dennis Lang', 'endMemberOf', 'Alemannia Aachen', '2022-09-01'], ['Nuno Valente ( footballer, born 1991)', 'endMemberOf', 'S. C. Braga B', '2022-09-01']]
[['Giannis Sentementes', 'startMemberOf', 'FC Zirka Kropyvnytskyi', '2022-09-01'], ['Ismail Matar', 'startMemberOf', 'Al Ahli SC ( Doha)', '2022-09-01'], ['Musa Isah', 'endMemberOf', 'FC Belshina Bobruisk', '2022-09-01'], ['Emmenle Preston', 'startMemberOf', 'Mérida UD', '2022-09-01']]
[['Christian Bolaños', 'startMemberOf', 'FC Vestsjælland', '2022-09-01'], ['Aleksei Dugnist', 'startMemberOf', 'FC Vestsjælland', '2022-09-01'], ['Jeff Silva ( footballer)', 'startMemberOf', 'FK Sinđelić Beograd', '2022-09-01'], ['Aleksandr Fyodorov ( footballer, born 1970)', 'startMemberOf', 'FK Ventspils', '2022-09-01']]
[['Gleison Santos', 'startMemberOf', 'FC Andorra', '2022-09-01'], ['Gary Ablett ( English footballer)', 'endMemberOf', 'Long Island Rough Riders', '2022-09-01'], ['Daniel Dimov', 'startMemberOf', 'FC Andorra', '2022-09-01'], ['Sandra Starke', 'endMemberOf', '1. FFC Turbine Potsdam', '2022-09-01']]
[['Martina Müller ( footballer)', 'startMemberOf', 'São José Esporte Clube ( women)', '2022-09-02'], ['Aleksandr Zhizhin', 'endMemberOf', 'FC Chertanovo Moscow', '2022-09-02'], ['Giuseppe Cozzolino', 'startMemberOf', 'FC Andorra', '2022-09-02'], ['Juan Manuel Garza', 'endMemberOf', 'C. D. Irapuato', '2022-09-02']]
[['Nenad Todorović', 'startMemberOf', 'Asteras Magoula F. C.', '2022-09-02'], ['Rhys McCabe', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-09-02'], ['Aleksey Kudryashov', 'endMemberOf', 'FC Zenit Penza', '2022-09-02'], ['Eren Taşkin', 'startMemberOf', 'Çaykur Rizespor', '2022-09-02']]
[['Mario Espartero', 'endMemberOf', 'R. W. D. M. Brussels F. C.', '2022-09-08'], ['Yuri Getikov', 'startMemberOf', 'FC Dnipro Cherkasy', '2022-09-09'], ['Fréderique Nieuwland', 'startMemberOf', 'FC Cincinnati ( 2016– 2018)', '2022-09-09'], ['Didine Djouhary', 'startMemberOf', 'Puszcza Niepołomice', '2022-09-09']]
[['Georg Iliev', 'startMemberOf', 'Çaykur Rizespor', '2022-09-09'], ['Mauro Zironelli', 'endMemberOf', 'U. C. Montecchio Maggiore', '2022-09-09'], ['Bhongolwethu Jayiya', 'endMemberOf', 'Maritzburg United F. C.', '2022-09-09'], ['Emile Paul Tendeng', 'startMemberOf', 'Şanlıurfaspor', '2022-09-09']]
[['Warren Goodhind', 'startMemberOf', 'Lincoln United F. C.', '2022-09-17'], ['Andreas Laudrup', 'startMemberOf', 'FC Vestsjælland', '2022-09-17'], ['Igor Morozov ( footballer)', 'startMemberOf', 'FK Sinđelić Beograd', '2022-09-17'], ['Kim Chol-ho', 'startMemberOf', 'Yanbian Funde F. C.', '2022-09-17']]
[['Andy Tod', 'startMemberOf', 'Ottawa Fury FC', '2022-09-25'], ['Frédéric Brillant', 'startMemberOf', 'Panthrakikos F. C.', '2022-09-25'], ['Jarvin Skeete', 'startMemberOf', 'Toronto FC', '2022-09-25'], ['Edlorn Williams', 'startMemberOf', 'Antigua Barracuda FC', '2022-09-25']]
[['Fabian Barbiero', 'endMemberOf', 'Australia men\' s national soccer team generic instance', '2022-09-29'], ['Morten Jensen ( footballer)', 'startMemberOf', 'Panionios F. C.', '2022-09-29'], ['Faruk Yiğit', 'startMemberOf', 'Çaykur Rizespor', '2022-09-29'], ['Tamás Toót-Holló', 'endMemberOf', 'Balestier Khalsa FC', '2022-09-29']]
[['Stefan Toonen', 'startMemberOf', 'FC Andorra', '2022-09-29'], ['Alexander Meier', 'startMemberOf', 'Asteras Magoula F. C.', '2022-09-30'], ['Florent Renaud', 'endMemberOf', 'Ottawa Fury FC', '2022-09-30'], ['Justin M Farry', 'startMemberOf', 'Ayacucho FC', '2022-09-30']]
[['Rick ( footballer, born 1987)', 'startMemberOf', 'FK Borac Čačak', '2022-10-01'], ['Duarte Tammilehto', 'startMemberOf', 'New York City FC', '2022-10-01'], ['Thea Mørk', 'startMemberOf', 'IL Flint', '2022-10-01'], ['Alessandro ( footballer, born 1988)', 'startMemberOf', 'SC Zofingen', '2022-10-01']]
[['Thierry Mouyouma', 'endMemberOf', 'Cape Town Spurs F. C.', '2022-10-01'], ['Andrzej Kobylański', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-10-01'], ['Iván Asenjo', 'startMemberOf', 'Persepam Madura Utama', '2022-10-01'], ['Maxence Flachez', 'startMemberOf', 'Asteras Magoula F. C.', '2022-10-01']]
[['Amir Rrahmani', 'startMemberOf', 'Çaykur Rizespor', '2022-10-01'], ['Jakub Cieciura', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-10-01'], ['Yevgeni Shamrin', 'endMemberOf', 'FC Salyut Belgorod', '2022-10-01'], ['Thomas Grant ( footballer)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-10-01']]
[['Ruslan Kausarov', 'startMemberOf', 'C. F. Pachuca', '2022-10-01'], ['Raphael Wolf', 'startMemberOf', 'Nazilli Belediyespor', '2022-10-01'], ['Jennifer A U002E Graham', 'startMemberOf', 'Balmazújvárosi FC', '2022-10-01'], ['Angel Madzhirov', 'endMemberOf', 'FC Sportist Svoge', '2022-10-01']]
[['Matías Cabrera', 'startMemberOf', 'Hilal Al-Quds Club', '2022-10-01'], ['Sameh Maraaba', 'startMemberOf', 'FC Baltika Kaliningrad', '2022-10-01'], ['Hobie Verhulst', 'startMemberOf', 'Fehérvár FC', '2022-10-01'], ['Miloš Malović', 'endMemberOf', 'OFK Mladenovac', '2022-10-01']]
[['Kiyoshi Saito ( footballer)', 'endMemberOf', 'Roasso Kumamoto', '2022-10-01'], ['Frederike Bittner', 'startMemberOf', 'Germany women\' s national under-23 football team', '2022-10-01'], ['Dai Qinhua', 'endMemberOf', 'Shenyang Zhongze F. C.', '2022-10-01'], ['Joel F. Harrington', 'endMemberOf', 'FC Augsburg', '2022-10-01']]
[['Larry Posey', 'endMemberOf', 'FC Stal Alchevsk', '2022-10-01'], ['Ashish Jaiswal', 'endMemberOf', 'FK Dukla Prague', '2022-10-01'], ['Roman Tarek', 'startMemberOf', 'MFK Karviná', '2022-10-01'], ['Darren Caskey', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-10-01']]
[['Jianhua Guo', 'startMemberOf', 'Asteras Magoula F. C.', '2022-10-01'], ['Yanni Chin', 'startMemberOf', 'K. V. C. Westerlo', '2022-10-01'], ['Hariss Harun', 'startMemberOf', 'Tanjong Pagar United FC', '2022-10-01'], ['Ribamar', 'startMemberOf', 'Stuttgarter Kickers', '2022-10-01']]
[['Nicolas de Géa', 'endMemberOf', 'RC Strasbourg Alsace', '2022-10-01'], ['Johan Nilsson Guiomar', 'endMemberOf', 'Trelleborgs FF', '2022-10-01'], ['Taras Netkachev', 'endMemberOf', 'Real Maryland F. C.', '2022-10-01'], ['Thomas Ryan ( soccer)', 'endMemberOf', 'PFC Naftex Burgas', '2022-10-01']]
[['Branimir Petrović', 'startMemberOf', 'FC Andorra', '2022-10-01'], ['Mihai Aioani', 'startMemberOf', 'FC Metaloglobus București', '2022-10-01'], ['Diego Barboza', 'startMemberOf', 'Esporte Clube Bahia', '2022-10-02'], ['Abdelmajid Eddine', 'endMemberOf', 'JS Kairouan', '2022-10-02']]
[['Luigi Consonni', 'startMemberOf', 'FC Andorra', '2022-10-08'], ['Denis Švec', 'startMemberOf', 'A. C. ChievoVerona', '2022-10-08'], ['Omid Nazari', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-10-08'], ['Dave Challinor', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-10-08']]
[['Philipp Albert', 'startMemberOf', 'Serbia national football team generic instance', '2022-10-08'], ['Unni Lehn', 'endMemberOf', 'Rosenborg BK Kvinner', '2022-10-08'], ['Branko de Tellería', 'startMemberOf', 'Deportes Copiapó', '2022-10-08'], ['Johan Audel', 'startMemberOf', 'FC Andorra', '2022-10-08']]
[['Dennis Erdmann', 'startMemberOf', 'VfR Aalen', '2022-10-17'], ['Teppei Nishiyama', 'startMemberOf', 'FK Sinđelić Beograd', '2022-10-17'], ['Aby Gaye', 'startMemberOf', 'Debreceni VSC', '2022-10-17'], ['Alfredo Rojas ( Chilean footballer)', 'startMemberOf', 'Unión Española', '2022-10-17']]
[['Tyler Kettering', 'startMemberOf', 'Asteras Magoula F. C.', '2022-10-17'], ['Asael Ben Shabat', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2022-10-17'], ['Makito Yoshida', 'startMemberOf', 'Júbilo Iwata', '2022-10-17'], ['J Sepúlveda-Delgado', 'endMemberOf', 'FC Andorra', '2022-10-17']]
[['Mikhail Ignatov', 'startMemberOf', 'Trat F. C.', '2022-10-17'], ['Arsen Kaytov', 'startMemberOf', 'FC Andorra', '2022-10-17'], ['Abdeslam Moussi', 'endMemberOf', 'US Chaouia', '2022-10-17'], ['Denis Silva ( footballer, born 1985)', 'endMemberOf', 'Sociedade Esportiva do Gama', '2022-10-17']]
[['Claudiu Ionescu ( footballer, born 1984)', 'endMemberOf', 'CS Mioveni', '2022-10-22'], ['Marc Schneider ( footballer)', 'endMemberOf', 'BSC Young Boys', '2022-10-22'], ['Federico Bonazzoli', 'startMemberOf', 'Olbia Calcio 1905', '2022-10-22'], ['Dušan Kuciak', 'startMemberOf', 'FC Andorra', '2022-10-23']]
[['Pedro Muñoz ( footballer)', 'endMemberOf', 'C. D. Universidad de Concepción', '2022-10-28'], ['Caiuby', 'startMemberOf', 'Ottawa Fury FC', '2022-10-28'], ['Wanderson ( footballer, born February 1994)', 'endMemberOf', 'Cape Town Spurs F. C.', '2022-10-28'], ['Arron Patrick', 'startMemberOf', 'Toronto FC', '2022-10-28']]
[['André Ramalho', 'endMemberOf', 'FC Red Bull Salzburg', '2022-10-28'], ['Leire Landa', 'startMemberOf', 'Bristol City W. F. C.', '2022-10-28'], ['Mark Byrnes', 'startMemberOf', 'Asteras Magoula F. C.', '2022-10-28'], ['Letladi Madubanya', 'startMemberOf', 'Bidvest Wits F. C.', '2022-10-28']]
[['Romain Fleurier', 'startMemberOf', 'AS Béziers ( 2007)', '2022-10-29'], ['Michael Madsen ( footballer)', 'startMemberOf', 'Ottawa Fury FC', '2022-10-29'], ['Kevin Christie ( footballer)', 'endMemberOf', 'Airdrieonians F. C.', '2022-10-29'], ['Davor Vugrinec', 'endMemberOf', 'University of Michigan School of Public Health', '2022-10-29']]
[['Mohammad Reza Heidarian', 'startMemberOf', 'South Korea national football team generic instance', '2022-10-29'], ['Anton Antipov', 'startMemberOf', 'FK Ventspils', '2022-10-29'], ['Riccardo Maspero', 'startMemberOf', 'Olbia Calcio 1905', '2022-10-30'], ['Joël Thomas', 'endMemberOf', 'WSG Tirol', '2022-10-30']]
[['Andy Taylor ( footballer, born 1986)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-10-30'], ['Rohit Chand', 'startMemberOf', 'Persipura Jayapura', '2022-10-30'], ['Abdelaziz Barrada', 'startMemberOf', 'Morocco national football team generic instance', '2022-10-30'], ['Kevin Moore', 'endMemberOf', 'Toronto FC', '2022-10-30']]
[['Jingming Zheng', 'endMemberOf', 'UD Las Palmas', '2022-10-31'], ['Maciej Kowalczyk', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-10-31'], ['Linus Hallenius', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-10-31'], ['Chris Turner ( footballer, born 1987)', 'startMemberOf', 'Ottawa Fury FC', '2022-10-31']]
[['Iñaki Álvarez Goñi', 'endMemberOf', 'CA Osasuna', '2022-11-01'], ['Vanessa Paradis', 'endMemberOf', 'Guiseley A. F. C.', '2022-11-01'], ['Saleta Rico', 'startMemberOf', 'AS Poissy', '2022-11-01'], ['Nigel Marples', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01']]
[['Christophe Ohrel', 'startWorksFor', 'Korea University', '2022-11-01'], ['Hyong Woo Choi', 'endWorksFor', 'FC Kryvbas Kryvyi Rih', '2022-11-01'], ['Jeremy Dudziak', 'endWorksFor', 'University of Nevada, Reno School of Medicine', '2022-11-01'], ['Adib F U002E Rodriguez Solares', 'endWorksFor', 'Bristol City F. C.', '2022-11-01']]
[['Dewi Sandra', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-01'], ['Michael Mccauley', 'startMemberOf', 'Olbia Calcio 1905', '2022-11-01'], ['Arie Nakhmani', 'startMemberOf', 'Virtus Entella', '2022-11-01'], ['Veselin Sarbakov', 'endMemberOf', 'FC Chernomorets Burgas', '2022-11-01']]
[['Timo Furuholm', 'startMemberOf', 'Fehérvár FC', '2022-11-01'], ['Maksym Babiychuk', 'startMemberOf', 'Trat F. C.', '2022-11-01'], ['Noémie Freckhaus', 'startMemberOf', 'Eintracht Braunschweig', '2022-11-01'], ['Mathieu Duhamel', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-01']]
[['Dániel Kákonyi', 'endMemberOf', 'Mezőkövesdi SE', '2022-11-01'], ['Maicon ( footballer, born 1985)', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01'], ['Mario Mandžukić', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01'], ['Prathamesh Maulingkar', 'startMemberOf', 'Rangdajied United FC', '2022-11-01']]
[['Lia Valková', 'endMemberOf', 'FC Andorra', '2022-11-01'], ['Anita Tolpinrud', 'startMemberOf', 'FC Amkar Perm', '2022-11-01'], ['Sterling Williams', 'endMemberOf', 'Çaykur Rizespor', '2022-11-01'], ['Jorge Wagner', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01']]
[['Eugene N U002E Naumovich', 'startMemberOf', 'IK Frej', '2022-11-01'], ['Wiktoria Jedwabny', 'endMemberOf', 'FK Železiarne Podbrezová', '2022-11-01'], ['Jung Da-hwon', 'startMemberOf', 'South Korea national football team generic instance', '2022-11-01'], ['Raimondas Žutautas', 'endMemberOf', 'Asteras Magoula F. C.', '2022-11-01']]
[['Peter Magnusson ( footballer)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-06'], ['Aleksandr Tsarenko', 'endMemberOf', 'FC Olimpia Volgograd', '2022-11-06'], ['Mustafa Shehdeh', 'startMemberOf', 'Smouha SC', '2022-11-06'], ['Ran Ben Shimon ( footballer, born 1990)', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2022-11-06']]
[['Júnior Viçosa', 'startMemberOf', 'SC Zofingen', '2022-11-11'], ['Daniele Magliocchetti', 'startMemberOf', 'FC Andorra', '2022-11-11'], ['Eric Asamoah-Frimpong', 'startMemberOf', 'Llaneros F. C.', '2022-11-11'], ['Ayase Ueda', 'startMemberOf', 'Nagoya Grampus', '2022-11-11']]
[['Alain Baroja', 'endMemberOf', 'Caracas F. C.', '2022-11-11'], ['Jeremiah White', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-11'], ['Olivier Bourry', 'endMemberOf', 'Yokohama FC', '2022-11-11'], ['Édu Fernandez', 'startMemberOf', 'Club Hoquei Lloret', '2022-11-11']]
[['Gang Wang', 'endMemberOf', 'Coritiba Foot Ball Club', '2022-11-12'], ['Rafael Silva ( footballer, born 1990)', 'endMemberOf', 'CR Vasco da Gama', '2022-11-12'], ['Berthil ter Avest', 'endMemberOf', 'De Graafschap', '2022-11-12'], ['Yuri Ribeiro', 'endMemberOf', 'Portugal national under-17 football team', '2022-11-12']]
[['Aleksandar Vasilev ( footballer, born 1995)', 'endMemberOf', 'FC Kaliakra Kavarna', '2022-11-12'], ['Antonio Marín ( footballer, born 1996)', 'startMemberOf', 'Arsenal F. C.', '2022-11-12'], ['Bartosz Kopacz', 'endMemberOf', 'Bruk-Bet Termalica Nieciecza', '2022-11-12'], ['Albian Ajeti', 'endMemberOf', 'Switzerland national under-20 football team', '2022-11-12']]
[['Aleksandr Shumov', 'endMemberOf', 'FC Sibir-2 Novosibirsk', '2022-11-12'], ['Dmitri Tuchnolobov', 'startMemberOf', 'FC Lida', '2022-11-12'], ['Elzbieta Ratajczyk', 'startMemberOf', 'FC Torpedo Moscow', '2022-11-12'], ['Sead Babača', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-12']]
[['Way Kuo', 'endMemberOf', 'Great Wakering Rovers F. C.', '2022-11-17'], ['Sandro ( footballer, born 1986)', 'startMemberOf', 'Clube Atlético Linense', '2022-11-17'], ['David Sierra ( footballer)', 'startMemberOf', 'FC Andorra', '2022-11-17'], ['Joost Ebergen', 'startMemberOf', 'FC Vestsjælland', '2022-11-17']]
[['Mickaël Facchinetti', 'startMemberOf', 'Olbia Calcio 1905', '2022-11-19'], ['Wang Dong ( footballer, born 1981)', 'startMemberOf', 'Dalian Shide F. C.', '2022-11-19'], ['Kazuhiko Shingyoji', 'startMemberOf', 'Fagiano Okayama', '2022-11-19'], ['Peter Fear', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-19']]
[['Geovannis Ayala', 'startMemberOf', 'LA Laguna FC', '2022-11-19'], ['Ruslan Pimenov', 'startMemberOf', 'FC Andorra', '2022-11-19'], ['Talal Assiri', 'endMemberOf', 'Al Nassr FC', '2022-11-19'], ['Marino Defendi', 'startMemberOf', 'FC Andorra', '2022-11-19']]
[['Matija Širok', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-20'], ['José García ( footballer, born 1997)', 'endMemberOf', 'Extremadura UD', '2022-11-20'], ['Saifallah Mahjoubi', 'endMemberOf', 'Central Sport Club', '2022-11-20'], ['Richard Petty', 'endMemberOf', 'Tampines Rovers FC', '2022-11-20']]
