[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2026-01-01'], ['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2026-01-01'], ['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2026-01-04'], ['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2026-01-31']]
[['Giacomo Mazzi', 'startMemberOf', 'FC Andorra', '2026-09-03'], ['Taras Pinchuk', 'endMemberOf', 'Ukraine national under-17 football team', '2026-09-03'], ['Alen Maras', 'startMemberOf', 'Asteras Magoula F. C.', '2026-09-05'], ['Gil Baiano', 'startMemberOf', 'FC Andorra', '2026-09-05']]
[['Katharina Leiding', 'startMemberOf', 'Germany women\' s national under-23 football team', '2026-09-06'], ['André Teixeira ( footballer)', 'startMemberOf', 'A. D. Os Limianos', '2026-09-06'], ['Aleksei Rogachyov', 'endMemberOf', 'FC Torpedo Pavlovo', '2026-09-06'], ['Naoya Okane', 'startMemberOf', 'South Korea national football team generic instance', '2026-09-06']]
[['Daniel Broughton', 'endWorksFor', 'Panserraikos F. C.', '2026-09-08'], ['Rafael ( footballer, born 1984)', 'endMemberOf', 'TOT S. C.', '2026-09-08'], ['Leko ( footballer)', 'startMemberOf', 'Fluminense FC', '2026-09-08'], ['Masakazu Senuma', 'startMemberOf', 'Júbilo Iwata', '2026-09-08']]
[['Mario Espartero', 'endMemberOf', 'R. W. D. M. Brussels F. C.', '2026-09-08'], ['Yuri Getikov', 'startMemberOf', 'FC Dnipro Cherkasy', '2026-09-09'], ['Fréderique Nieuwland', 'startMemberOf', 'FC Cincinnati ( 2016– 2018)', '2026-09-09'], ['Didine Djouhary', 'startMemberOf', 'Puszcza Niepołomice', '2026-09-09']]
[['Georg Iliev', 'startMemberOf', 'Çaykur Rizespor', '2026-09-09'], ['Mauro Zironelli', 'endMemberOf', 'U. C. Montecchio Maggiore', '2026-09-09'], ['Bhongolwethu Jayiya', 'endMemberOf', 'Maritzburg United F. C.', '2026-09-09'], ['Emile Paul Tendeng', 'startMemberOf', 'Şanlıurfaspor', '2026-09-09']]
[['Aaron Wan-Bissaka', 'endMemberOf', 'Manchester United F. C.', '2026-09-09'], ['Canton Of Nice-10', 'endMemberOf', 'Asteras Magoula F. C.', '2026-09-10'], ['Davide Riccobelli', 'startMemberOf', 'FC Aarau', '2026-09-10'], ['Curtil-Vergy', 'startMemberOf', 'MFC Mykolaiv', '2026-09-10']]
[['Leon Andreasen', 'startMemberOf', 'FC Andorra', '2026-09-10'], ['Jack Smith ( footballer, born 1994)', 'startMemberOf', 'Partick Thistle F. C.', '2026-09-10'], ['Godfred Bekoé', 'endMemberOf', 'Bellvitge Biomedical Research Institute U0028 Idibell U0029 ', '2026-09-10'], ['Lukasz Kuryk', 'endWorksFor', 'Olympiakos Nicosia', '2026-09-10']]
[['Patrizio Stronati', 'startMemberOf', 'Czech Republic National Under-20 Football Team', '2026-09-10'], ['Franco Allain', 'startMemberOf', 'Club Alianza Lima', '2026-09-10'], ['Rodrigo Sierra', 'endMemberOf', 'Oldham Athletic A. F. C.', '2026-09-10'], ['Rosário Monteiro', 'startWorksFor', 'FC Rubin Kazan', '2026-09-10']]
[['Milan Đurišić', 'endMemberOf', 'Asteras Magoula F. C.', '2026-09-10'], ['Federico Martorell', 'startMemberOf', 'HNK Rijeka', '2026-09-10'], ['Farzad Jafari', 'startMemberOf', 'Siah Jamegan F. C.', '2026-09-11'], ['Matt Chulis', 'startMemberOf', 'Asteras Magoula F. C.', '2026-09-11']]
[['Joe Tortolano', 'startMemberOf', 'Dundee United F. C.', '2026-09-13'], ['Sven Meyer ( footballer)', 'endMemberOf', 'Tennis Borussia Berlin', '2026-09-14'], ['Amado Guevara', 'startMemberOf', 'Ottawa Fury FC', '2026-09-15'], ['Chitta R U002E Das', 'startMemberOf', 'Bristol City F. C.', '2026-09-16']]
[['Warren Goodhind', 'startMemberOf', 'Lincoln United F. C.', '2026-09-17'], ['Andreas Laudrup', 'startMemberOf', 'FC Vestsjælland', '2026-09-17'], ['Igor Morozov ( footballer)', 'startMemberOf', 'FK Sinđelić Beograd', '2026-09-17'], ['Kim Chol-ho', 'startMemberOf', 'Yanbian Funde F. C.', '2026-09-17']]
[['Pierre Issa', 'endWorksFor', 'C. S. Herediano', '2026-09-18'], ['Matteus ( footballer)', 'startMemberOf', 'Misto Esporte Clube', '2026-09-18'], ['Mikel Abaroa', 'endMemberOf', 'University of Barcelona', '2026-09-18'], ['Miriam Martínez-Huélamo', 'endWorksFor', 'Real Unión', '2026-09-18']]
[['Eino Puri', 'endMemberOf', 'FC Botoșani', '2026-09-21'], ['Wolde Harris', 'endMemberOf', 'Sporting Kansas City', '2026-09-21'], ['Szabolcs Perenyi', 'endMemberOf', 'FCV Farul Constanța', '2026-09-22'], ['Adul Lahsoh', 'endMemberOf', 'Chonburi F. C.', '2026-09-22']]
[['T. J. Tomasso', 'startMemberOf', 'Asteras Magoula F. C.', '2026-09-23'], ['Damiano Longhi', 'endMemberOf', 'Gainare Tottori', '2026-09-24'], ['Costa Rica Institute of Technology', 'startMemberOf', 'Sporting CP', '2026-09-24'], ['Zhibin Yang', 'startMemberOf', 'Stade Rennais F. C.', '2026-09-24']]
[['Thiago Biriça', 'startMemberOf', 'Júbilo Iwata', '2026-09-24'], ['Antonio Tomás', 'startMemberOf', 'FC Andorra', '2026-09-25'], ['Aleksandr Puzevich', 'endWorksFor', 'ŽFK Mašinac PZP Niš', '2026-09-25'], ['Iris Isabelle Anna Groen', 'endMemberOf', 'USM Annaba', '2026-09-25']]
[['Andy Tod', 'startMemberOf', 'Ottawa Fury FC', '2026-09-25'], ['Frédéric Brillant', 'startMemberOf', 'Panthrakikos F. C.', '2026-09-25'], ['Jarvin Skeete', 'startMemberOf', 'Toronto FC', '2026-09-25'], ['Edlorn Williams', 'startMemberOf', 'Antigua Barracuda FC', '2026-09-25']]
[['Ivan Rodin', 'startMemberOf', 'Trat F. C.', '2026-09-27'], ['Cala ( footballer, born 1990)', 'startMemberOf', 'Erzurumspor F. K.', '2026-09-27'], ['Matt Nickell', 'startMemberOf', 'Ottawa Fury FC', '2026-09-27'], ['Kjetil Rekdal', 'startMemberOf', 'Ottawa Fury FC', '2026-09-29']]
[['Fabian Barbiero', 'endMemberOf', 'Australia men\' s national soccer team generic instance', '2026-09-29'], ['Morten Jensen ( footballer)', 'startMemberOf', 'Panionios F. C.', '2026-09-29'], ['Faruk Yiğit', 'startMemberOf', 'Çaykur Rizespor', '2026-09-29'], ['Tamás Toót-Holló', 'endMemberOf', 'Balestier Khalsa FC', '2026-09-29']]
[['Stefan Toonen', 'startMemberOf', 'FC Andorra', '2026-09-29'], ['Alexander Meier', 'startMemberOf', 'Asteras Magoula F. C.', '2026-09-30'], ['Florent Renaud', 'endMemberOf', 'Ottawa Fury FC', '2026-09-30'], ['Justin M Farry', 'startMemberOf', 'Ayacucho FC', '2026-09-30']]
[['Ľuboš Perniš', 'startMemberOf', 'NK Karlovac', '2026-09-30'], ['Dino Kresinger', 'endMemberOf', 'University of Illinois Urbana-Champaign', '2026-09-30'], ['Shunsuke Nakamura', 'endWorksFor', 'Team PCW', '2026-09-30'], ['Farouk Belkaïd', 'endMemberOf', 'MC Alger', '2026-09-30']]
[['Millie Rincón Cortés', 'endWorksFor', 'Wellington Phoenix FC', '2026-09-30'], ['Christophe Kerbrat', 'startMemberOf', 'Saint-Pryvé Saint-Hilaire FC', '2026-09-30'], ['Riccardo Zamboni', 'endMemberOf', 'Trat F. C.', '2026-09-30'], ['David Berman ( musician)', 'startMemberOf', 'HNK Orijent', '2026-09-30']]
[['Fraser Aird', 'endMemberOf', 'Scotland national under-19 football team', '2026-09-30'], ['Jerome Okimo', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-09-30'], ['Vitor Augusto Dos Santos Garcia', 'endMemberOf', 'FC Andorra', '2026-09-30'], ['Claudia Cardinale', 'endWorksFor', 'F. C. Arouca', '2026-09-30']]
[['Kennon Dvorak', 'endMemberOf', 'Al Qadsiah FC', '2026-09-30'], ['Romello White', 'endWorksFor', 'ACF Fiorentina', '2026-09-30'], ['Aleksei Kozlov ( footballer, born 1975)', 'endMemberOf', 'Multum Accountants Ladies Cycling Team', '2026-09-30'], ['Katharina Blum', 'startMemberOf', 'FC Kuzbass Kemerovo', '2026-09-30']]
[['Marcel A T M Van Vugt', 'startWorksFor', 'VfR Aalen', '2026-09-30'], ['Bruna C Dias', 'startMemberOf', 'FC Marek Dupnitsa', '2026-10-01'], ['Andrew Myler', 'startMemberOf', 'Dorados de Sinaloa', '2026-10-01'], ['Hélder Neto', 'startMemberOf', 'FC Andorra', '2026-10-01']]
[['Michael E Moore', 'endMemberOf', 'Nazilli Belediyespor', '2026-10-01'], ['Jeffery Errington', 'endMemberOf', 'Newport County A. F. C.', '2026-10-01'], ['Sobhi Sioud', 'startWorksFor', 'Randers FC', '2026-10-01'], ['Iñigo Sebastián', 'startMemberOf', 'Lleida Esportiu', '2026-10-01']]
[['Rick ( footballer, born 1987)', 'startMemberOf', 'FK Borac Čačak', '2026-10-01'], ['Duarte Tammilehto', 'startMemberOf', 'New York City FC', '2026-10-01'], ['Thea Mørk', 'startMemberOf', 'IL Flint', '2026-10-01'], ['Alessandro ( footballer, born 1988)', 'startMemberOf', 'SC Zofingen', '2026-10-01']]
[['Thierry Mouyouma', 'endMemberOf', 'Cape Town Spurs F. C.', '2026-10-01'], ['Andrzej Kobylański', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2026-10-01'], ['Iván Asenjo', 'startMemberOf', 'Persepam Madura Utama', '2026-10-01'], ['Maxence Flachez', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-01']]
[['Amir Rrahmani', 'startMemberOf', 'Çaykur Rizespor', '2026-10-01'], ['Jakub Cieciura', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2026-10-01'], ['Yevgeni Shamrin', 'endMemberOf', 'FC Salyut Belgorod', '2026-10-01'], ['Thomas Grant ( footballer)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-10-01']]
[['Ruslan Kausarov', 'startMemberOf', 'C. F. Pachuca', '2026-10-01'], ['Raphael Wolf', 'startMemberOf', 'Nazilli Belediyespor', '2026-10-01'], ['Jennifer A U002E Graham', 'startMemberOf', 'Balmazújvárosi FC', '2026-10-01'], ['Angel Madzhirov', 'endMemberOf', 'FC Sportist Svoge', '2026-10-01']]
[['Matías Cabrera', 'startMemberOf', 'Hilal Al-Quds Club', '2026-10-01'], ['Sameh Maraaba', 'startMemberOf', 'FC Baltika Kaliningrad', '2026-10-01'], ['Hobie Verhulst', 'startMemberOf', 'Fehérvár FC', '2026-10-01'], ['Miloš Malović', 'endMemberOf', 'OFK Mladenovac', '2026-10-01']]
[['Kiyoshi Saito ( footballer)', 'endMemberOf', 'Roasso Kumamoto', '2026-10-01'], ['Frederike Bittner', 'startMemberOf', 'Germany women\' s national under-23 football team', '2026-10-01'], ['Dai Qinhua', 'endMemberOf', 'Shenyang Zhongze F. C.', '2026-10-01'], ['Joel F. Harrington', 'endMemberOf', 'FC Augsburg', '2026-10-01']]
[['Igor Novaković ( footballer)', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-01'], ['Gilberto Palacios', 'startWorksFor', 'Czech Republic national under-21 football team', '2026-10-01'], ['Paulina Pinedo-Gonzalez', 'startMemberOf', 'FC Smorgon', '2026-10-01'], ['Nadir Minotti', 'startMemberOf', 'FC Andorra', '2026-10-01']]
[['Larry Posey', 'endMemberOf', 'FC Stal Alchevsk', '2026-10-01'], ['Ashish Jaiswal', 'endMemberOf', 'FK Dukla Prague', '2026-10-01'], ['Roman Tarek', 'startMemberOf', 'MFK Karviná', '2026-10-01'], ['Darren Caskey', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-10-01']]
[['Jianhua Guo', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-01'], ['Yanni Chin', 'startMemberOf', 'K. V. C. Westerlo', '2026-10-01'], ['Hariss Harun', 'startMemberOf', 'Tanjong Pagar United FC', '2026-10-01'], ['Ribamar', 'startMemberOf', 'Stuttgarter Kickers', '2026-10-01']]
[['Youssef Sekour', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-01'], ['Mathieu Cornet', 'endMemberOf', 'University of Cambridge', '2026-10-01'], ['Peter Sarkies', 'endWorksFor', 'Virtus Entella', '2026-10-01'], ['Cameron J Weadick', 'startMemberOf', 'Athens Kallithea F. C.', '2026-10-01']]
[['Rudolf Bester', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-01'], ['Nigel Reo-Coker', 'startWorksFor', 'Hyères FC', '2026-10-01'], ['Martin Thomas Horsch', 'startMemberOf', 'Vissel Kobe', '2026-10-01'], ['Annalisa Manca', 'startWorksFor', 'Fagiano Okayama', '2026-10-01']]
[['Nicolas de Géa', 'endMemberOf', 'RC Strasbourg Alsace', '2026-10-01'], ['Johan Nilsson Guiomar', 'endMemberOf', 'Trelleborgs FF', '2026-10-01'], ['Taras Netkachev', 'endMemberOf', 'Real Maryland F. C.', '2026-10-01'], ['Thomas Ryan ( soccer)', 'endMemberOf', 'PFC Naftex Burgas', '2026-10-01']]
[['Branimir Petrović', 'startMemberOf', 'FC Andorra', '2026-10-01'], ['Mihai Aioani', 'startMemberOf', 'FC Metaloglobus București', '2026-10-01'], ['Diego Barboza', 'startMemberOf', 'Esporte Clube Bahia', '2026-10-02'], ['Abdelmajid Eddine', 'endMemberOf', 'JS Kairouan', '2026-10-02']]
[['Paulo Roberto Marques Roris', 'startMemberOf', 'Dublin City F. C.', '2026-10-02'], ['Martin Suchý', 'endMemberOf', 'FK Baník Most 1909', '2026-10-02'], ['Junya Yamashiro', 'startMemberOf', 'Júbilo Iwata', '2026-10-03'], ['Leonardo Martin-Alarcon', 'endMemberOf', 'Great Wakering Rovers F. C.', '2026-10-03']]
[['Ramón ( footballer, born 1983)', 'startMemberOf', 'Olbia Calcio 1905', '2026-10-03'], ['Robert Đặ ng Văn', 'endMemberOf', 'Xuan Thanh Saigon Cement FC', '2026-10-05'], ['Makoto Shibahara', 'endMemberOf', 'FC Gifu', '2026-10-05'], ['Vladimir Gadzhev', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-06']]
[['Luigi Consonni', 'startMemberOf', 'FC Andorra', '2026-10-08'], ['Denis Švec', 'startMemberOf', 'A. C. ChievoVerona', '2026-10-08'], ['Omid Nazari', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2026-10-08'], ['Dave Challinor', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-10-08']]
[['Philipp Albert', 'startMemberOf', 'Serbia national football team generic instance', '2026-10-08'], ['Unni Lehn', 'endMemberOf', 'Rosenborg BK Kvinner', '2026-10-08'], ['Branko de Tellería', 'startMemberOf', 'Deportes Copiapó', '2026-10-08'], ['Johan Audel', 'startMemberOf', 'FC Andorra', '2026-10-08']]
[['Zaal Eliava', 'endMemberOf', 'Georgia national football team', '2026-10-08'], ['Harald Gfreiter', 'startMemberOf', 'Panionios F. C.', '2026-10-08'], ['Liviu Floricel', 'startMemberOf', 'FK Sinđelić Beograd', '2026-10-08'], ['David Ledy', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-09']]
[['Kazuto Ishido', 'startMemberOf', 'JEF United Chiba', '2026-10-10'], ['Valérie Gauvin', 'endMemberOf', 'Montpellier HSC ( women)', '2026-10-10'], ['Jun Mizukoshi', 'startMemberOf', 'South Korea national football team generic instance', '2026-10-10'], ['Manuel Ricci', 'startMemberOf', 'FC Andorra', '2026-10-10']]
[['Juan Ramón Jara', 'endMemberOf', 'Portuguesa F. C.', '2026-10-10'], ['Aleksandr Trubitsin', 'endWorksFor', 'Ethnikos Asteras F. C.', '2026-10-11'], ['Cesare Natali', 'endMemberOf', 'Torino F. C.', '2026-10-11'], ['Béla Koplárovics', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-12']]
[['Kalla Toure', 'startMemberOf', 'FK Borac Banja Luka', '2026-10-14'], ['Silas ( footballer, born 1996)', 'endMemberOf', 'FC Andorra', '2026-10-14'], ['Oh Hyeon-gyu', 'startMemberOf', 'Llaneros F. C.', '2026-10-14'], ['Ashish H Shah', 'startWorksFor', 'Hapoel Ironi Kiryat Shmona F. C.', '2026-10-14']]
[['Mirtha Vásquez', 'startMemberOf', 'Recreativo de Huelva', '2026-10-15'], ['Septariyanto', 'startMemberOf', 'Persepam Madura Utama', '2026-10-15'], ['Eddie Gormley', 'startMemberOf', 'Mossley A. F. C.', '2026-10-16'], ['Given Singuluma', 'startMemberOf', 'Green Buffaloes F. C.', '2026-10-16']]
[['Abdulellah Al-Nassar', 'startMemberOf', 'Jeddah Club', '2026-10-16'], ['Yoshiki Tsunesada', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-16'], ['Marco Rose', 'endWorksFor', 'Asteras Magoula F. C.', '2026-10-17'], ['Ivica Francišković', 'startMemberOf', 'An-Najah National University', '2026-10-17']]
[['Dennis Erdmann', 'startMemberOf', 'VfR Aalen', '2026-10-17'], ['Teppei Nishiyama', 'startMemberOf', 'FK Sinđelić Beograd', '2026-10-17'], ['Aby Gaye', 'startMemberOf', 'Debreceni VSC', '2026-10-17'], ['Alfredo Rojas ( Chilean footballer)', 'startMemberOf', 'Unión Española', '2026-10-17']]
[['Tyler Kettering', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-17'], ['Asael Ben Shabat', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2026-10-17'], ['Makito Yoshida', 'startMemberOf', 'Júbilo Iwata', '2026-10-17'], ['J Sepúlveda-Delgado', 'endMemberOf', 'FC Andorra', '2026-10-17']]
[['Mikhail Ignatov', 'startMemberOf', 'Trat F. C.', '2026-10-17'], ['Arsen Kaytov', 'startMemberOf', 'FC Andorra', '2026-10-17'], ['Abdeslam Moussi', 'endMemberOf', 'US Chaouia', '2026-10-17'], ['Denis Silva ( footballer, born 1985)', 'endMemberOf', 'Sociedade Esportiva do Gama', '2026-10-17']]
[['Dušan Brković', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-17'], ['Steve Basham', 'endMemberOf', 'Oxford City F. C.', '2026-10-17'], ['Robert Neagoe', 'startMemberOf', 'FC Andorra', '2026-10-17'], ['Atraf Ganimatov', 'startWorksFor', 'Oldham Athletic A. F. C.', '2026-10-17']]
[['Osvaldo Hobecker', 'endMemberOf', 'Club Olimpia', '2026-10-17'], ['Emre Güral', 'endMemberOf', 'Trabzonspor', '2026-10-17'], ['Ivan Skripnik', 'endMemberOf', 'PFC CSKA Moscow', '2026-10-18'], ['Yuriy Benyo', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-10-19']]
[['Claudiu Ionescu ( footballer, born 1984)', 'endMemberOf', 'CS Mioveni', '2026-10-22'], ['Marc Schneider ( footballer)', 'endMemberOf', 'BSC Young Boys', '2026-10-22'], ['Federico Bonazzoli', 'startMemberOf', 'Olbia Calcio 1905', '2026-10-22'], ['Dušan Kuciak', 'startMemberOf', 'FC Andorra', '2026-10-23']]
[['Yassir Raad', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-24'], ['Teresa Del Bianco', 'endWorksFor', 'Tokyo Musashino City Fc', '2026-10-25'], ['Tony Menezes', 'endMemberOf', 'Hapoel Ironi Safed F. C.', '2026-10-25'], ['Ayan Mirqasımova', 'endWorksFor', 'S. S. Virtus Lanciano 1924', '2026-10-25']]
[['Chhangte Malsawmkima', 'startMemberOf', 'FK Sinđelić Beograd', '2026-10-25'], ['Daniel R U002E Bogema', 'startMemberOf', 'Mahindra United FC', '2026-10-25'], ['Elliot Embleton', 'endMemberOf', 'FC Vestsjælland', '2026-10-25'], ['João Evangelista Barbosa Romeo Da Silveira', 'startMemberOf', 'C. D. Irapuato', '2026-10-25']]
[['Pedro Muñoz ( footballer)', 'endMemberOf', 'C. D. Universidad de Concepción', '2026-10-28'], ['Caiuby', 'startMemberOf', 'Ottawa Fury FC', '2026-10-28'], ['Wanderson ( footballer, born February 1994)', 'endMemberOf', 'Cape Town Spurs F. C.', '2026-10-28'], ['Arron Patrick', 'startMemberOf', 'Toronto FC', '2026-10-28']]
[['André Ramalho', 'endMemberOf', 'FC Red Bull Salzburg', '2026-10-28'], ['Leire Landa', 'startMemberOf', 'Bristol City W. F. C.', '2026-10-28'], ['Mark Byrnes', 'startMemberOf', 'Asteras Magoula F. C.', '2026-10-28'], ['Letladi Madubanya', 'startMemberOf', 'Bidvest Wits F. C.', '2026-10-28']]
[['Viktor Lundberg', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-10-29'], ['David Blumer', 'endMemberOf', 'Wright State University', '2026-10-29'], ['Hayato Sasaki', 'endMemberOf', 'Gamba Osaka', '2026-10-29'], ['Kevin E Alexander', 'endWorksFor', 'Wycombe Wanderers F. C.', '2026-10-29']]
[['Maureen Frank', 'startMemberOf', 'Ottawa Fury FC', '2026-10-29'], ['Philip Heise', 'startMemberOf', 'Jožef Stefan Institute', '2026-10-29'], ['Mohamed Lamine Zemmamouche', 'startWorksFor', 'Rad-Net Oßwald', '2026-10-29'], ['Henri Uhlig', 'endMemberOf', 'Weston-super-Mare A. F. C.', '2026-10-29']]
[['Romain Fleurier', 'startMemberOf', 'AS Béziers ( 2007)', '2026-10-29'], ['Michael Madsen ( footballer)', 'startMemberOf', 'Ottawa Fury FC', '2026-10-29'], ['Kevin Christie ( footballer)', 'endMemberOf', 'Airdrieonians F. C.', '2026-10-29'], ['Davor Vugrinec', 'endMemberOf', 'University of Michigan School of Public Health', '2026-10-29']]
[['Mohammad Reza Heidarian', 'startMemberOf', 'South Korea national football team generic instance', '2026-10-29'], ['Anton Antipov', 'startMemberOf', 'FK Ventspils', '2026-10-29'], ['Riccardo Maspero', 'startMemberOf', 'Olbia Calcio 1905', '2026-10-30'], ['Joël Thomas', 'endMemberOf', 'WSG Tirol', '2026-10-30']]
[['Andy Taylor ( footballer, born 1986)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-10-30'], ['Rohit Chand', 'startMemberOf', 'Persipura Jayapura', '2026-10-30'], ['Abdelaziz Barrada', 'startMemberOf', 'Morocco national football team generic instance', '2026-10-30'], ['Kevin Moore', 'endMemberOf', 'Toronto FC', '2026-10-30']]
[['Matías Abelairas', 'endMemberOf', 'Unión Española', '2026-10-30'], ['Wamberto', 'startMemberOf', 'FC Andorra', '2026-10-31'], ['Rodolfo Córdoba', 'endMemberOf', 'Club Deportivo Universitario', '2026-10-31'], ['Rustem Khaliullin', 'startMemberOf', 'FC Andorra', '2026-10-31']]
[['Jingming Zheng', 'endMemberOf', 'UD Las Palmas', '2026-10-31'], ['Maciej Kowalczyk', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2026-10-31'], ['Linus Hallenius', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-10-31'], ['Chris Turner ( footballer, born 1987)', 'startMemberOf', 'Ottawa Fury FC', '2026-10-31']]
[['Martin Laurinc', 'startMemberOf', 'FC Andorra', '2026-11-01'], ['Ryūji Bando', 'startWorksFor', 'FC Erzgebirge Aue', '2026-11-01'], ['Ramón Arias', 'endMemberOf', 'Uruguay national under-20 football team', '2026-11-01'], ['Cheick Sidia Baldé', 'endWorksFor', 'Al Nassr FC', '2026-11-01']]
[['Iñaki Álvarez Goñi', 'endMemberOf', 'CA Osasuna', '2026-11-01'], ['Vanessa Paradis', 'endMemberOf', 'Guiseley A. F. C.', '2026-11-01'], ['Saleta Rico', 'startMemberOf', 'AS Poissy', '2026-11-01'], ['Nigel Marples', 'startMemberOf', 'Ottawa Fury FC', '2026-11-01']]
[['Glenn Claes', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-01'], ['Wang Wenhua ( footballer)', 'endMemberOf', 'Xinjiang Tianshan Leopard F. C.', '2026-11-01'], ['Conroy Baltimore', 'startWorksFor', 'Ottawa Fury FC', '2026-11-01'], ['Craig Tully', 'startMemberOf', 'Preston North End F. C.', '2026-11-01']]
[['Maurizio Ronci', 'endWorksFor', 'FC Astana', '2026-11-01'], ['Nelson Parraguez', 'endMemberOf', 'Club Necaxa', '2026-11-01'], ['Enrico Guarna', 'startMemberOf', 'FC Andorra', '2026-11-01'], ['Troy Dusosky', 'startMemberOf', 'Sound FC ( men)', '2026-11-01']]
[['Christophe Ohrel', 'startWorksFor', 'Korea University', '2026-11-01'], ['Hyong Woo Choi', 'endWorksFor', 'FC Kryvbas Kryvyi Rih', '2026-11-01'], ['Jeremy Dudziak', 'endWorksFor', 'University of Nevada, Reno School of Medicine', '2026-11-01'], ['Adib F U002E Rodriguez Solares', 'endWorksFor', 'Bristol City F. C.', '2026-11-01']]
[['Kevin Hughes', 'endMemberOf', 'Ottawa Fury FC', '2026-11-01'], ['Luís Fabiano', 'startMemberOf', 'Taranto F. C. 1927', '2026-11-01'], ['Paul Digby', 'endMemberOf', 'Giulianova Calcio', '2026-11-01'], ['David Skarbek', 'startWorksFor', 'FK Spartak Subotica', '2026-11-01']]
[['Ulrike Schmetz', 'startWorksFor', 'Paged Mbk Scout Sport', '2026-11-01'], ['Itthiporn Theprian', 'endMemberOf', 'University of Sydney', '2026-11-01'], ['Joanna A Ruszkiewicz', 'endWorksFor', 'Asteras Magoula F. C.', '2026-11-01'], ['Giselle Mckenzie', 'startWorksFor', 'Vila Nova Futebol Clube', '2026-11-01']]
[['Dewi Sandra', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-01'], ['Michael Mccauley', 'startMemberOf', 'Olbia Calcio 1905', '2026-11-01'], ['Arie Nakhmani', 'startMemberOf', 'Virtus Entella', '2026-11-01'], ['Veselin Sarbakov', 'endMemberOf', 'FC Chernomorets Burgas', '2026-11-01']]
[['Timo Furuholm', 'startMemberOf', 'Fehérvár FC', '2026-11-01'], ['Maksym Babiychuk', 'startMemberOf', 'Trat F. C.', '2026-11-01'], ['Noémie Freckhaus', 'startMemberOf', 'Eintracht Braunschweig', '2026-11-01'], ['Mathieu Duhamel', 'startMemberOf', 'Asteras Magoula F. C.', '2026-11-01']]
[['Sukanta De', 'endWorksFor', 'FC Ural Yekaterinburg', '2026-11-01'], ['Miguel Ángel Jiménez-Rodríguez', 'endWorksFor', 'Dalian Shide F. C.', '2026-11-01'], ['Nialle Rodney', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-11-01'], ['Marco Di Fatta', 'startMemberOf', 'Olbia Calcio 1905', '2026-11-01']]
[['Dániel Kákonyi', 'endMemberOf', 'Mezőkövesdi SE', '2026-11-01'], ['Maicon ( footballer, born 1985)', 'startMemberOf', 'Ottawa Fury FC', '2026-11-01'], ['Mario Mandžukić', 'startMemberOf', 'Ottawa Fury FC', '2026-11-01'], ['Prathamesh Maulingkar', 'startMemberOf', 'Rangdajied United FC', '2026-11-01']]
[['Lia Valková', 'endMemberOf', 'FC Andorra', '2026-11-01'], ['Anita Tolpinrud', 'startMemberOf', 'FC Amkar Perm', '2026-11-01'], ['Sterling Williams', 'endMemberOf', 'Çaykur Rizespor', '2026-11-01'], ['Jorge Wagner', 'startMemberOf', 'Ottawa Fury FC', '2026-11-01']]
[['Eugene N U002E Naumovich', 'startMemberOf', 'IK Frej', '2026-11-01'], ['Wiktoria Jedwabny', 'endMemberOf', 'FK Železiarne Podbrezová', '2026-11-01'], ['Jung Da-hwon', 'startMemberOf', 'South Korea national football team generic instance', '2026-11-01'], ['Raimondas Žutautas', 'endMemberOf', 'Asteras Magoula F. C.', '2026-11-01']]
