[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Gurgen Hovnan', 'endMemberOf', 'Belmont Bruins men\' s basketball', '2026-07-31']]
[['Piet Brussaard', 'startMemberOf', 'German Research Foundation', '2026-08-01']]
[['Julian Jacobs ( basketball)', 'endMemberOf', 'USC Trojans men\' s basketball', '2026-08-01']]
[['Ernst-Christoph Meier', 'endWorksFor', 'German Institute for International and Security Affairs', '2026-08-01']]
[['Jordi Roca ( footballer)', 'endMemberOf', 'Terrassa FC', '2026-08-01']]
[['Viktor Miklós', 'endMemberOf', 'FC DAC 1904 Dunajská Streda', '2026-08-01']]
[['Øyvind Gjerde', 'endMemberOf', 'Lillestrøm SK', '2026-08-01']]
[['Victoria Sanford', 'endWorksFor', 'Centro Giovanile Virescit Boccaleone', '2026-08-01']]
[['Philip Stein', 'endWorksFor', 'German Burschenschaft', '2026-08-01']]
[['Monika Žunkovič', 'endMemberOf', 'ŽNK Krka', '2026-08-01']]
[['Rafael Ramos ( footballer)', 'endMemberOf', 'Portugal national under-19 football team', '2026-08-01']]
[['Fernando Mota', 'endWorksFor', 'German Research Foundation', '2026-08-01']]
[['André M U002E Eckardt', 'endWorksFor', 'Hannover Medical School', '2026-08-01']]
[['Nate Daligcon', 'endMemberOf', 'Rochester New York FC', '2026-08-01']]
[['Alex Anderson', 'endMemberOf', 'Chattanooga Mocs women\' s basketball', '2026-08-01']]
[['Emmaus Baptist College', 'endLocation', 'Lakeland, Florida', '2026-08-01']]
[['Anne Nicolaisen', 'endWorksFor', 'University of Southern Denmark', '2026-08-01']]
[['Lauren Carlini', 'endMemberOf', 'AGIL Volley', '2026-08-01']]
[['', 'startMemberOf', 'Iowa State Cyclones men\' s basketball', '2026-08-01']]
[['Josep Ramoneda I Molins', 'endMemberOf', 'Unified Socialist Party of Catalonia', '2026-08-01']]
[['Dennis Ross', 'endMemberOf', 'American Eagles men\' s basketball', '2026-08-01']]
[['Farha A Kabeer', 'endWorksFor', 'National Scientific and Technical Research Council', '2026-08-01']]
[['Anna Gallardo Herrera', 'startMemberOf', 'CD Leganés', '2026-08-01']]
[['John Obermayer', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-01']]
[['Aydar Khabibullin', 'endMemberOf', 'FC Rubin-2 Kazan', '2026-08-01']]
[['Daiva Ragažinskienė', 'endMemberOf', 'Giusfredi– Bianchi', '2026-08-01']]
[['Niky Kamran', 'startMemberOf', 'Libertas ( cycling team)', '2026-08-01']]
[['Yuriy Hlushchuk', 'endMemberOf', 'Ukraine national under-19 football team', '2026-08-01']]
[['Dallas Rutherford', 'endMemberOf', 'Cal State Northridge Matadors men\' s basketball', '2026-08-01']]
[['Leanne M Galea', 'startMemberOf', 'George Mason Patriots men\' s basketball', '2026-08-01']]
[['Gábor Harsányi', 'startMemberOf', 'SV Eintracht Trier 05', '2026-08-01']]
[['Alex Evans', 'endMemberOf', 'Georgia Bulldogs basketball', '2026-08-01']]
[['Telma Sousa Almeida', 'endWorksFor', 'Catholic University of Portugal', '2026-08-01']]
[['Anfernee Hampton', 'endMemberOf', 'Roslin Institute', '2026-08-01']]
[['John Challis', 'startMemberOf', 'NEC Nijmegen', '2026-08-01']]
[['Mike Dowling', 'startMemberOf', 'Reading F. C.', '2026-08-01']]
[['Ferdinand Keller ( footballer)', 'startMemberOf', 'Gretna F. C.', '2026-08-01']]
[[' Lloyd', 'endMemberOf', 'U U002E S U002E International Gulls Men U0027 S Basketball', '2026-08-01']]
[['Ernst Badian', 'endMemberOf', 'National Humanities Center', '2026-08-01']]
[['Lateef Elford-Alliyu', 'endMemberOf', 'Tamworth F. C.', '2026-08-01']]
[['Kerstin Casparij', 'endMemberOf', 'VV Alkmaar', '2026-08-01']]
[['Larry Claxton', 'endWorksFor', 'United States Environmental Protection Agency', '2026-08-01']]
[['Dušan Jovančić', 'endMemberOf', 'FK Borac Čačak', '2026-08-01']]
[['Ignacio González ( footballer, born 1984)', 'endMemberOf', 'Querétaro F. C.', '2026-08-01']]
[['Robyn Lindsay', 'endMemberOf', 'UAB Blazers men\' s basketball', '2026-08-01']]
[['Eleanor Dunican', 'endMemberOf', 'Levante UD', '2026-08-01']]
[['John A. Hall', 'startMemberOf', 'Burnley F. C.', '2026-08-01']]
[['William O\' Brien ( archaeologist)', 'startAcademicDegree', 'Dr. rer. nat. generic instance', '2026-08-01']]
[['Yefuwagi', 'endMemberOf', 'Macalester College', '2026-08-01']]
[['Kyle Reid', 'startMemberOf', 'CD Leganés', '2026-08-01']]
[['Trent Mcclain', 'endWorksFor', 'Club Nacional de Football', '2026-08-01']]
[['Sebastian Kvålsvoll', 'endMemberOf', 'Team Sparebanken Sør', '2026-08-01']]
[['Stella Quah', 'endWorksFor', 'National University of Singapore', '2026-08-01']]
[['Pedro González ( cyclist)', 'startMemberOf', 'Power Plate-Bik', '2026-08-01']]
[['Vishnu V B Reddy', 'endMemberOf', 'Western Michigan University', '2026-08-01']]
[['Grant Mills', 'endWorksFor', 'FK Partizani Tirana', '2026-08-01']]
[['Fumiko Obata', 'endWorksFor', 'Iwate Medical University', '2026-08-01']]
[['Buddy Faurote', 'endMemberOf', 'Wisconsin Badgers men\' s basketball', '2026-08-01']]
[['Liliu', 'endMemberOf', 'Karlsruher SC', '2026-08-01']]
[['Foster and Partners', 'startMemberOf', 'University of Southampton', '2026-08-01']]
[['Yongping Jiang', 'endWorksFor', 'University Of Michigan Medical School', '2026-08-01']]
[['Cédric Morana', 'endWorksFor', 'KU Leuven', '2026-08-01']]
[['Feng Xiong', 'endMemberOf', 'University of Pennsylvania', '2026-08-01']]
[['Spencer De Mars', 'endWorksFor', 'CF Badalona', '2026-08-01']]
[['Yoon Yeo-san', 'endMemberOf', 'Sangju Sangmu Fc', '2026-08-01']]
[['Ponhea Pon Sangkat', 'endMemberOf', 'S. S. Chieti Calcio', '2026-08-01']]
[['Nikolay Krasovsky', 'startMemberOf', 'Sint-Truidense V. V.', '2026-08-01']]
[['Jonathan Buske', 'startMemberOf', 'Dayton Dutch Lions', '2026-08-01']]
[['Haibing Shao', 'endWorksFor', 'Helmholtz Centre for Environmental Research', '2026-08-01']]
[['John Davies ( footballer, born 1933)', 'endMemberOf', 'Walsall F. C.', '2026-08-01']]
[['Masahiro Ogawa', 'startMemberOf', 'Pierre and Marie Curie University', '2026-08-01']]
[['Carlos Pinilla', 'endWorksFor', 'University of South Carolina', '2026-08-01']]
[['Burak Karan', 'endMemberOf', 'Germany National Under-17 Association Football Team generic instance', '2026-08-01']]
[['Tim Clark ( soccer)', 'endMemberOf', 'Kansas City Comets', '2026-08-01']]
[['Heidi Franz', 'endMemberOf', 'InstaFund Racing', '2026-08-01']]
[['Eleonora Bartoli', 'endWorksFor', 'University of Texas Health Science Center at Houston', '2026-08-01']]
[['John Hannah ( footballer)', 'startMemberOf', 'Iowa State Cyclones men\' s basketball', '2026-08-01']]
[['Ivo Rossen', 'startMemberOf', 'CFR Cluj', '2026-08-01']]
[['Peter Remie', 'endMemberOf', 'RBC Roosendaal', '2026-08-01']]
[['Jack Cameron ( footballer, born 1931)', 'endMemberOf', 'Hartlepool United F. C.', '2026-08-01']]
[['Man Zhang', 'startMemberOf', 'Radboud University Nijmegen', '2026-08-01']]
[['Dániel Lettrich', 'endWorksFor', 'Western New York Flash', '2026-08-01']]
[['Jacob Neubert', 'endMemberOf', 'Baylor Bears men\' s basketball', '2026-08-01']]
[['Ruslan Mukhametshin', 'startMemberOf', 'Toronto Falcons ( 1967– 1968)', '2026-08-01']]
[['Rob Johnson', 'endWorksFor', 'University of Nottingham', '2026-08-01']]
[['Jaclyn Kline', 'endWorksFor', 'National Institute of Allergy and Infectious Diseases', '2026-08-01']]
[['Ling Li', 'endWorksFor', 'Ethnikos Piraeus F. C.', '2026-08-01']]
[['Daniel Alexandru David', 'startMemberOf', 'Ravenna F. C.', '2026-08-01']]
[['Birgit Hoeger', 'endMemberOf', 'University Hospital Erlangen', '2026-08-01']]
[['Jeffrey S Berger', 'startMemberOf', 'Free University of Berlin', '2026-08-01']]
[['Patryk Klofik', 'startMemberOf', 'Carnegie Mellon University', '2026-08-01']]
[['Jakub Sylvestr', 'startMemberOf', 'Halifax Rainmen', '2026-08-01']]
[['Jasper Ameye', 'endMemberOf', 'Cercle Brugge K. S. V.', '2026-08-01']]
[['Michele Gallo', 'startMemberOf', 'FC Gueugnon', '2026-08-01']]
[['Marcus Stergiopoulos', 'endMemberOf', 'Florida State Seminoles men\' s basketball', '2026-08-01']]
[['Jacques Hurtubise ( mathematician)', 'startMemberOf', 'Durham Storm', '2026-08-01']]
[['Bill Houghton', 'startMemberOf', 'AGOVV', '2026-08-01']]
[['Ana Sol Gutierrez', 'endMemberOf', 'Montgomery County Board Of Education', '2026-08-01']]
[['Kelly M Martinovich', 'endWorksFor', 'University of Western Australia', '2026-08-01']]
[['Thomas Woods', 'endMemberOf', 'Southeastern Louisiana Lions basketball', '2026-08-01']]
[['Michael Daskalakis', 'endMemberOf', 'Ardèche', '2026-08-01']]
[['Emin Khachaturian', 'endMemberOf', 'Northwich Victoria F. C.', '2026-08-01']]
[['Daniel Rukavina', 'endMemberOf', 'North Florida Ospreys men\' s basketball', '2026-08-01']]
[['Tranekær Municipality', 'endMemberOf', 'Sweden national under-21 football team', '2026-08-01']]
[['Hayrettin Demirbaş', 'endMemberOf', 'University Of Sistan And Baluchistan Faculty Of Engineering', '2026-08-01']]
[['Raúl González ( footballer, born 1991)', 'startMemberOf', 'Cagliari Calcio', '2026-08-01']]
[['Bahram Mavaddat', 'endMemberOf', 'Sepahan S. C.', '2026-08-01']]
[['Zygmunt Szweykowski', 'endMemberOf', 'Al Wasl F. C.', '2026-08-01']]
[['Matilda Forslund', 'endMemberOf', 'Hammarby Fotboll ( women)', '2026-08-01']]
[['Heath Bell', 'endMemberOf', 'Tampa Bay Rays', '2026-08-01']]
[['Kyosuke Yoshikawa', 'endMemberOf', 'Hokkaido Consadole Sapporo', '2026-08-01']]
[['Chris Coleman', 'endWorksFor', 'Palermo F. C.', '2026-08-02']]
[['Trent Pulliam', 'endMemberOf', 'Jackson State Tigers basketball', '2026-08-02']]
[['Eystein Oveland', 'startMemberOf', 'German Research Foundation', '2026-08-02']]
[['Marco Alexandre Rocha', 'endMemberOf', 'Mammalian Genetics Unit', '2026-08-03']]
[['Sheldon Keefe', 'startMemberOf', 'Southend United F. C.', '2026-08-03']]
[['Anastasiya Vertinskaya', 'endSpouse', 'Alexander Gradsky', '2026-08-03']]
[['Jayanta Borkakoti', 'endWorksFor', 'Indian Institutes of Technology generic instance', '2026-08-03']]
[['Farhad Zulfiqar', 'endWorksFor', 'University of Agriculture, Faisalabad', '2026-08-03']]
[['Beth E U002E Caissie', 'startMemberOf', 'University of Auckland', '2026-08-03']]
[['Pedro Guillén', 'startMemberOf', 'Palermo F. C.', '2026-08-03']]
[['Insung Na', 'endWorksFor', 'St. Jude Children\' s Research Hospital', '2026-08-03']]
[['Jennifer A Faust', 'endWorksFor', 'University of Toronto', '2026-08-03']]
[['Paolo Ramora', 'endMemberOf', 'A. S. G. Nocerina', '2026-08-03']]
[['Anatoliy Kretov', 'endMemberOf', 'FC Naftovyk Okhtyrka', '2026-08-04']]
[['Ben Edmondson', 'endMemberOf', 'Gloucestershire County Cricket Club', '2026-08-04']]
[['Bernita Walker', 'endWorksFor', 'Jenesse Center', '2026-08-05']]
[['Lee Seul-gi', 'endMemberOf', 'Daejeon Hana Citizen', '2026-08-05']]
[['Richard Logan ( footballer, born 1969)', 'endMemberOf', 'Lincoln City F. C.', '2026-08-06']]
[['Simone Boldini', 'endMemberOf', 'S. S. C. Napoli', '2026-08-06']]
[['Nicholas Harrhy', 'endMemberOf', 'Ebbsfleet United F. C.', '2026-08-07']]
[['Dalibor Zebić', 'endMemberOf', 'NK Zagreb', '2026-08-09']]
[['Daniela Amorim', 'endWorksFor', 'BMJ ( company)', '2026-08-10']]
[['Adrian Tam', 'endWorksFor', 'St. Mary\' s Health Campus', '2026-08-10']]
[['David Kherdian', 'startMemberOf', 'German Research Foundation', '2026-08-10']]
[['Qianyang County', 'endLocation', 'Baoji', '2026-08-10']]
[['Andrea Tedeschi', 'endWorksFor', 'German Center for Neurodegenerative Diseases', '2026-08-10']]
[['Leonardo S Lima', 'endWorksFor', 'Federal University of Uberlândia', '2026-08-10']]
[['Salvatore Bertuccelli', 'endMemberOf', 'U. S. Castrovillari Calcio', '2026-08-11']]
[['Pascal Plas', 'startMemberOf', 'AE Sedis Bàsquet', '2026-08-12']]
[['Sterling Forbes', 'endMemberOf', 'Texas State Bobcats men\' s basketball', '2026-08-12']]
[['Serhiy Velychko', 'endMemberOf', 'SC Tavriya Simferopol', '2026-08-12']]
[['Sanjoy K U002E Deb', 'startMemberOf', 'Northeastern Illinois Golden Eagles men\' s basketball', '2026-08-13']]
[['Atef Abu Bilal', 'endMemberOf', 'Shabab Al-Khalil SC', '2026-08-13']]
[['Diego da Silva ( footballer, born 1985)', 'endMemberOf', 'Missouri State Bears basketball', '2026-08-13']]
[['Lorenz Jaeger', 'startMemberOf', 'CR Flamengo', '2026-08-13']]
[['Marta L Mccrum', 'endMemberOf', 'Medical Research Council Of Zimbabwe', '2026-08-14']]
[['André Schembri', 'endWorksFor', 'Lyn Fotball', '2026-08-14']]
[['Mohamad Jaamour', 'endMemberOf', 'Al-Karamah SC', '2026-08-14']]
[['Christopher Seward', 'endWorksFor', 'Harvard Medical School', '2026-08-14']]
[['Sally Knipe', 'endWorksFor', 'La Trobe University', '2026-08-14']]
[['Andrew Guinand', 'endWorksFor', 'University of Saskatchewan', '2026-08-15']]
[['Tim Kirsch', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-15']]
[['Kie Kasuga', 'endWorksFor', 'Karolinska Institute', '2026-08-16']]
[['Rodney Kirtz', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-17']]
[['Luciano Delbono', 'endMemberOf', 'German Research Foundation', '2026-08-19']]
[['Skelley Adu Tutu', 'endMemberOf', 'Ghana national football team generic instance', '2026-08-19']]
[['Bill Lewis', 'startMemberOf', 'Carnegie Institution for Science', '2026-08-20']]
[['Cristian Quiñones', 'endMemberOf', 'Fort Lauderdale Strikers ( 2006– 2016)', '2026-08-20']]
[['Gaurang Ravindra Bhatt', 'endWorksFor', 'Intel U0028 India U0029 ', '2026-08-20']]
[['Abdulwahab Al-Malood', 'endMemberOf', 'Al-Muharraq SC', '2026-08-21']]
[['Brett Pagett', 'endMemberOf', 'Washington Huskies men\' s basketball', '2026-08-21']]
[['Eddie Dater', 'startMemberOf', 'Durham University', '2026-08-21']]
[['Huiyan Zhang', 'endWorksFor', 'FK Daugava ( 2003)', '2026-08-21']]
[['Kazuto Kushida', 'endMemberOf', 'Chonburi F. C.', '2026-08-21']]
[['Ryo Hiraide', 'endMemberOf', 'FC Tokyo', '2026-08-21']]
[['Bob Saunders', 'endMemberOf', 'Navy Midshipmen men\' s basketball', '2026-08-21']]
[['Juan Josué Rodríguez', 'endMemberOf', 'Olimpia Occidental', '2026-08-21']]
[['Fernando Cardoso', 'endWorksFor', 'Instituto Nacional de Engenharia, Tecnologia e Inovação', '2026-08-21']]
[['David Massey', 'endMemberOf', 'UC Santa Barbara Gauchos men\' s basketball', '2026-08-21']]
[['John Anderson ( Irish cricketer)', 'endMemberOf', 'KwaZulu-Natal ( cricket team)', '2026-08-21']]
[['Beto ( footballer, born 1975)', 'endMemberOf', 'CR Flamengo', '2026-08-21']]
[['Muammer Yıldırım', 'endMemberOf', 'Vanspor FK', '2026-08-22']]
[['Jason Smith', 'startWorksFor', 'Detroit Pistons', '2026-08-22']]
[['Ricardo Guerra', 'startMemberOf', 'Feyenoord', '2026-08-22']]
[['Nityanand Jain', 'endWorksFor', 'Riga Stradiņš University', '2026-08-23']]
[['Eugène Koffi Kouamé', 'startMemberOf', 'IUPUI Jaguars men\' s basketball', '2026-08-23']]
[['Martin Dobrotka', 'endMemberOf', 'Clube Atlético Mineiro', '2026-08-23']]
[['Ishikawa', 'endLocation', 'Club Atlético Nueva Chicago', '2026-08-23']]
[['Ladislav Miškovič', 'endMemberOf', 'Bohemians 1905', '2026-08-23']]
[['Matt Harbour', 'endMemberOf', 'UCLA Bruins men\' s basketball', '2026-08-23']]
[['Deedar Nabi', 'endWorksFor', 'Bigelow Laboratory for Ocean Sciences', '2026-08-23']]
[['John Whorton', 'endMemberOf', 'Kent State Golden Flashes men\' s basketball', '2026-08-23']]
[['Paolo Foglio', 'startMemberOf', 'Team Polti', '2026-08-24']]
[['Christiane Duchesne', 'endMemberOf', 'A. C. Mestre', '2026-08-24']]
[['Rocky Bridges', 'endMemberOf', 'Detroit Tigers', '2026-08-24']]
[['Dan Lee', 'endMemberOf', 'Jacksonville Dolphins men\' s basketball', '2026-08-25']]
[['Ajantha Mendis', 'endMemberOf', 'Russia', '2026-08-25']]
[['Yusuf Soysal', 'endMemberOf', 'Kayseri Erciyesspor', '2026-08-26']]
[['Richard C U002E Cornes', 'endWorksFor', 'Royal Netherlands Meteorological Institute', '2026-08-26']]
[['Kelsi Singer', 'startMemberOf', 'FC Zenit-Izhevsk', '2026-08-27']]
[['Earl Hayes', 'endMemberOf', 'Appalachian State Mountaineers men\' s basketball', '2026-08-27']]
[['Kelly Sanders', 'endMemberOf', 'Oberlin College', '2026-08-27']]
[['John King ( footballer, born 1933)', 'endMemberOf', 'Bath City F. C.', '2026-08-27']]
[['Jean-Pierre Romeu', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-27']]
[['Matt Crowe', 'endWorksFor', 'Wales national rugby union team', '2026-08-27']]
[['Gunnleifur Gunnleifsson', 'startMemberOf', 'Mito HollyHock', '2026-08-27']]
[['Marc P U002E Cleiren', 'endWorksFor', 'Leiden University', '2026-08-27']]
[['Juan Joya', 'endMemberOf', 'Djurgårdens IF Fotboll ( women)', '2026-08-27']]
[['Anthony Boric', 'endMemberOf', 'New Zealand national rugby union team', '2026-08-27']]
[['Fabio Gjonikaj', 'endMemberOf', 'Albania national under-19 football team', '2026-08-27']]
[['Kam Lee', 'endMemberOf', 'Chester City F. C.', '2026-08-28']]
[['Tomáš Bárta', 'endMemberOf', 'ATT Investments', '2026-08-28']]
[['James Opiyo Ogutu', 'endWorksFor', 'Aga Khan University Hospital, Nairobi', '2026-08-28']]
[['Kim Jong-kook ( footballer)', 'endMemberOf', 'Daejeon Hana Citizen', '2026-08-28']]
[['Austin Hogue', 'endMemberOf', 'Eastern Illinois Panthers men\' s basketball', '2026-08-28']]
[['Stephen J Dria', 'endWorksFor', 'Rice University', '2026-08-28']]
[['Luca Caputi', 'startMemberOf', 'Doncaster Rovers F. C.', '2026-08-29']]
[[' Turner', 'endMemberOf', 'Maryland Eastern Shore Hawks men\' s basketball', '2026-08-29']]
[['Dennis Stewart ( basketball)', 'endMemberOf', 'Cherry Hill Rookies', '2026-08-29']]
[['Augustin Mot', 'endMemberOf', 'HŠK Posušje', '2026-08-29']]
[['James R U002E Jordan', 'endWorksFor', 'University of Cambridge', '2026-08-29']]
[['Richard Lenski', 'endMemberOf', 'FC Girondins de Bordeaux', '2026-08-29']]
[['Bryan Ballowe', 'endMemberOf', 'SMU Mustangs men\' s basketball', '2026-08-29']]
[['Brad Lohaus', 'endMemberOf', 'Iowa Hawkeyes men\' s basketball', '2026-08-29']]
[['Borislav Terzić', 'endWorksFor', 'Union Bordeaux Bègles', '2026-08-30']]
[['Khamza Yakudi', 'endMemberOf', 'FC Ordabasy', '2026-08-30']]
[['Rui Neves', 'startMemberOf', 'S. D. Aucas', '2026-08-30']]
[['Michael Keyes', 'endMemberOf', 'Towson Tigers men\' s basketball', '2026-08-30']]
[['Otto F. Kernberg', 'endMemberOf', 'Pennsylvania State University', '2026-08-30']]
[['Terry Houston', 'startMemberOf', 'VfL Wolfsburg', '2026-08-30']]
[['Amit Datye', 'endWorksFor', 'Weill Cornell Medicine', '2026-08-30']]
[['Jessica Weber', 'endWorksFor', 'University of Nevada, Reno', '2026-08-30']]
[['Michael Long', 'endMemberOf', 'Alabama State Hornets basketball', '2026-08-30']]
[['Filipa Marcelo', 'endMemberOf', 'Colgate Raiders men\' s basketball', '2026-08-30']]
[['Marat Adzhiniyazov', 'startMemberOf', 'German Research Foundation', '2026-08-30']]
[['Denis Trapashko', 'startMemberOf', 'Rapid de Menton', '2026-08-30']]
[['Ali Mohebi', 'endWorksFor', 'University of Michigan', '2026-08-30']]
[['Thomas Sullivan', 'endMemberOf', 'Boston College Eagles men\' s basketball', '2026-08-30']]
[['Darko Vukić', 'endMemberOf', 'German Research Foundation', '2026-08-30']]
[['Lim Choong-hyun', 'startMemberOf', 'Atlético Celaya', '2026-08-30']]
[['Dino Bevab', 'endMemberOf', 'Bosnia and Herzegovina national under-21 football team', '2026-08-31']]
[['Swati Sharma', 'startMemberOf', 'FC Kolomna', '2026-08-31']]
[['University of Toronto', 'endMemberOf', 'Digital Research Alliance Of Canada', '2026-08-31']]
[['UK Financial Investments', 'endLeader', 'James Leigh-Pemberton', '2026-08-31']]
[['Roman Fröhlich', 'endWorksFor', 'Paul Scherrer Institute', '2026-08-31']]
[['Jack Vitty', 'endMemberOf', 'South Shields F. C. ( 1889)', '2026-08-31']]
[['Hajime Kimizuka', 'endWorksFor', 'Osaka University', '2026-08-31']]
[['Sherif El-Masri', 'startMemberOf', 'University of Pittsburgh', '2026-08-31']]
[['Anderson ( footballer, born 1992)', 'endWorksFor', 'New Zealand national cricket team', '2026-08-31']]
[['Gerald Carr ( astronaut)', 'startMemberOf', 'Technical University of Kaiserslautern', '2026-08-31']]
[['Dorina Strieth', 'endWorksFor', 'FC Kansas City', '2026-08-31']]
[['Byung-Ho Yoon', 'endMemberOf', 'Public Higher Medical Professional School in Opole', '2026-08-31']]
[['Margit László', 'endMemberOf', 'German Research Foundation', '2026-08-31']]
[['Karl-Heinz Wohland', 'endWorksFor', 'New Orleans Privateers men\' s basketball', '2026-08-31']]
[['David Destorme', 'endMemberOf', 'S. K. Beveren', '2026-08-31']]
[['Edmund T Nartey', 'endWorksFor', 'Korle-Bu Teaching Hospital', '2026-08-31']]
[['Alessandro Colasante', 'endMemberOf', 'A. C. R. Siena 1904', '2026-08-31']]
[['Valérie Azhari', 'startAcademicDegree', 'Doctorate In France', '2026-08-31']]
[['Rosaura Esteve-Puig', 'startMemberOf', 'Université de Namur', '2026-08-31']]
[['Patrik Augusta', 'endWorksFor', 'German Research Foundation', '2026-08-31']]
[['Juan Francisco Vázquez Costa', 'endMemberOf', 'Foshan University', '2026-08-31']]
[['Sander Post', 'endMemberOf', 'FK Jagodina', '2026-08-31']]
[['Kenny Murphy ( soccer)', 'endMemberOf', 'Australia men\' s national soccer team generic instance', '2026-08-31']]
[['Philippe Périlleux', 'endMemberOf', 'France national football B team', '2026-08-31']]
[['Kathryn Bedford', 'endWorksFor', 'Maidstone Museum', '2026-08-31']]
[['Iulian Mamele', 'endMemberOf', 'CS Concordia Chiajna', '2026-08-31']]
[['Gary Raker', 'startMemberOf', '1. FC Union Berlin', '2026-09-01']]
[['John R U002E Schott', 'startMemberOf', 'FC Vityaz Podolsk', '2026-09-01']]
[['Eugene Han', 'endWorksFor', 'Yonsei University', '2026-09-01']]
[['José Vantolrá', 'startMemberOf', 'Slovakia national football team generic instance', '2026-09-01']]
[['Modřany Power', 'startMemberOf', 'Delaware Fightin\' Blue Hens men\' s basketball', '2026-09-01']]
[['Amy Finnegan', 'endMemberOf', 'CS Sporting Vaslui', '2026-09-01']]
[['Eglė Arbačiauskienė', 'startMemberOf', 'Colombia national under-17 football team', '2026-09-01']]
[['Andritany Ardhiyasa', 'endMemberOf', 'Indonesia national under-23 football team', '2026-09-01']]
[['Camila França', 'startMemberOf', 'England cricket team', '2026-09-01']]
[['Sophia Smith ( footballer, born 1978)', 'endMemberOf', 'Greece women\' s national football team', '2026-09-01']]
[['Elshan Ahmadli', 'startMemberOf', 'Fredrikstad FK', '2026-09-01']]
[['David A Hartmann', 'startMemberOf', 'Chicago Bulls', '2026-09-01']]
[['Nidheesh Dadheech', 'startMemberOf', 'A. C. R. Siena 1904', '2026-09-01']]
[['Arthur Caldwell', 'endMemberOf', 'South Florida Bulls men\' s basketball', '2026-09-01']]
[['Shane F U002E Mcevey', 'endMemberOf', 'The New Saints F. C.', '2026-09-01']]
[['Nevin W U002E Wilson', 'endWorksFor', 'University of Nevada, Reno School of Medicine', '2026-09-01']]
[['Shaojun Xu', 'endWorksFor', 'University of Manchester', '2026-09-01']]
[['Oğuzhan Bıyık', 'endMemberOf', 'Elmira College', '2026-09-01']]
[['Łukasz Skrzyński', 'startMemberOf', 'SG Sonnenhof Großaspach', '2026-09-01']]
[['Ivan Bracic', 'startMemberOf', 'German Research Foundation', '2026-09-01']]
[['Péter Nemes-Incze', 'endWorksFor', 'RWTH Aachen University', '2026-09-01']]
[['Carlos Ospino', 'endWorksFor', 'World Bank', '2026-09-01']]
[['Yannick Baumgartner', 'endWorksFor', 'Lawrence Berkeley National Laboratory', '2026-09-01']]
[['Huan Ting Ong', 'endMemberOf', 'Trinity College Dublin', '2026-09-01']]
[['Kotohiro Nomura', 'endWorksFor', 'Darlington F. C.', '2026-09-01']]
[['', 'endMemberOf', 'Madeira Andebol SAD', '2026-09-01']]
[['Amin Mobasheri', 'endMemberOf', 'University of Pennsylvania', '2026-09-01']]
[['Ron Mccrary', 'endWorksFor', 'Chicago Cubs', '2026-09-01']]
[['Thiago Augusto', 'endMemberOf', 'Manama Club', '2026-09-01']]
[['Inger Schaap', 'endWorksFor', 'Jewish Cultural Quarter', '2026-09-01']]
[['Hope Segun', 'endMemberOf', 'European Institute of Oncology', '2026-09-01']]
[['Emérito Bono Martínez', 'endWorksFor', 'Southern Illinois Salukis men\' s basketball', '2026-09-01']]
[['Mark Lay', 'endMemberOf', 'UMBC Retrievers men\' s basketball', '2026-09-01']]
[['Johanna Taylor', 'startMemberOf', 'Maryland Terrapins men\' s basketball', '2026-09-01']]
[['Alessio Ausili', 'startMemberOf', 'Austin Peay Governors men\' s basketball', '2026-09-01']]
[['Cundi ( footballer)', 'startMemberOf', 'Hartlepool United F. C.', '2026-09-01']]
[['Dexter Lewis', 'endMemberOf', 'Alloa Athletic F. C.', '2026-09-01']]
[['Adam Smith ( footballer, born February 1985)', 'startMemberOf', 'Portland Pilots men\' s basketball', '2026-09-01']]
[['Silvia Lope-Piedrafita', 'endMemberOf', 'Bangladesh women\' s national under-17 football team', '2026-09-01']]
[['Herschel O U0027 Kelley', 'startMemberOf', 'Global Young Academy', '2026-09-01']]
[['Aleksandr Vladimirovich Kulikov', 'startMemberOf', 'Droylsden F. C.', '2026-09-01']]
[['Kayla Ryan', 'endMemberOf', 'AEK Athens F. C.', '2026-09-01']]
[['Metin Yüksel', 'endMemberOf', 'Maccabi Kabilio Jaffa F. C.', '2026-09-01']]
[['Barry Bryant', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-01']]
[['Michael Carbel', 'endMemberOf', 'Team Qhubeka NextHash', '2026-09-01']]
[['Rui Raínho', 'endMemberOf', 'G. D. Chaves', '2026-09-01']]
[['Arata Sugiyama', 'endMemberOf', 'FC Gifu', '2026-09-01']]
[['Eduard Dayan', 'startMemberOf', 'Section Paloise', '2026-09-01']]
[['Tobias Weis', 'endMemberOf', 'National Institutes of Health', '2026-09-01']]
[['University of Lausanne', 'startMemberOf', 'TSG 1899 Hoffenheim II', '2026-09-01']]
[['Akoto Yaw Omari-Sasu', 'endWorksFor', 'Kwame Nkrumah University of Science and Technology', '2026-09-01']]
