[['Timur Melekestsev', 'endMemberOf', 'FC Dynamo Makhachkala', '2022-01-01']]
[['Ihar Yasinski', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['Dzmitry Zinovich', 'startMemberOf', 'FC Belshina Bobruisk', '2022-02-01']]
[['Miljan Jablan', 'startMemberOf', 'FK ČSK Čelarevo', '2022-02-01']]
[['Stanislav Izhakovsky', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['George Apostol', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-02-01']]
[['Yuki Kobayashi ( footballer, born 1992)', 'startMemberOf', 'Gangwon FC', '2022-02-01']]
[['Zaim Divanović', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-02-01']]
[['Plamen Iliev ( footballer, born 1991)', 'startMemberOf', 'FC Hermannstadt', '2022-02-01']]
[['Plamen Iliev ( footballer, born 1991)', 'endMemberOf', 'FC Dinamo București', '2022-02-01']]
[['Shinzo Koroki', 'startMemberOf', 'Hokkaido Consadole Sapporo', '2022-02-01']]
[['Daniel Benzar', 'endMemberOf', 'SSU Politehnica Timișoara', '2022-02-01']]
[['Aleksandr Shestyuk', 'startMemberOf', 'FK RFS', '2022-02-01']]
[['Samuel Zimța', 'startMemberOf', 'FC Zimbru Chișinău', '2022-02-01']]
[['Yun Young-sun', 'startMemberOf', 'Suwon FC', '2022-02-01']]
[['Park Jong-woo', 'startMemberOf', 'Busan IPark', '2022-02-01']]
[['Pavel Klenyo', 'startMemberOf', 'FC Minsk', '2022-02-01']]
[['Sergey Tikhonovsky', 'startMemberOf', 'FC Kyzylzhar', '2022-02-01']]
[['Denis Polyakov', 'startMemberOf', 'FC Astana', '2022-02-01']]
[['Yegor Kudinov', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-02-01']]
[['Ivan Juryn', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-02-01']]
[['Park Jong-woo', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-01']]
[['Andrei Cristea', 'endMemberOf', 'CS Mioveni', '2022-02-01']]
[['Patricio Matricardi', 'endMemberOf', 'CS Gaz Metan Mediaș', '2022-02-01']]
[['Florentin Matei', 'endMemberOf', 'Apollon Smyrnis F. C.', '2022-02-01']]
[['Evgheni Oancea', 'endMemberOf', 'FC Sfîntul Gheorghe', '2022-02-01']]
[['Daniel Ciobanu', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-02-01']]
[['Dzmitry Rekish', 'startMemberOf', 'FC Samtredia', '2022-02-01']]
[['Nikola Ćirković', 'endMemberOf', 'Bnei Sakhnin F. C.', '2022-02-01']]
[['Marko Pavlovski', 'startMemberOf', 'FK Sūduva', '2022-02-01']]
[['Dénis Duarte', 'startMemberOf', 'FC Tom Tomsk', '2022-02-01']]
[['Saidkhodzha Mukhammadsharifi', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-02-01']]
[['Kirill Leonovich', 'startMemberOf', 'FC Neman Grodno', '2022-02-01']]
[['Maksim Samatoj', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-02-01']]
[['Maksim Vysotskiy', 'startMemberOf', 'FC Belshina Bobruisk', '2022-02-01']]
[['Yann Emmanuel Affi', 'startMemberOf', 'FC Gomel', '2022-02-01']]
[['Iĺja Sień', 'startMemberOf', 'FC Volna Pinsk', '2022-02-01']]
[['Gabriel Răducan', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-02-01']]
[['Vladislav Myzgin', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-02-01']]
[['Yury Kazlow', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-02-01']]
[['Stanislaŭ Kliaščuk', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-02-01']]
[['Robert Primus', 'startMemberOf', 'Aizawl FC', '2022-02-01']]
[['Evgheni Oancea', 'startMemberOf', 'FC Noah', '2022-02-01']]
[['Ihar Stasevich', 'startMemberOf', 'FC Chayka Peschanokopskoye', '2022-02-01']]
[['German Barkovskiy', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-02-01']]
[['Artsyom Vasilyew', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['Yun Young-sun', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-01']]
[['Andrej Lieŭkaviec', 'startMemberOf', 'FK Khujand', '2022-02-01']]
[['Nikita Supranovich', 'startMemberOf', 'FC Zenit-2 Saint Petersburg', '2022-02-01']]
[['Ergys Kaçe', 'startMemberOf', 'Veria F. C.', '2022-02-01']]
[['Ignatiy Sidor', 'startMemberOf', 'FK Khujand', '2022-02-01']]
[['Sergey Sazonchik', 'startMemberOf', 'FC BATE Borisov', '2022-02-01']]
[['Gabriel ( footballer, born 1988)', 'endMemberOf', 'CS Gaz Metan Mediaș', '2022-02-01']]
[['Nikita Supranovich', 'startMemberOf', 'FC Zenit Saint Petersburg', '2022-02-01']]
[['Anton Bahdanaw', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['Aleksandr Bulychyov', 'startMemberOf', 'FC Dynamo Brest', '2022-02-01']]
[['Kenyu Sugimoto', 'startMemberOf', 'Júbilo Iwata', '2022-02-01']]
[['Ilya Boltrushevich', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-02-01']]
[['Ivar Slik', 'endMemberOf', 'ABLOC CT', '2022-02-01']]
[['Gleb Zherdev', 'startMemberOf', 'FC Slavia Mozyr', '2022-02-01']]
[['Adelin Voinescu', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-02-01']]
[['Aleksei Kozlov ( footballer, born 1999)', 'startMemberOf', 'FC Minsk', '2022-02-01']]
[['Ilya Shkurin', 'startMemberOf', 'Raków Częstochowa', '2022-02-01']]
[['Ayrton Mboko', 'startMemberOf', 'LPS HD Clinceni', '2022-02-01']]
[['Yun Suk-young', 'startMemberOf', 'Gangwon FC', '2022-02-02']]
[['Yun Suk-young', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-02']]
[['Kim Chang-soo', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-03']]
[['Kim Chang-soo', 'startMemberOf', 'Incheon United FC', '2022-02-03']]
[['Baek Sung-dong', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-04']]
[['Baek Sung-dong', 'startMemberOf', 'FC Anyang', '2022-02-04']]
[['Kim Hyun-sung', 'startMemberOf', 'Pohang Steelers', '2022-02-05']]
[['Han Kook-young', 'startMemberOf', 'Gangwon FC', '2022-02-06']]
[['Han Kook-young', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-06']]
[['Christina Schweinberger', 'endMemberOf', 'Multum Accountants Ladies Cycling Team', '2022-02-08']]
[['Domenico Pozzovivo', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-02-14']]
[['Nuria Martínez', 'endMemberOf', 'Club Bàsquet Femení Sant Adrià', '2022-02-14']]
[['Richard J U002E White', 'endWorksFor', 'University of Cambridge', '2022-02-28']]
[['José Manuel Díaz ( cyclist)', 'endMemberOf', 'Gazprom– RusVelo', '2022-02-28']]
[['Adrián López', 'startMemberOf', 'Málaga CF', '2022-03-01']]
[['Kiryl Sidarenka', 'endMemberOf', 'FC Kyzylzhar', '2022-03-01']]
[['Ivan Rovny', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Ilya Baglay', 'startMemberOf', 'FC Baranovichi', '2022-03-01']]
[['Kim Moon-hwan', 'endMemberOf', 'Los Angeles FC', '2022-03-01']]
[['Yegor Bogomolsky', 'startMemberOf', 'FC Minsk', '2022-03-01']]
[['Andrea Piccolo', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Roman Davyskiba', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-03-01']]
[['Aleksey Orlovich', 'startMemberOf', 'FC Ostrovets', '2022-03-01']]
[['Kaspars Dubra', 'endMemberOf', 'FC Oleksandriya', '2022-03-01']]
[['Serhiy Shapoval', 'startMemberOf', 'Narew Ostrołęka', '2022-03-01']]
[['Mikalay Ivanow', 'startMemberOf', 'FC Minsk', '2022-03-01']]
[['Dmytro Bilonoh', 'startMemberOf', 'FK Riteriai', '2022-03-01']]
[['Danil Kopach', 'startMemberOf', 'FC Lida', '2022-03-01']]
[['Mikalay Zyanko', 'startMemberOf', 'FC Lida', '2022-03-01']]
[['Alyaksandr Krotaw', 'startMemberOf', 'FC Lida', '2022-03-01']]
[['Anton Demkov', 'startMemberOf', 'Fc Niva Doŭbizna', '2022-03-01']]
[['Filip Valenčič', 'startMemberOf', 'FC Dinamo Minsk', '2022-03-01']]
[['Anton Saroka', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-03-01']]
[['Mikita Kieralidzi', 'startMemberOf', 'Fc Malaryta', '2022-03-01']]
[['Zvonimir Mikulić', 'endMemberOf', 'Tuzlaspor', '2022-03-01']]
[['Bin Ren', 'endWorksFor', 'California Institute of Technology', '2022-03-01']]
[['Dmitry Sibilev', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-03-01']]
[['Giovanni Carboni', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Sigitas Olberkis', 'startMemberOf', 'Dalkurd FF', '2022-03-01']]
[['Heidy Casanova', 'endMemberOf', 'Sk Prometej', '2022-03-01']]
[['Aleksey Shalashnikov', 'startMemberOf', 'FC Neman Grodno', '2022-03-01']]
[['Oleksandr Nasonov', 'endMemberOf', 'FC LNZ Cherkasy', '2022-03-01']]
[['Vladimir Pyatigorets', 'startMemberOf', 'FC Dnepr Mogilev', '2022-03-01']]
[['Nicola Conci', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Matteo Malucelli', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Kento Hashimoto', 'startMemberOf', 'Vissel Kobe', '2022-03-01']]
[['Alessandro Fedeli', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Yaroslav Rakitskyi', 'endMemberOf', 'FC Zenit Saint Petersburg', '2022-03-01']]
[['Uladzislaŭ Curko', 'startMemberOf', 'Fc Žodzina-Paŭdniovaje', '2022-03-01']]
[['Pavel Lyakhnovich', 'startMemberOf', 'FC Osipovichi', '2022-03-01']]
[['Uladzislaw Kasmynin', 'startMemberOf', 'FC Istiklol', '2022-03-01']]
[['Dmitry Vashkel', 'startMemberOf', 'FC Ostrovets', '2022-03-01']]
[['Gleb Rovdo', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-03-01']]
[['Christian Scaroni', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Anton Susha', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-03-01']]
[['Denis Grechikho', 'startMemberOf', 'FC Dinamo Minsk', '2022-03-01']]
[['Vasily Sovpel', 'startMemberOf', 'FC Gomel', '2022-03-01']]
[['Artyom Dylevsky', 'startMemberOf', 'FC Kaisar', '2022-03-01']]
[['Dzmitry Barysaw', 'startMemberOf', 'FC Smorgon', '2022-03-01']]
[['Bilal El Khannous', 'endMemberOf', 'Morocco national under-20 football team', '2022-03-01']]
[['Oleksandr Batyshchev', 'startMemberOf', 'FC Ordabasy', '2022-03-01']]
[['Bourama Fomba', 'startMemberOf', 'FC Minsk', '2022-03-01']]
[['Florentin Matei', 'startMemberOf', 'FC UTA Arad', '2022-03-01']]
[['Maksim Chizh', 'startMemberOf', 'FC Volna Pinsk', '2022-03-01']]
[['Andrei Mamatyuk', 'endMemberOf', 'FC Kyzyltash Bakhchisaray', '2022-03-01']]
[['Miroslav Khlebosolov', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-03-01']]
[['Andriy Stryzheus', 'startMemberOf', 'FC Osipovichi', '2022-03-01']]
[['Yuriy Habovda', 'startMemberOf', 'FK Dukla Prague', '2022-03-01']]
[['Amirbek Juraboev', 'endMemberOf', 'FC Istiklol', '2022-03-01']]
[['Kiryl Sidarenka', 'startMemberOf', 'FC Kaisar', '2022-03-01']]
[['Erik Bergström Frisk', 'endMemberOf', 'Ferei– CCN', '2022-03-01']]
[['George I U002E Laliotis', 'endWorksFor', 'Johns Hopkins School of Medicine', '2022-03-01']]
[['Roman Yuzepchuk', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-03-01']]
[['Zvonimir Mikulić', 'startMemberOf', 'FC Brașov ( 2021)', '2022-03-01']]
[['Makar Litskevich', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-03-01']]
[['Layonel Adams', 'startMemberOf', 'FC Van', '2022-03-01']]
[['Vladimir Medved', 'startMemberOf', 'FC Sioni Bolnisi', '2022-03-01']]
[['Kirill Shokurov', 'startMemberOf', 'Fc Vialies-2020', '2022-03-01']]
[['Lucian Filip', 'endMemberOf', 'LPS HD Clinceni', '2022-03-01']]
[['Bakhtiar Rahmani', 'endMemberOf', 'Duhok SC', '2022-03-01']]
[['Aliaksiej Kaltyhin', 'startMemberOf', 'FC Slutsk', '2022-03-01']]
[['Oleksiy Khoblenko', 'startMemberOf', 'FCI Levadia Tallinn', '2022-03-01']]
[['Vladislav Fedosov', 'startMemberOf', 'FC Neftchi Kochkor-Ata', '2022-03-01']]
[['Oleg Nikiforenko', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-03-01']]
[['Giovanni Visconti ( cyclist)', 'endMemberOf', 'Green Project– Bardiani– CSF– Faizanè', '2022-03-09']]
[['Yony González', 'startMemberOf', 'Deportivo Cali', '2022-03-17']]
[['Abdoul Gafar Sirima', 'startMemberOf', 'FC Slutsk', '2022-03-19']]
[['Attilio Viviani', 'startMemberOf', 'Bingoal WB', '2022-03-22']]
[['Henok Mulubrhan', 'endMemberOf', 'Bike Aid', '2022-03-31']]
[['Ryo Ishikawa', 'endWorksFor', 'Science And Technology Agency', '2022-03-31']]
[['Alejandro Osorio ( cyclist)', 'endMemberOf', 'Team Bahrain Victorious', '2022-03-31']]
[['Aleksandr Pavlovets', 'startMemberOf', 'Warta Poznań', '2022-04-01']]
[['Gleb Yefimov', 'startMemberOf', 'FC Rogachev', '2022-04-01']]
[['Zaven Badoyan', 'endMemberOf', 'FC Van', '2022-04-01']]
[['Muhammadjon Loiqov', 'startMemberOf', 'FC Molodechno', '2022-04-01']]
[['Nikolay Zolotov', 'startMemberOf', 'SC Bastia', '2022-04-01']]
[['William ( footballer, born 1996)', 'startMemberOf', 'FC Dinamo Minsk', '2022-04-01']]
[['Cédric Gogoua', 'endMemberOf', 'FC Turan', '2022-04-01']]
[['Syarhey Ignatovich', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-04-01']]
[['Igor R U002E Efimov', 'endWorksFor', 'George Washington University', '2022-04-01']]
[['Kiril Pavlyuchek', 'startMemberOf', 'FC Krumkachy Minsk', '2022-04-01']]
[['Igor Gubanov', 'startMemberOf', 'FC Kyran', '2022-04-01']]
[['Stephen Ward ( footballer)', 'endMemberOf', 'Walsall F. C.', '2022-04-01']]
[['Pavel Golovenko', 'startMemberOf', 'Fc Žodzina-Paŭdniovaje', '2022-04-01']]
[['Oleksandr Kapliyenko', 'startMemberOf', 'FK Auda', '2022-04-01']]
[['Ablaye Mbengue', 'startMemberOf', 'Al-Arabi SC ( Kuwait)', '2022-04-01']]
[['Alyaksandr Krasnow', 'startMemberOf', 'FC Rogachev', '2022-04-01']]
[['Vladislav Myzgin', 'endMemberOf', 'FC Naftan Novopolotsk', '2022-04-01']]
[['Beka Gvaradze', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-04-01']]
[['Aleksandr Chizh ( footballer, born 2002)', 'startMemberOf', 'FC Rogachev', '2022-04-01']]
[['Ivan Pešić ( footballer, born 1992)', 'startMemberOf', 'FC Dinamo Minsk', '2022-04-01']]
[['Dmitry Baga', 'startMemberOf', 'FC Gomel', '2022-04-01']]
[['Artsyom Pyatrenka', 'endMemberOf', 'FC Slavia Mozyr', '2022-04-01']]
[['Pavel Demidchik', 'startMemberOf', 'Fc Žodzina-Paŭdniovaje', '2022-04-01']]
[['Aleksandr Pavlovets', 'endMemberOf', 'FC Kolos Kovalivka', '2022-04-01']]
[['Sékou Doumbia', 'startMemberOf', 'FC Ordabasy', '2022-04-01']]
[['Leonel Moreira', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-02']]
[['Patrick Pemberton', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-04']]
[['Jhonny Acosta', 'startMemberOf', 'A. D. Municipal Pérez Zeledón', '2022-04-04']]
[['Francisco Calvo', 'startMemberOf', 'San Jose Earthquakes', '2022-04-05']]
[['Romaine Sawyers', 'startMemberOf', 'Stoke City F. C.', '2022-04-05']]
[['Kenner Gutiérrez', 'startMemberOf', 'Municipal Grecia', '2022-04-05']]
[['Francisco Calvo', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-05']]
[['Kenner Gutiérrez', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-05']]
[['Ian Smith ( footballer, born 1998)', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-07']]
[['Ian Smith ( footballer, born 1998)', 'startMemberOf', 'Liga Deportiva Alajuelense', '2022-04-07']]
[['Daniel Colindres', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-08']]
[['Daniel Colindres', 'startMemberOf', 'Abahani Limited Dhaka', '2022-04-08']]
[['Ahmed Yasin ( footballer)', 'startMemberOf', 'Iraq national football team generic instance', '2022-04-10']]
[['Ramin Rezaeian', 'startMemberOf', 'Iran national football team generic instance', '2022-04-14']]
[['Rónald Matarrita', 'startMemberOf', 'FC Cincinnati', '2022-04-14']]
[['Ramin Rezaeian', 'startMemberOf', 'Persepolis F. C.', '2022-04-14']]
[['Rónald Matarrita', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-14']]
[['Omid Ebrahimi', 'startMemberOf', 'Iran national football team generic instance', '2022-04-15']]
[['Mehdi Torabi', 'startMemberOf', 'Iran national football team generic instance', '2022-04-15']]
[['Omid Ebrahimi', 'startMemberOf', 'Al-Wakrah SC', '2022-04-15']]
[['Pejman Montazeri', 'startMemberOf', 'Al Kharaitiyat SC', '2022-04-16']]
[['Pejman Montazeri', 'startMemberOf', 'Iran national football team generic instance', '2022-04-16']]
[['Mohammad Reza Khanzadeh', 'startMemberOf', 'Iran national football team generic instance', '2022-04-17']]
[['Rouzbeh Cheshmi', 'startMemberOf', 'Esteghlal F. C.', '2022-04-17']]
[['Mohammad Reza Khanzadeh', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-04-17']]
[['Rouzbeh Cheshmi', 'startMemberOf', 'Iran national football team generic instance', '2022-04-17']]
[['Amir Abedzadeh', 'startMemberOf', 'SD Ponferradina', '2022-04-18']]
[['Amir Abedzadeh', 'startMemberOf', 'Iran national football team generic instance', '2022-04-18']]
[['Mohammad Rashid Mazaheri', 'startMemberOf', 'Iran national football team generic instance', '2022-04-18']]
[['Mohammad Rashid Mazaheri', 'startMemberOf', 'Sepahan S. C.', '2022-04-18']]
[['Syarhey Irha', 'startMemberOf', 'FC Belcard Grodno', '2022-04-23']]
[['Bakhtiar Rahmani', 'startMemberOf', 'Iran national football team generic instance', '2022-04-26']]
[['Bakhtiar Rahmani', 'startMemberOf', 'Dalkurd FF', '2022-04-26']]
[['Martin Lundsteen', 'endWorksFor', 'University of Oxford', '2022-04-30']]
[['Ciprian Petre', 'endMemberOf', 'FC Buzău', '2022-04-30']]
[['European University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Castilla– La Mancha', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Barbara Roxana Wezorke', 'endMemberOf', 'Usc Münster', '2022-05-01']]
[['National University of Distance Education', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Serhiy Shapoval', 'endMemberOf', 'Narew Ostrołęka', '2022-05-01']]
[['Jaume I University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Alicante', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Girona', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Complutense University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Đorđe Ivanović', 'endMemberOf', 'NK Maribor', '2022-05-01']]
[['Charles III University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Alcalá', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Artem Kontsevoy ( footballer, born 1999)', 'endMemberOf', 'FC Baník Ostrava', '2022-05-01']]
[['University of Vic - Central University of Catalonia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Open University of Catalonia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Cantabria', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Jaén', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Valladolid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Cádiz', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Seville', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Oviedo', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Artsyom Pyatrenka', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['University of Murcia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Pablo de Olavide University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Navarra', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Carlos Barbero', 'startMemberOf', 'Lotto– Dstny', '2022-05-01']]
[['Autonomous University of Barcelona', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['İsmail Yüksek', 'endMemberOf', 'Bursaspor', '2022-05-01']]
[['University of Valencia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Huelva', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Granada', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Málaga', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Burgos', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Reinardt Janse van Rensburg', 'startMemberOf', 'Lotto– Dstny', '2022-05-01']]
[['University of the Basque Country', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Extremadura', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Jaŭhien Huliecki', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['Miguel Hernández University of Elche', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of the Balearic Islands', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Barcelona', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Nenad Adamović', 'startMemberOf', 'FC Neman Grodno', '2022-05-01']]
[['Technical University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Santiago de Compostela', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Rovira i Virgili', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['King Juan Carlos University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Polytechnic University of Catalonia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Salamanca', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Maksim Lutskiy', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['Miroslav Khlebosolov', 'endMemberOf', 'FC Energetik-BGU Minsk', '2022-05-01']]
[['University of Vigo', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Filipp Rudik', 'startMemberOf', 'FC Smorgon', '2022-05-01']]
[['University of Zaragoza', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Almería', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Córdoba ( Spain)', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Autonomous University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Pompeu Fabra University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Francisco de Vitoria University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of La Laguna', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Uladzislaŭ Šubovič', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['Artem Miroyevskiy', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['Ruslan Gurbanov', 'endMemberOf', 'FC Slavia Mozyr', '2022-05-01']]
[['Raheem Hanley', 'startMemberOf', 'New Mills A. F. C.', '2022-05-04']]
[['Romaine Sawyers', 'startMemberOf', 'Saint Kitts and Nevis national football team', '2022-05-04']]
[['Romaine Sawyers', 'startMemberOf', 'West Bromwich Albion F. C.', '2022-05-04']]
[['Seifeddine Jaziri', 'startMemberOf', 'Tunisia national football team generic instance', '2022-05-09']]
[['Dániel Gazdag', 'startMemberOf', 'Hungary national football team generic instance', '2022-05-11']]
[['Dániel Gazdag', 'startMemberOf', 'Philadelphia Union', '2022-05-11']]
[['Joe Bendik', 'startMemberOf', 'Philadelphia Union', '2022-05-11']]
[['Steven Moreira', 'startMemberOf', 'Columbus Crew', '2022-05-12']]
[['James Igbekeme', 'startMemberOf', 'Real Zaragoza', '2022-05-13']]
[['Jennifer Cross', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2022-05-13']]
[['Yaw Yeboah', 'startMemberOf', 'Ghana national football team generic instance', '2022-05-14']]
[['Erik Hurtado', 'startMemberOf', 'CF Montréal', '2022-05-14']]
[['Ivan Baklanov', 'startMemberOf', 'FC Belshina Bobruisk', '2022-05-14']]
[['Yaw Yeboah', 'startMemberOf', 'Columbus Crew', '2022-05-14']]
[['Erik Hurtado', 'startMemberOf', 'Columbus Crew', '2022-05-14']]
[['Braian Cufré', 'endSportNumber', '"24"', '2022-05-15']]
[['Nicola Conci', 'startMemberOf', 'Alpecin– Deceuninck Development Team', '2022-05-16']]
[['Hossein Mahini', 'startMemberOf', 'Iran national football team generic instance', '2022-05-18']]
[['Hossein Mahini', 'startMemberOf', 'Saipa F. C.', '2022-05-18']]
[['José Manuel Copete', 'endSportNumber', '"27"', '2022-05-21']]
[['Predrag Rajković', 'endSportNumber', '"1"', '2022-05-21']]
[['Michael Amir Murillo', 'startMemberOf', 'R. S. C. Anderlecht', '2022-05-22']]
[['Tony Alfaro', 'startMemberOf', 'D. C. United', '2022-05-25']]
[['Nicolai Brøchner', 'endMemberOf', 'Team ColoQuick', '2022-05-30']]
[['Alexandre Geniez', 'endMemberOf', 'Team TotalEnergies', '2022-05-31']]
[['Emil Feldberg Hansen', 'endMemberOf', 'Restaurant Suri– Carl Ras', '2022-05-31']]
[['Adrián López', 'endMemberOf', 'Málaga CF', '2022-06-01']]
[['Aleksandr Pavlovets', 'endMemberOf', 'Warta Poznań', '2022-06-01']]
