[['Boyd van der Vuurst de Vries', 'endMemberOf', 'AB Castelló', '2026-01-01'], ['Kimberly Drewniok', 'endMemberOf', 'ASPTT Mulhouse', '2026-01-01'], ['Dragan Zeković', 'endMemberOf', 'Lions de Genève', '2026-01-01'], ['Michelle Bartsch-Hackley', 'endMemberOf', 'VakıfBank S. K.', '2026-01-01']]
[['Thomas Van den Keybus', 'endPlaysIn', 'Belgian Second Division', '2026-06-30'], ['Konstantinos Mavropanos', 'endMemberOf', 'VfB Stuttgart', '2026-06-30'], ['Vedat Muriqi', 'endMemberOf', 'RCD Mallorca', '2026-06-30'], ['Yaya Soumaré', 'endMemberOf', 'FC Annecy', '2026-06-30']]
[['Shahrom Samiev', 'endMemberOf', 'FC Torpedo-BelAZ Zhodino', '2026-07-01'], ['Artur Kuzmich', 'startMemberOf', 'FC Volna Pinsk', '2026-07-01'], ['Laurențiu Brănescu', 'endMemberOf', 'FC Viitorul Constanța', '2026-07-01'], ['Renan Bressan', 'startMemberOf', 'Vila Nova Futebol Clube', '2026-07-01']]
[['Vadim Crîcimari', 'startMemberOf', 'AFC Dacia Unirea Brăila', '2026-07-01'], ['Yegor Bogomolsky', 'endMemberOf', 'FC Minsk', '2026-07-01'], ['Amber Van Heeswijk', 'endMemberOf', 'Borussia Mönchengladbach', '2026-07-01'], ['Vadim Crîcimari', 'endMemberOf', 'ASC Oțelul Galați', '2026-07-01']]
[['Arturo Vidal', 'endMemberOf', 'Inter Milan', '2026-07-01'], ['Hernán Galíndez', 'endMemberOf', 'Club Universidad de Chile', '2026-07-01'], ['Robert Riza', 'startMemberOf', 'AFC Chindia Târgoviște', '2026-07-01'], ['Nemanja Milunović', 'endMemberOf', 'Alanyaspor', '2026-07-01']]
[['Maksim Lutskiy', 'endMemberOf', 'FC Naftan Novopolotsk', '2026-07-01'], ['Shaq Moore', 'endMemberOf', 'CD Tenerife', '2026-07-01'], ['Alexander Domínguez', 'endMemberOf', 'Deportes Tolima', '2026-07-01'], ['Gleb Rassadkin', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2026-07-01']]
[['Oleg Yevdokimov', 'startMemberOf', 'FC Turan', '2026-07-01'], ['Manuel de Iriondo', 'endMemberOf', 'Grenoble Foot 38', '2026-07-01'], ['Aleksandr Poznyak', 'startMemberOf', 'FC Shakhter Karagandy', '2026-07-01'], ['Mandy van den Berg', 'endMemberOf', 'PSV ( women)', '2026-07-01']]
[['Yegor Khvalko', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2026-07-01'], ['Lisa Doorn', 'endMemberOf', 'AFC Ajax ( women)', '2026-07-01'], ['Fabricio Agosto', 'endMemberOf', 'Fulham F. C.', '2026-07-01'], ['Paviel Sieliaznioŭ', 'startMemberOf', 'FC Lida', '2026-07-01']]
[['Charly Jan', 'startMemberOf', 'FC Martigues', '2026-07-01'], ['Dragoș Horeboiu', 'endMemberOf', 'FC Buzău', '2026-07-01'], ['Anton Suchkow', 'endMemberOf', 'FC Naftan Novopolotsk', '2026-07-01'], ['Vyacheslav Krivulets', 'endMemberOf', 'Fc Partyzan Salihorsk', '2026-07-01']]
[['Nikki IJzerman', 'endMemberOf', 'ADO Den Haag ( women)', '2026-07-01'], ['Yaroslav Yarotsky', 'endMemberOf', 'FC Vitebsk', '2026-07-01'], ['Oleksiy Zbun', 'startMemberOf', 'FC Džiugas Telšiai', '2026-07-01'], ['Jahor Kres', 'startMemberOf', 'FC Lokomotiv Gomel', '2026-07-01']]
[['Stanislav Atrashkevich', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2026-07-01'], ['Abdulfatohi Khudoidodzoda', 'startMemberOf', 'FC Dynamo Brest', '2026-07-01'], ['Andrej Lieŭkaviec', 'endMemberOf', 'FK Khujand', '2026-07-01'], ['Dzmitry Baradzin', 'endMemberOf', 'FC Dinamo Minsk', '2026-07-01']]
[['Javairô Dilrosun', 'endMemberOf', 'Hertha BSC', '2026-07-01'], ['Thomas Ephestion', 'startMemberOf', 'RWDM47', '2026-07-01'], ['David Croitoru', 'endMemberOf', 'FC Botoșani', '2026-07-01'], ['Artem Shulyanskyi', 'endMemberOf', 'FC Dynamo Kyiv', '2026-07-01']]
[['Iĺja Svirydzienka', 'startMemberOf', 'FC Shakhtyor Petrikov', '2026-07-01'], ['Mukhtar Sanusi', 'endMemberOf', 'FC Dynamo Brest', '2026-07-01'], ['Anton Susha', 'startMemberOf', 'FC Slutsk', '2026-07-01'], ['Francisco Molinero', 'endMemberOf', 'Mar Menor FC', '2026-07-01']]
[['Mikhail Shibun', 'startMemberOf', 'FC Shakhtyor Petrikov', '2026-07-01'], ['Wayne Hennessey', 'endMemberOf', 'Burnley F. C.', '2026-07-01'], ['Aleksey Butarevich', 'endMemberOf', 'FC Dinamo Minsk', '2026-07-01'], ['Jamie Altelaar', 'endMemberOf', 'AFC Ajax ( women)', '2026-07-01']]
[['Šime Vrsaljko', 'startMemberOf', 'Olympiacos F. C.', '2026-07-01'], ['Vladislav Fedosov', 'endMemberOf', 'FC Neftchi Kochkor-Ata', '2026-07-01'], ['Oleg Nikiforenko', 'endMemberOf', 'FC Isloch Minsk Raion', '2026-07-01'], ['Dmitry Nekrashevich', 'startMemberOf', 'FC Naftan Novopolotsk', '2026-07-01']]
[['Aleksandr Mrinsky', 'startMemberOf', 'Fc Kolas Červień', '2026-07-23'], ['Aaron Ramsey', 'endMemberOf', 'Juventus F. C.', '2026-07-26'], ['Rodrigo Battaglia', 'endMemberOf', 'Sporting CP', '2026-07-29'], ['Anton Kijko', 'startMemberOf', 'FC Viktoryja Marjina Horka', '2026-07-30']]
[['Yevhen Bokhashvili', 'startMemberOf', 'ASC Oțelul Galați', '2026-08-01'], ['Aleksa Matić ( footballer, born 2002)', 'startMemberOf', 'FC Minsk', '2026-08-01'], ['Pavel Pavlyuchenko', 'startMemberOf', 'Bruk-Bet Termalica Nieciecza', '2026-08-01'], ['João Amorim ( footballer, born February 1992)', 'endMemberOf', 'F. C. Penafiel', '2026-08-01']]
[['Ashleigh Weerden', 'startMemberOf', 'AFC Ajax ( women)', '2026-08-01'], ['Andrey Lebedzew', 'startMemberOf', 'FC Minsk', '2026-08-01'], ['Oleksandr Kapliyenko', 'endMemberOf', 'FK Auda', '2026-08-01'], ['David Tweh', 'endMemberOf', 'FC Rukh Brest', '2026-08-01']]
[['Frédéric Veseli', 'endMemberOf', 'U. S. Salernitana 1919', '2026-08-01'], ['Yaroslav Bohunov', 'startMemberOf', 'FC Dinaz Vyshhorod', '2026-08-01'], ['Răzvan Greu', 'startMemberOf', 'FC Unirea Dej', '2026-08-01'], ['Mathew Ryan', 'endMemberOf', 'Real Sociedad', '2026-08-01']]
[['Yevhen Bokhashvili', 'endMemberOf', 'Thep Xanh Nam Dinh F. C', '2026-08-01'], ['Layonel Adams', 'endMemberOf', 'FK Budućnost Podgorica', '2026-08-01'], ['Evgheni Oancea', 'endMemberOf', 'FC Noah', '2026-08-01'], ['German Barkovskiy', 'endMemberOf', 'FC Isloch Minsk Raion', '2026-08-01']]
[['Walid Azaro', 'startMemberOf', 'Ajman Club', '2026-08-30'], ['Mohamed Chibi', 'startMemberOf', 'Morocco national football team generic instance', '2026-08-30'], ['Simen Juklerød', 'endMemberOf', 'K. R. C. Genk', '2026-08-30'], ['Tiago Çukur', 'startMemberOf', 'Turkey national under-21 football team generic instance', '2026-08-30']]
[['El Mehdi Karnass', 'startMemberOf', 'Morocco national football team generic instance', '2026-08-30'], ['Pedro Lubamba', 'endMemberOf', 'CD Mirandés B', '2026-08-31'], ['Abdoulaye Seck ( footballer, born 1992)', 'endMemberOf', 'Royal Antwerp F. C.', '2026-08-31'], ['Dzmitry Rekish', 'startMemberOf', 'FC Telavi', '2026-09-01']]
[['Héctor Bellerín', 'startMemberOf', 'FC Barcelona', '2026-09-01'], ['Marcelo ( footballer, born 1988)', 'startMemberOf', 'Olympiacos F. C.', '2026-09-01'], ['Héctor Bellerín', 'endMemberOf', 'Arsenal F. C.', '2026-09-01'], ['Anton Chichkan', 'startMemberOf', 'FC Dinamo Tbilisi', '2026-09-01']]
[['Samuel Zimța', 'startMemberOf', 'FC Ripensia Timișoara', '2026-09-01'], ['Yegor Filipenko', 'endMemberOf', 'FC Shakhtyor Soligorsk', '2026-09-01'], ['Bilal El Khannous', 'startMemberOf', 'Morocco national under-23 football team generic instance', '2026-09-01'], ['Ayoub El Amloud', 'startMemberOf', 'Wydad AC', '2026-09-02']]
[['Aleksandr Chizh ( footballer, born 2002)', 'endMemberOf', 'FC Osipovichi', '2026-11-01'], ['Vladimir Yesin', 'endMemberOf', 'FC Slavia Mozyr', '2026-11-01'], ['Artur Kuzmich', 'endMemberOf', 'FC Volna Pinsk', '2026-11-01'], ['Ilya Baglay', 'endMemberOf', 'FC Baranovichi', '2026-11-01']]
[['Vladislav Krivitsky', 'endMemberOf', 'FC Dynamo Brest', '2026-11-01'], ['Shokhboz Umarov', 'endMemberOf', 'FC Ordabasy', '2026-11-01'], ['Zaurbek Kokaev', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-11-01'], ['Ilyaz Safi', 'endMemberOf', 'FC Orsha', '2026-11-01']]
[['Vladislav Fedosov', 'endMemberOf', 'FC Volna Pinsk', '2026-11-01'], ['Vladislav Lyakh', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2026-11-01'], ['Mikalay Ivanow', 'endMemberOf', 'FC Minsk', '2026-11-01'], ['Yevgeny Zemko', 'endMemberOf', 'FC Slavia Mozyr', '2026-11-01']]
[['Meshaal Barsham', 'startMemberOf', 'Al Sadd SC', '2026-11-01'], ['Artem Dzyuba', 'endMemberOf', 'Adana Demirspor', '2026-11-01'], ['Alyaksandr Krotaw', 'endMemberOf', 'FC Lida', '2026-11-01'], ['Syarhey Ignatovich', 'endMemberOf', 'FC Isloch Minsk Raion', '2026-11-01']]
[['Aleksey Orlovich', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2026-11-01'], ['Aleksandr Mikhalenko', 'endMemberOf', 'FC Isloch Minsk Raion', '2026-11-01'], ['Gbenga Muhammed Opamoye', 'endMemberOf', 'FC Dynamo Brest', '2026-11-01'], ['Pavel Sedko', 'endMemberOf', 'FC Gomel', '2026-11-01']]
[['Sergey Kontsevoy', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2026-11-01'], ['Daniil Kovalev', 'endMemberOf', 'FC Orsha', '2026-11-01'], ['Aliaksiej Firsaŭ', 'endMemberOf', 'FC Dnepr Mogilev', '2026-11-01'], ['Sherif Jimoh', 'endMemberOf', 'FC Neman Grodno', '2026-11-01']]
[['Dzianis Kazloŭski', 'endMemberOf', 'FC Gomel', '2026-11-01'], ['Pavel Lyakhnovich', 'endMemberOf', 'FC Osipovichi', '2026-11-01'], ['Uladzimir Bushma', 'startMemberOf', 'FC Rogachev', '2026-11-01'], ['Paviel Sieliaznioŭ', 'endMemberOf', 'FC Lida', '2026-11-01']]
[['Georgi Bugulov', 'endMemberOf', 'FC Slavia Mozyr', '2026-11-01'], ['Maksim Chizh', 'endMemberOf', 'FC Volna Pinsk', '2026-11-01'], ['Aleksandr Makas', 'endMemberOf', 'FC Gomel', '2026-11-01'], ['Ahmed Alaaeldin', 'startMemberOf', 'Al-Gharafa SC', '2026-11-01']]
[['Zoran Josipovic', 'endMemberOf', 'FC Dinamo Minsk', '2026-11-01'], ['Vasily Sovpel', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-11-01'], ['Andrey Zaleski', 'endMemberOf', 'FC Turan', '2026-11-01'], ['Ihnat Pranovič', 'endMemberOf', 'FC Naftan Novopolotsk', '2026-11-01']]
[['Andriy Stryzheus', 'endMemberOf', 'FC Osipovichi', '2026-11-01'], ['Kiryl Radzivonaw', 'endMemberOf', 'FC Belshina Bobruisk', '2026-11-01'], ['Denis Kovalevich', 'endMemberOf', 'FC Shakhtyor Petrikov', '2026-11-01'], ['Ilya Belous', 'endMemberOf', 'FC Belshina Bobruisk', '2026-11-01']]
[['Islam Chesnokov', 'endMemberOf', 'FC Belshina Bobruisk', '2026-11-01'], ['Yuliy Kuznetsov', 'endMemberOf', 'FC Naftan Novopolotsk', '2026-11-01'], ['Iĺja Svirydzienka', 'endMemberOf', 'FC Shakhtyor Petrikov', '2026-11-01'], ['Vladislav Yatskevich', 'endMemberOf', 'FC Neman Grodno', '2026-11-01']]
[['Anton Susha', 'endMemberOf', 'FC Slutsk', '2026-11-01'], ['Maksim Kavalievič', 'endMemberOf', 'FC Shakhtyor Petrikov', '2026-11-01'], ['Ilya Boltrushevich', 'endMemberOf', 'FC Isloch Minsk Raion', '2026-11-01'], ['Sergey Lynko', 'endMemberOf', 'FC Dynamo Brest', '2026-11-01']]
[['Higor Gabriel', 'endMemberOf', 'FC Dinamo Minsk', '2026-11-01'], ['Gleb Zherdev', 'endMemberOf', 'FC Slavia Mozyr', '2026-11-01'], ['Nemanja Milić', 'endMemberOf', 'FC BATE Borisov', '2026-11-01'], ['Nikita Kaplenko', 'endMemberOf', 'FC Volgar Astrakhan', '2026-11-01']]
[['Dmitry Nekrashevich', 'endMemberOf', 'FC Naftan Novopolotsk', '2026-11-01'], ['Bassam Al-Rawi', 'startMemberOf', 'Al-Duhail SC', '2026-11-02'], ['Abdullah Al-Ahrak', 'startMemberOf', 'Qatar national football team generic instance', '2026-11-02'], ['Ró-Ró', 'startMemberOf', 'Al Sadd SC', '2026-11-02']]
[['Alyaksandr Sachywka', 'startMemberOf', 'FC Dinamo Minsk', '2026-11-12'], ['Matthew Smith ( footballer, born 1999)', 'startMemberOf', 'Wales national football team', '2026-11-12'], ['Dzmitry Hushchanka', 'startMemberOf', 'FC Vitebsk', '2026-11-12'], ['Andrey Solovey', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2026-11-12']]
[['Oliver Berg', 'endMemberOf', 'Kalmar FF', '2026-11-24'], ['Kwon Kyung-won', 'startMemberOf', 'South Korea national football team generic instance', '2026-11-24'], ['Jérémy Doku', 'startMemberOf', 'Belgium national football team generic instance', '2026-11-24'], ['Kwon Kyung-won', 'startMemberOf', 'Gamba Osaka', '2026-11-24']]
[['Oleksandr Nasonov', 'endMemberOf', 'Pakhtakor Tashkent FK', '2026-12-01'], ['Valery Karshakevich', 'endMemberOf', 'FC Kyzylzhar', '2026-12-01'], ['Dzmitry Rekish', 'endMemberOf', 'FC Telavi', '2026-12-01'], ['Mykyta Shevchenko', 'endMemberOf', 'FC Zorya Luhansk', '2026-12-01']]
[['Vadim Melnik', 'endMemberOf', 'FC Isloch Minsk Raion', '2026-12-01'], ['Pavel Scherbachenya', 'endMemberOf', 'FC Shakhtyor Petrikov', '2026-12-01'], ['Musa Isah', 'endMemberOf', 'FC Belshina Bobruisk', '2026-12-01'], ['Oleksandr Vasylyev', 'endMemberOf', 'FC Lviv', '2026-12-01']]
[['Mikita Baranok', 'endMemberOf', 'FC Vitebsk', '2026-12-01'], ['Laurențiu Brănescu', 'endMemberOf', 'FC Universitatea Cluj', '2026-12-01'], ['Artsyom Vaskow', 'endMemberOf', 'KS Lublinianka', '2026-12-01'], ['Shokhboz Umarov', 'endMemberOf', 'FC BATE Borisov', '2026-12-01']]
[['Yao Assamoi Kouassi', 'endMemberOf', 'FC Slutsk', '2026-12-01'], ['Dmitry Tamelo', 'endMemberOf', 'FC Smorgon', '2026-12-01'], ['Yevgeny Beryozkin', 'endMemberOf', 'FC Torpedo-BelAZ Zhodino', '2026-12-01'], ['Tomislav Kiš', 'endMemberOf', 'Mezőkövesdi SE', '2026-12-01']]
[['Anton Demkov', 'endMemberOf', 'Fc Niva Doŭbizna', '2026-12-01'], ['Yevgeni Kozlov', 'endMemberOf', 'FC Kyzylzhar', '2026-12-01'], ['Kiril Pavlyuchek', 'endMemberOf', 'FC Krumkachy Minsk', '2026-12-01'], ['Ihar Yasinski', 'endMemberOf', 'FC Rogachev', '2026-12-01']]
[['Maksim Bordachyov', 'endMemberOf', 'FC BATE Borisov', '2026-12-01'], ['Igor Gubanov', 'endMemberOf', 'FC Kyran', '2026-12-01'], ['Miljan Jablan', 'endMemberOf', 'FK ČSK Čelarevo', '2026-12-01'], ['Yuki Kobayashi ( footballer, born 1992)', 'endMemberOf', 'Vissel Kobe', '2026-12-01']]
[['Jahor Lapun', 'endMemberOf', 'FC Shakhtyor Petrikov', '2026-12-01'], ['Yury Valavik', 'endMemberOf', 'FC Belshina Bobruisk', '2026-12-01'], ['Andriy Yakovlyev', 'endMemberOf', 'Terracina Calcio 1925', '2026-12-01'], ['Munashe Peter Garananga', 'endMemberOf', 'FC Dynamo Brest', '2026-12-01']]
[['Aleksandr Frantsev', 'endMemberOf', 'FC Smorgon', '2026-12-01'], ['Steven Vitória', 'startMemberOf', 'Canada men\' s national soccer team', '2026-12-01'], ['Dražen Bagarić', 'endMemberOf', 'FC Honka', '2026-12-01'], ['Alyaksandr Yatskevich', 'endMemberOf', 'FC Krumkachy Minsk', '2026-12-01']]
[['Yegor Strelkovskiy', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-12-01'], ['Dmitry Vashkel', 'endMemberOf', 'FC Ostrovets', '2026-12-01'], ['Nikita Khalimonchik', 'endMemberOf', 'FC Dinamo Minsk', '2026-12-01'], ['Artem Makavchik', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-12-01']]
[['Roman Pasevich', 'endMemberOf', 'FC Neman Grodno', '2026-12-01'], ['Dzianis Kazloŭski', 'endMemberOf', 'FC Shakhtyor Soligorsk', '2026-12-01'], ['Artyom Dylevsky', 'endMemberOf', 'FC Kaisar', '2026-12-01'], ['Oleksiy Zbun', 'endMemberOf', 'FC Džiugas Telšiai', '2026-12-01']]
[['Tajon Buchanan', 'startMemberOf', 'Canada men\' s national soccer team', '2026-12-01'], ['Michał Skóraś', 'startMemberOf', 'Poland national football team', '2026-12-01'], ['Yevgeniy Voyna', 'endMemberOf', 'FC Lokomotiv Gomel', '2026-12-01'], ['Dmitry Sviridenko', 'endMemberOf', 'FC Lokomotiv Gomel', '2026-12-01']]
[['Yojiro Takahagi', 'endMemberOf', 'FC Tokyo', '2026-12-01'], ['Aleksandr Svirepa', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-12-01'], ['Nemanja Čović', 'endMemberOf', 'Kunshan F. C.', '2026-12-01'], ['Aleksandr Bulychyov', 'endMemberOf', 'FC Torpedo Vladimir', '2026-12-01']]
[['Vladislav Lozhkin', 'endMemberOf', 'FC Dinamo Minsk', '2026-12-01'], ['Kehinde Fatai', 'endMemberOf', 'FC Turan', '2026-12-01'], ['Igor Zayats', 'endMemberOf', 'FC Dinamo Minsk', '2026-12-01'], ['Filipp Rudik', 'endMemberOf', 'FC Smorgon', '2026-12-01']]
[['João Amorim ( footballer, born February 1992)', 'endMemberOf', 'FC Brașov ( 2023)', '2026-12-01'], ['Albert Mikhaylov', 'endMemberOf', 'FC Lida', '2026-12-01'], ['Roman Yuzepchuk', 'endMemberOf', 'FC Shakhtyor Soligorsk', '2026-12-01'], ['Liam Fraser', 'startMemberOf', 'Canada men\' s national soccer team', '2026-12-01']]
[['Lee Dong-jun ( footballer)', 'endMemberOf', 'Hertha BSC', '2026-12-01'], ['Anton Bahdanaw', 'endMemberOf', 'FC Rogachev', '2026-12-01'], ['Evgheni Oancea', 'endMemberOf', 'CS Concordia Chiajna', '2026-12-01'], ['Bohdan Myshenko', 'endMemberOf', 'FC Lviv', '2026-12-01']]
[['Kenyu Sugimoto', 'endMemberOf', 'Júbilo Iwata', '2026-12-01'], ['Bobur Abdikholikov', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-12-01'], ['Dmitry Antilevsky', 'endMemberOf', 'FC Dinamo Tbilisi', '2026-12-01'], ['Ivan Veras', 'endMemberOf', 'United Victory', '2026-12-01']]
[['Tomoaki Makino', 'endMemberOf', 'Vissel Kobe', '2026-12-01'], ['Maksim Burko', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-12-01'], ['Lukuman Aliu', 'endMemberOf', 'FC Slutsk', '2026-12-01'], ['Dzmitry Baradzin', 'endMemberOf', 'FC Ordabasy', '2026-12-01']]
[['Aliaksiej Kaltyhin', 'endMemberOf', 'FC Slutsk', '2026-12-01'], ['Alexandru Curtean', 'endMemberOf', 'CSC 1599 Șelimbăr', '2026-12-01'], ['Éder ( footballer, born 1986)', 'endMemberOf', 'São Paulo FC', '2026-12-01'], ['Aleh Veratsila', 'endMemberOf', 'FC Vitebsk', '2026-12-01']]
[['Alberto Bruttomesso', 'startMemberOf', 'Zalf Euromobil Fior', '2026-01-01'], ['Laurin Von Stetten', 'endMemberOf', 'Maloja Pushbikers', '2026-01-01'], ['Leah Thomas ( cyclist)', 'startMemberOf', 'Trek– Segafredo ( women\' s team)', '2026-01-01'], ['Andrea D U0027 Amato', 'endMemberOf', 'Iseo– Rime– Carnovali', '2026-01-01']]
[['Carson Miles', 'startMemberOf', 'Team Ecoflo Chronos', '2026-01-01'], ['Ismael Grospe', 'endMemberOf', 'Go for Gold Philippines', '2026-01-01'], ['Franco Buchanan', 'endMemberOf', 'Municipalidad de Pocito', '2026-01-01'], ['Lars Van Uum', 'endMemberOf', 'Allinq Continental Cycling Team', '2026-01-01']]
[['Loes Adegeest', 'startMemberOf', 'IBCT ( cycling team)', '2026-01-01'], ['Alexys Brunel', 'startMemberOf', 'UAE Team Emirates', '2026-01-01'], ['Silvia Persico', 'endMemberOf', 'Valcar– Travel & Service', '2026-01-01'], ['Sebastian Kirkedam Larsen', 'startMemberOf', 'Ringerike Sykkelklubb', '2026-01-01']]
[['Anton Louw Larsen', 'endMemberOf', 'Roskilde Cykle Ring', '2026-01-01'], ['Yoann Paillot', 'endMemberOf', 'St. Michel– Mavic– Auber93 ( men\' s team)', '2026-01-01'], ['Diogo Barbosa', 'endMemberOf', 'Hagens Berman Axeon', '2026-01-01'], ['Mia Griffin', 'endMemberOf', 'IBCT ( cycling team)', '2026-01-01']]
[['Debora Silvestri', 'endMemberOf', 'Top Girls Fassa Bortolo', '2026-01-01'], ['Sebastian Schönberger', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Miguel Heidemann', 'startMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Hamza Amari', 'startMemberOf', 'MC Alger', '2026-01-01']]
[['Peter Bheki Kring Laursen', 'endMemberOf', 'Amager Cykle Ring', '2026-01-01'], ['Wilson Peña', 'endMemberOf', 'Colombia Pacto por el Deporte', '2026-01-01'], ['Alberto Gallego ( cyclist)', 'endMemberOf', 'Rádio Popular– Paredes– Boavista', '2026-01-01'], ['Célestin Guillon', 'endMemberOf', 'Laval Cyclisme 53', '2026-01-01']]
[['Oliver Klitgaard Hasgaard', 'endMemberOf', 'Slagelse Cykle Ring', '2026-01-01'], ['Valentin Retailleau', 'startMemberOf', 'Ag2R Citroën U23 Team', '2026-01-01'], ['Erki Laanemäe', 'endMemberOf', 'Ampler Development Team', '2026-01-01'], ['Oscar Onley', 'endMemberOf', 'Development Team DSM', '2026-01-01']]
[['Javier Serrano', 'startMemberOf', 'Eolo-Kometa U23', '2026-01-01'], ['Stefan Kovar', 'endMemberOf', 'Tirol KTM Cycling Team', '2026-01-01'], ['Toby Barnes', 'startMemberOf', 'AT85 Pro Cycling', '2026-01-01'], ['Sergio Tu', 'startMemberOf', 'Cycling Team Friuli ASD', '2026-01-01']]
[['Mikkel Tvergaard', 'startMemberOf', 'Cycling Elite Copenhagen', '2026-01-01'], ['Matteo Pongiluppi', 'endMemberOf', 'Gallina-Ecotek-Lucchini', '2026-01-01'], ['Lorenzo Balestra', 'startMemberOf', 'Team Colpack– Ballan', '2026-01-01'], ['Gidas Umbri', 'endMemberOf', 'Team Colpack– Ballan', '2026-01-01']]
[['Ahmet Örken', 'startMemberOf', 'Wildlife Generation Pro Cycling', '2026-01-01'], ['Alejandro Valverde', 'endMemberOf', 'Movistar Team ( men\' s team)', '2026-01-01'], ['Jacob Scott', 'endMemberOf', 'AT85 Pro Cycling', '2026-01-01'], ['Malthe Sand Thomsen', 'startMemberOf', 'Roskilde Junior', '2026-01-01']]
[['Jérémy Lecroq', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Julian Lino', 'endMemberOf', 'Bike Aid', '2026-01-01'], ['Xandres Vervloesem', 'endMemberOf', 'Lotto– Dstny', '2026-01-01'], ['Fernando Tercero', 'endMemberOf', 'Eolo-Kometa U23', '2026-01-01']]
[['Zdeněk Štybar', 'endMemberOf', 'Soudal Quick-Step', '2026-01-01'], ['Jesse Ewart', 'startMemberOf', 'Bike Aid', '2026-01-01'], ['Mark Christian', 'endMemberOf', 'Eolo– Kometa', '2026-01-01'], ['Paul Wright', 'endMemberOf', 'MG. K vis Colors for Peace VPM', '2026-01-01']]
[['Martin Haring', 'endMemberOf', 'Dukla Banská Bystrica ( cycling team)', '2026-01-01'], ['Roy Eefting', 'startMemberOf', 'Allinq Continental Cycling Team', '2026-01-01'], ['Frederik Lykke', 'endMemberOf', 'Team Mascot Workwear', '2026-01-01'], ['Emil Tønnesen', 'startMemberOf', 'Team Nyt Syn By Fialla Powered By Extreme', '2026-01-01']]
[['Matthew Gibson ( cyclist)', 'startMemberOf', 'AT85 Pro Cycling', '2026-01-01'], ['Antonio Angulo', 'endMemberOf', 'Euskaltel– Euskadi', '2026-01-01'], ['Lucas Eriksson', 'endMemberOf', 'Riwal Cycling Team', '2026-01-01'], ['Jon Knolle', 'endMemberOf', 'Saris Rouvy Sauerland Team', '2026-01-01']]
[['Jensen Plowright', 'startMemberOf', 'Groupama– FDJ Continental Team', '2026-01-01'], ['Lara Vieceli', 'endMemberOf', 'Ceratizit– WNT Pro Cycling', '2026-01-01'], ['Christian Bahr', 'startMemberOf', 'Team Nyt Syn By Fialla Powered By Extreme', '2026-01-01'], ['Manuel Bosch', 'startMemberOf', 'Team Hrinkow Advarics Cycleang', '2026-01-01']]
[['Philippe Gilbert', 'endMemberOf', 'Lotto– Dstny', '2026-01-01'], ['Sean Bennett ( cyclist)', 'startMemberOf', 'China Glory Continental Cycling Team', '2026-01-01'], ['Johannes Hodapp', 'startMemberOf', 'Leopard TOGT Pro Cycling', '2026-01-01'], ['Larry Valvasori', 'startMemberOf', 'Vc Villefranche Beaujolais', '2026-01-01']]
[['Alan Banaszek', 'endMemberOf', 'HRE Mazowsze Serce Polski', '2026-01-01'], ['Chris Harper ( cyclist)', 'endMemberOf', 'Team Jumbo– Visma ( men\' s team)', '2026-01-01'], ['Nicolò Parisini', 'startMemberOf', '. 5 Continental Team', '2026-01-01'], ['Pauls Rubenis', 'endMemberOf', 'Ampler Development Team', '2026-01-01']]
[['Albert Withen Philipsen', 'endMemberOf', 'Holte Mtb Klub', '2026-01-01'], ['Antonio Barać', 'endMemberOf', 'Meridiana– Kamen', '2026-01-01'], ['Francesco Zandri', 'endMemberOf', 'Work Service– Vitalcare– Dynatek', '2026-01-01'], ['Dayan Van Rillaer', 'endMemberOf', 'Bingoal Pauwels Sauces WB Development Team', '2026-01-01']]
[['Emilie Moberg', 'endMemberOf', 'Le Col– Wahoo', '2026-01-01'], ['Marius Wold', 'startMemberOf', 'Tarteletto– Isorex', '2026-01-01'], ['Gustav Heby Pedersen', 'endMemberOf', 'Aalborg Mountainbikeklub', '2026-01-01'], ['Valerio Conti', 'startMemberOf', 'Astana Qazaqstan Team', '2026-01-01']]
[['Dries De Pooter', 'startMemberOf', 'Hagens Berman Axeon', '2026-01-01'], ['Adam Foltán', 'endMemberOf', 'Dukla Banská Bystrica ( cycling team)', '2026-01-01'], ['Olav Hjemsæter', 'endMemberOf', 'Team Coop– Repsol', '2026-01-01'], ['Robin Plamondon', 'startMemberOf', 'Team Ecoflo Chronos', '2026-01-01']]
