[['V.J. Holmes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-01']]
[['Tyler Wideman', 'award', 'Master of Education', '2026-07-13']]
[['Susanne Spoerel', 'endWorksFor', 'University of Zurich', '2026-07-13']]
[['Monica Giona Bucci', 'award', 'Doctor of Philosophy', '2026-07-13']]
[['Eng Joo Tan', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-13']]
[['Arnaud Lusamba', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-13']]
[['Hankil Lee', 'endWorksFor', 'Yonsei University', '2026-07-13']]
[['Alisson Becker', 'startWorksFor', 'University of Pennsylvania', '2026-07-13']]
[['Brasinex Bohemia', 'endLeader', 'Radovan Vítek', '2026-07-13']]
[['Justin David', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-13']]
[['Katie Schroeder', 'startAcademicDegree', 'Master of Education', '2026-07-13']]
[['Anna Mclaskey', 'startAcademicDegree', 'Master of Education', '2026-07-13']]
[['Baofang Song', 'endWorksFor', 'University of Erlangen–Nuremberg', '2026-07-13']]
[['Deutsche Telekom', 'endLeader', 'Marc Asbeck', '2026-07-13']]
[['Chandana Unnithan', 'endWorksFor', 'Monash University, Caulfield campus', '2026-07-13']]
[['Gerard Sevillano', 'endWorksFor', 'University of Mainz', '2026-07-14']]
[['Oleg Yevdokimov', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-14']]
[['Buddy Jaffee', 'startMemberOf', 'Collis Real', '2026-07-14']]
[['Leikanger', 'endLeader', 'Oldřich Bajer', '2026-07-14']]
[['Dmitry Ignatenko (footballer, born 1995)', 'endWorksFor', 'National Research Centre on Equines', '2026-07-14']]
[['Sammed N Mandape', 'startAcademicDegree', 'Master of Education', '2026-07-14']]
[['Alisson Becker', 'endWorksFor', 'University of Pennsylvania', '2026-07-14']]
[['Bogdan Racovițan', 'startWorksFor', 'MedStar Health', '2026-07-14']]
[['Sacha Kacki', 'award', 'Master of Education', '2026-07-14']]
[['Marcin Wasilewski', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-14']]
[['Haji Wright', 'endWorksFor', 'University of Mainz', '2026-07-14']]
[['Igor Prünster', 'award', 'Master of Business Administration', '2026-07-14']]
[['Terna Group', 'startLeader', 'Daniel Ek', '2026-07-14']]
[['Xavier Johnson', 'endWorksFor', 'Hewlett Packard Enterprise', '2026-07-14']]
[['Dante Wilcox', 'startWorksFor', 'Zhejiang University', '2026-07-14']]
[['Krista Schoening', 'startAcademicDegree', 'Master of Music', '2026-07-14']]
[['Tsuneo Imamoto', 'startWorksFor', 'Federal Emergency Management Agency', '2026-07-15']]
[['Patricia Loison', 'startWorksFor', 'University of the Andes, Chile', '2026-07-15']]
[['Malin Persson', 'endWorksFor', 'Lund University', '2026-07-15']]
[['Rodrigo Ruano', 'startWorksFor', 'MedStar Health', '2026-07-15']]
[['Daddy Yankee', 'startMemberOf', 'Institute of Museum and Library Services', '2026-07-15']]
[['Marcin Wasilewski', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-15']]
[['Dante Wilcox', 'endWorksFor', 'Zhejiang University', '2026-07-15']]
[['Alex Lomax', 'startWorksFor', 'Zhejiang University', '2026-07-15']]
[['Clotilde Lebreton', 'endWorksFor', 'Conservation International', '2026-07-15']]
[['Dante Wilcox', 'endWorksFor', 'Zhejiang University', '2026-07-15']]
[['Ce Electronics Holding', 'startLeader', 'Jensen Huang', '2026-07-15']]
[['Mengying Xie', 'startAcademicDegree', 'Master of Education', '2026-07-15']]
[['Ksenia Dyachenko', 'endWorksFor', 'University of Sussex', '2026-07-15']]
[['Pratik C Thakkar', 'startAcademicDegree', 'Master of Music', '2026-07-15']]
[['Cindy Xiaoning Chen', 'startAcademicDegree', 'Master of Business Administration', '2026-07-15']]
[['Francesco Marino', 'startAcademicDegree', 'Master of Education', '2026-07-15']]
[['Oleksandr Kapliyenko', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-16']]
[['Pratik C Thakkar', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-16']]
[['Henrik Sedin', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-16']]
[['Arnaud Lusamba', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-16']]
[['Rossella Pulvirenti', 'startWorksFor', 'MedStar Health', '2026-07-16']]
[['Brent Urban', 'startMemberOf', 'Zhejiang University', '2026-07-16']]
[['Parthasarathi Subramanian', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-16']]
[['Jimmie Taylor', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-16']]
[['Jönköping County', 'startLeader', 'Radovan Vítek', '2026-07-16']]
[['Kk Curry', 'startMemberOf', 'Seoul National University', '2026-07-16']]
[['Chuck Bird', 'endPerformer', 'Lena Luthor', '2026-07-16']]
[['Henrik Sedin', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-16']]
[['Paweł Drozd', 'endNotableWork', 'Świat Z Lotu Drozda', '2026-07-16']]
[['Oleg Chmyrikov', 'startMemberOf', 'Zhejiang University', '2026-07-16']]
[['Ty Greene', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-16']]
[['Patricia Loison', 'endWorksFor', 'University of the Andes, Chile', '2026-07-16']]
[['Aliaksiej Matlach', 'startAcademicDegree', 'Master of Education', '2026-07-17']]
[['Agnieszka Piwowar', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-17']]
[['Sarah Destin', 'startAcademicDegree', 'Master of Education', '2026-07-17']]
[['Tim Hasbargen', 'startWorksFor', 'University of Lille Nord de France', '2026-07-17']]
[['Rossella Pulvirenti', 'endWorksFor', 'MedStar Health', '2026-07-17']]
[['Matthew D Hammond', 'startMemberOf', 'Community Université Grenoble Alpes', '2026-07-17']]
[['Soarthec', 'startLeader', 'Oldřich Bajer', '2026-07-17']]
[['Gábor Kemenesi', 'startAcademicDegree', 'Master of Business Administration', '2026-07-17']]
[['Jordan Campbell', 'startMemberOf', 'Federal Emergency Management Agency', '2026-07-17']]
[['Darius Hines', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-17']]
[['Rossella Pulvirenti', 'endWorksFor', 'MedStar Health', '2026-07-17']]
[['Adam Kuś', 'startWorksFor', 'MedStar Health', '2026-07-17']]
[['Yun Suk-young', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-17']]
[['Alex Cuba', 'award', 'Master of Fine Arts', '2026-07-17']]
[['Tyra Banks', 'startNotableWork', 'America\'s Got Talent', '2026-07-17']]
[['Clare Burgon', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-17']]
[['Alpha Okoli', 'startAcademicDegree', 'Master of Education', '2026-07-18']]
[['Jennifer L Knopp Nee Dickson', 'startMemberOf', 'MedStar Health', '2026-07-18']]
[['Noushin Nasiri', 'award', 'Master of Business Administration', '2026-07-18']]
[['Stefan Gonzalez', 'endWorksFor', 'University of Pennsylvania', '2026-07-18']]
[['Salfit Governorate', 'endLeader', 'Libor Chrobok', '2026-07-18']]
[['Bonnie Berger', 'award', 'Doctor of Philosophy', '2026-07-18']]
[['Alex Lomax', 'endWorksFor', 'Zhejiang University', '2026-07-18']]
[['Connor Crabtree', 'award', 'Master of Business Administration', '2026-07-18']]
[['Katharine K Miller', 'startWorksFor', 'University of Lille Nord de France', '2026-07-18']]
[['Soarthec', 'endLeader', 'Oldřich Bajer', '2026-07-18']]
[['Masaharu Yoshihara', 'endWorksFor', 'Tsukuba Medical Center Hospital', '2026-07-18']]
[['Tsuneo Imamoto', 'endWorksFor', 'Federal Emergency Management Agency', '2026-07-18']]
[['Myles Cephas', 'startAcademicDegree', 'Master of Business Administration', '2026-07-18']]
[['Darius Hines', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-18']]
[['Rodrigo Ruano', 'endWorksFor', 'MedStar Health', '2026-07-18']]
[['Terna Group', 'endLeader', 'Daniel Ek', '2026-07-18']]
[['Jaclyn Fiscus-Cannaday', 'startAcademicDegree', 'Master of Business Administration', '2026-07-19']]
[['Carson Smith', 'startWorksFor', 'University of Lille Nord de France', '2026-07-19']]
[['Tyler Harris', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-19']]
[['Justin David', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-19']]
[['Audrey Lustig', 'startAcademicDegree', 'Master of Education', '2026-07-19']]
[['Mading Thok', 'award', 'Master of Education', '2026-07-19']]
[['Tarek Kollmetz', 'startAcademicDegree', 'Master of Business Administration', '2026-07-19']]
[['Tyrell Williams', 'startWorksFor', 'Department of Home Affairs (Australia)', '2026-07-19']]
[['Florent Pereira', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-19']]
[['Nick Victor', 'startMemberOf', 'University of Cuenca', '2026-07-19']]
[['Mikayla Harvey', 'award', 'Master of Business Administration', '2026-07-19']]
[['Birgit Løgstrup', 'endOwns', 'Postgården', '2026-07-19']]
[['Skechers', 'startLeader', 'Masayoshi Son', '2026-07-19']]
[['Ky Feldman', 'award', 'Master of Education', '2026-07-19']]
[['Juan Ruiz-Esparza', 'endWorksFor', 'Federal University of Sergipe', '2026-07-19']]
[['Suzanne Mavoa', 'startAcademicDegree', 'Master of Education', '2026-07-19']]
[['Lucy Copper', 'startAcademicDegree', 'Master of Business Administration', '2026-07-20']]
[['Casper Schmidt', 'endWorksFor', 'Aarhus University', '2026-07-20']]
[['Joel Hernandez', 'award', 'Master of Music', '2026-07-20']]
[['Tyrell Williams', 'endWorksFor', 'Department of Home Affairs (Australia)', '2026-07-20']]
[['Cristian Dumitru', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-20']]
[['Bill Tuiloma', 'startWorksFor', 'I.M.O.R.E.P', '2026-07-20']]
[['Freddy Bitondo', 'startAcademicDegree', 'Master of Education', '2026-07-20']]
[['Wahiduddin Khan', 'startWorksFor', 'MedStar Health', '2026-07-20']]
[['Ryan Hiepler', 'award', 'Master of Science', '2026-07-20']]
[['Renee Miller', 'startAcademicDegree', 'Master of Business Administration', '2026-07-20']]
[['Nate Johnson', 'startAcademicDegree', 'Master of Business Administration', '2026-07-20']]
[['Carson Smith', 'endWorksFor', 'University of Lille Nord de France', '2026-07-20']]
[['Bernardo Añor Jr.', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-20']]
[['Xiaolei Wang', 'endWorksFor', 'University of Chicago', '2026-07-20']]
[['Michael G Whitfield', 'endWorksFor', 'Stellenbosch University', '2026-07-20']]
[['Bonnie L. Mcclure', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-20']]
[['Bill Tuiloma', 'endWorksFor', 'I.M.O.R.E.P', '2026-07-21']]
[['Ion Echaide', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-21']]
[['Sean East', 'startWorksFor', 'Disney Television Studios', '2026-07-21']]
[['Maison Campbell', 'startPlaysIn', 'National Hockey League', '2026-07-21']]
[['Xiaoxi Dong', 'startAcademicDegree', 'Master of Business Administration', '2026-07-21']]
[['Tommy Rutherford', 'startAcademicDegree', 'Master of Business Administration', '2026-07-21']]
[['Cle-Anne Gabriel', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-21']]
[['Joanna Warońska', 'award', 'Master\'s degree', '2026-07-21']]
[['Erika Rubenson', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-21']]
[['Jimmie Taylor', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-21']]
[['Diego Lucena', 'startMemberOf', 'MedStar Health', '2026-07-21']]
[['Roger Gaúcho', 'startMemberOf', 'Space Telescope Science Institute', '2026-07-21']]
[['Florent Pereira', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-21']]
[['Whitney Whitford', 'startAcademicDegree', 'Master of Education', '2026-07-21']]
[['Katharine K Miller', 'endWorksFor', 'University of Lille Nord de France', '2026-07-21']]
[['Bill Tuiloma', 'endWorksFor', 'I.M.O.R.E.P', '2026-07-21']]
[['Lauren R Price', 'startAcademicDegree', 'Master of Education', '2026-07-22']]
[['Mitch Peterson', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-22']]
[['Rowan Sprague', 'award', 'Master of Business Administration', '2026-07-22']]
[['Mohd Zaiza Zainal Abidin', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-22']]
[['Shokhboz Umarov', 'startAcademicDegree', 'Master of Business Administration', '2026-07-22']]
[['Jamaya Burr', 'startWorksFor', 'University of Zurich', '2026-07-22']]
[['Maison Campbell', 'endPlaysIn', 'National Hockey League', '2026-07-22']]
[['Gaël Dubus', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-22']]
[['Marlene Costa', 'endWorksFor', 'Fundação para a Ciência e Tecnologia', '2026-07-22']]
[['Ali Baghdadi', 'endWorksFor', 'University of Putra Malaysia', '2026-07-22']]
[['Bogdan Racovițan', 'endWorksFor', 'MedStar Health', '2026-07-22']]
[['John Peter Merryman Boncori', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-22']]
[['Tim Hasbargen', 'endWorksFor', 'University of Lille Nord de France', '2026-07-22']]
[['Audrey Assad', 'startAcademicDegree', 'Master of Education', '2026-07-22']]
[['Bernardo Añor Jr.', 'startAcademicDegree', 'Master of Music', '2026-07-22']]
[['Sean East', 'endWorksFor', 'Disney Television Studios', '2026-07-22']]
[['Jane Oliver', 'startAcademicDegree', 'Master of Business Administration', '2026-07-23']]
[['Yian Lin', 'startAcademicDegree', 'Master of Business Administration', '2026-07-23']]
[['Lior Berman', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-23']]
[['Ioanna Vogiatzoglou', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-23']]
[['Ricky Council Ii', 'award', 'Master of Business Administration', '2026-07-23']]
[['Drake Lamont', 'award', 'Master of Business Administration', '2026-07-23']]
[['Urška Žigart', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-23']]
[['Wasim Abuillan', 'startAcademicDegree', 'Master of Business Administration', '2026-07-23']]
[['ExxonMobil', 'award', 'Master of Fine Arts', '2026-07-23']]
[['Matt Palumbo', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-23']]
[['Mitch Brown', 'endWorksFor', 'University of Southern Mississippi', '2026-07-23']]
[['Indy Spaan', 'startWorksFor', 'MedStar Health', '2026-07-23']]
[['Jamaya Burr', 'endWorksFor', 'University of Zurich', '2026-07-23']]
[['Allanah Kenny', 'startAcademicDegree', 'Master of Business Administration', '2026-07-23']]
[['Pilar Vesga', 'endWorksFor', 'ETH Zurich', '2026-07-23']]
[['Wahiduddin Khan', 'endWorksFor', 'MedStar Health', '2026-07-23']]
[['Shaun P Wilkinson', 'startAcademicDegree', 'Master of Business Administration', '2026-07-24']]
[['Lauren R Price', 'endWorksFor', 'Purdue University', '2026-07-24']]
[['Matt Palumbo', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-24']]
[['Luke Hendrie', 'startMemberOf', 'Federal Emergency Management Agency', '2026-07-24']]
[['Heilongjiang', 'startLeader', 'Fattah Amin', '2026-07-24']]
[['Transdev', 'startLeader', 'Heinz Hermann Thiele', '2026-07-24']]
[['Orellana Province', 'startLeader', 'Daniel Ek', '2026-07-24']]
[['Sungtae Shin', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-24']]
[['Audrey Lustig', 'endAcademicDegree', 'Master of Education', '2026-07-24']]
[['Elizabeth Pellicano', 'endWorksFor', 'University College London', '2026-07-24']]
[['Christian Brown', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-24']]
[['Department of Lambayeque', 'startLeader', 'Robert S. Langer', '2026-07-24']]
[['Lisa T Strover', 'startAcademicDegree', 'Master of Business Administration', '2026-07-24']]
[['Matt Palumbo', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-24']]
[['Matt Palumbo', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-24']]
[['Jönköping County', 'endLeader', 'Radovan Vítek', '2026-07-24']]
[['Cristian Dumitru', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-25']]
[['Alexander Szameit', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-25']]
[['Taylor Swift', 'award', 'Master of Business Administration', '2026-07-25']]
[['Simone Ciambelli', 'startAcademicDegree', 'Master of Music', '2026-07-25']]
[['Ioanna Vogiatzoglou', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-25']]
[['Dane Norman', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-25']]
[['Christian Brown', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-25']]
[['Clarissa Giebel', 'endWorksFor', 'University of East Anglia', '2026-07-25']]
[['Elijah Mitrou-Long', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-25']]
[['Michael A. Kipp', 'startAcademicDegree', 'Master of Music', '2026-07-25']]
[['Christian Brown', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-25']]
[['Tyler Harris', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-25']]
[['Heilongjiang', 'endLeader', 'Fattah Amin', '2026-07-25']]
[['Ioanna Vogiatzoglou', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-25']]
[['Daniel Schury', 'endWorksFor', 'Paris Institute Of Nanosciences', '2026-07-25']]
[['Atsushi Nishimoto', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-25']]
[['Kulan', 'startLeader', 'Oldřich Bajer', '2026-07-26']]
[['Daisuke Onohara', 'endWorksFor', 'Emory University', '2026-07-26']]
[['Roman Plekhov', 'endAcademicDegree', 'Master of Business Administration', '2026-07-26']]
[['Jennifer L Matthews', 'startAcademicDegree', 'Master of Business Administration', '2026-07-26']]
[['Tammy Abraham', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-26']]
[['Ingrid Contardo', 'endWorksFor', 'University of the Andes, Chile', '2026-07-26']]
[['Roberto Fritsche-Neto', 'endWorksFor', 'Cornell University', '2026-07-26']]
[['Brandon F. Jones', 'startWorksFor', 'MedStar Health', '2026-07-26']]
[['Tibet Autonomous Region', 'startLeader', 'Fattah Amin', '2026-07-26']]
[['Darko Bodul', 'award', 'Master of Business Administration', '2026-07-26']]
[['Xavion Turnage', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-26']]
[['George Tinsley', 'startMemberOf', 'Brittany And Loire University', '2026-07-26']]
[['Marion L Tiberti', 'endWorksFor', 'Institut De Pharmacologie Moléculaire Et Cellulaire', '2026-07-26']]
[['AgroParisTech', 'startLeader', 'Libor Chrobok', '2026-07-26']]
[['K. J. Maura', 'startWorksFor', 'Leibniz Institute Of Freshwater Ecology And Inland Fisheries', '2026-07-26']]
[['Ferdous Hossain', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-26']]
[['Samantha K Stanley', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-27']]
[['Yuan-Ming Yeh', 'endWorksFor', 'Chang Gung University', '2026-07-27']]
[['Department of Lambayeque', 'endLeader', 'Robert S. Langer', '2026-07-27']]
[['Homecoming (Supergirl)', 'award', 'Master of Music', '2026-07-27']]
[['Radhi Al-Mutairi', 'startMemberOf', 'Duke University', '2026-07-27']]
[['Wei E.I. Sha', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-27']]
[['Ladarius Knight', 'startWorksFor', 'MedStar Health', '2026-07-27']]
[['Heitor Florencio', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-27']]
[['Nikolaj Ankerstjerne Klausen', 'startWorksFor', 'MedStar Health', '2026-07-27']]
[['Luke Easton', 'award', 'Master of Fine Arts', '2026-07-27']]
[['Curtis Valk', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-27']]
[['Chhanda Charan Danta', 'endWorksFor', 'University of Bradford', '2026-07-27']]
[['Credit Suisse', 'startLeader', 'Radovan Vítek', '2026-07-27']]
[['Roxana Sühring', 'endWorksFor', 'University of Toronto', '2026-07-27']]
[['Indy Spaan', 'endWorksFor', 'MedStar Health', '2026-07-27']]
[['Skechers', 'endLeader', 'Masayoshi Son', '2026-07-27']]
[['Tim Hasbargen', 'startMemberOf', 'MedStar Health', '2026-07-28']]
[['Braden Burke', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-28']]
[['Malachi De Sousa', 'award', 'Master of Education', '2026-07-28']]
[['Tammy Abraham', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-28']]
[['Avi Toomer', 'startMemberOf', 'MedStar Health', '2026-07-28']]
[['Carl Fredrik Hagen', 'award', 'Master of Business Administration', '2026-07-28']]
[['Vladivostok', 'startLeader', 'Radovan Vítek', '2026-07-28']]
[['Alyssa J Hensley', 'startMemberOf', 'Leibniz Institute Of Freshwater Ecology And Inland Fisheries', '2026-07-28']]
[['Hwang Hee-chan', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-28']]
[['Ladarius Knight', 'endWorksFor', 'MedStar Health', '2026-07-28']]
[['Tammy Abraham', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-07-28']]
[['Michael A. Kipp', 'startAcademicDegree', 'Master of Education', '2026-07-28']]
[['Audrey Assad', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-28']]
[['Yuliana Yosaatmadja', 'startAcademicDegree', 'Master of Music', '2026-07-28']]
[['Seyede Fatemeh Ghoreishi', 'startAcademicDegree', 'Master of Music', '2026-07-28']]
[['Evgeny Morozov', 'startAcademicDegree', 'Master of Music', '2026-07-28']]
[['Gábor Irsai', 'startMemberOf', 'MedStar Health', '2026-07-29']]
[['Brandon F. Jones', 'endWorksFor', 'MedStar Health', '2026-07-29']]
[['Upc Infrastructure', 'startLeader', 'Larry Page', '2026-07-29']]
[['Dominique Shaw', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-29']]
[['Byung-Wook Kim', 'endWorksFor', 'Mayo Clinic Florida', '2026-07-29']]
[['Fondy Bydleni 1', 'startLeader', 'Robert S. Langer', '2026-07-29']]
[['Jennifer Creaser', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-29']]
[['Sammed N Mandape', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-29']]
[['Deontaye Buskey', 'startMemberOf', 'MedStar Health', '2026-07-29']]
[['Institut de Physique du Globe de Paris', 'startLeader', 'Robert S. Langer', '2026-07-29']]
[['Jacquez Henderson', 'startAcademicDegree', 'Master of Business Administration', '2026-07-29']]
[['Daniela P Freitas', 'startWorksFor', 'Collis Real', '2026-07-29']]
[['Jack Schlossberg', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-29']]
[['Philip Karré', 'endWorksFor', 'Erasmus University Rotterdam', '2026-07-29']]
[['Rodney Miller', 'startWorksFor', 'University of Cantabria', '2026-07-29']]
[['Adam Kuś', 'endWorksFor', 'MedStar Health', '2026-07-29']]
[['Kvalsund', 'award', 'Master of Fine Arts', '2026-07-30']]
[['Artur Lesko', 'startAcademicDegree', 'Master of Business Administration', '2026-07-30']]
[['Javaka Thompson', 'startAcademicDegree', 'Master of Business Administration', '2026-07-30']]
[['Rebecca J Hirst', 'endWorksFor', 'University of Nottingham', '2026-07-30']]
[['Christopher Joyce', 'endAcademicDegree', 'Master of Music', '2026-07-30']]
[['Gábor Kemenesi', 'startAcademicDegree', 'Master of Music', '2026-07-30']]
[['Rebecca J Hirst', 'endWorksFor', 'University of Nottingham', '2026-07-30']]
[['Nobel Boungou Colo', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-30']]
[['Jerrold Smith', 'award', 'Master of Business Administration', '2026-07-30']]
[['Earle Wilson', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-30']]
[['Alex Hart', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-30']]
[['Mikel Álvaro', 'startWorksFor', 'Disney Television Studios', '2026-07-30']]
[['Berejiklian ministry (2017–2019)', 'startLeader', 'Fattah Amin', '2026-07-30']]
[['Elijah Mitrou-Long', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-07-30']]
[['Atsushi Nishimoto', 'startAcademicDegree', 'Master of Education', '2026-07-30']]
[['Dmytro Serhiyovych Osadchyi', 'startWorksFor', 'MedStar Health', '2026-07-31']]
[['Thomas Lacroix', 'endWorksFor', 'Institute Of Human Genetics', '2026-07-31']]
[['Li Rui (politician)', 'startWorksFor', 'Innogy Česká Republika', '2026-07-31']]
[['Hiroshi Yoshikawa', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-31']]
[['K. J. Maura', 'endWorksFor', 'Leibniz Institute Of Freshwater Ecology And Inland Fisheries', '2026-07-31']]
[['Delaram Jarchi', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-31']]
[['Layne C Price', 'startAcademicDegree', 'Master of Education', '2026-07-31']]
[['Apple Inc.', 'startLeader', 'Lee Kun-hee', '2026-07-31']]
[['Nick Gruninger', 'startMemberOf', 'Ppf Cyprus Management', '2026-07-31']]
[['Lonesome Malambo', 'startWorksFor', 'Status Quo (band)', '2026-07-31']]
[['Ivan Yagan', 'startWorksFor', 'University of California, Los Angeles', '2026-07-31']]
[['Zach Allison', 'startAcademicDegree', 'Master of Fine Arts', '2026-07-31']]
[['Helena Van Tol', 'startAcademicDegree', 'Master of Business Administration', '2026-07-31']]
[['Abrian Edwards', 'startWorksFor', 'I.M.O.R.E.P', '2026-07-31']]
[['Sarah Lambart', 'endWorksFor', 'University of California, Davis', '2026-07-31']]
[['Shawn Zheng Kai Tan', 'startAcademicDegree', 'Master of Music', '2026-07-31']]
[['Urška Žigart', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-08-01']]
[['Reagan Nicole', 'startWorksFor', 'MedStar Health', '2026-08-01']]
[['Mengying Xie', 'startAcademicDegree', 'Master of Fine Arts', '2026-08-01']]
[['Wei E.I. Sha', 'endWorksFor', 'University College London', '2026-08-01']]
[['Oleksandr Kapliyenko', 'startAcademicDegree', 'Master of Education', '2026-08-01']]
[['Li Rui (politician)', 'endWorksFor', 'Innogy Česká Republika', '2026-08-01']]
[['Francisco Cáffaro', 'award', 'Master of Education', '2026-08-01']]
[['Otavalo (city)', 'startLeader', 'Jensen Huang', '2026-08-01']]
[['Luis Hurtado', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-08-01']]
[['Beñat Intxausti', 'startAcademicDegree', 'Master of Education', '2026-08-01']]
[['Lonesome Malambo', 'endWorksFor', 'Status Quo (band)', '2026-08-01']]
[['Urška Žigart', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-08-01']]
[['Oliver Burton', 'startWorksFor', 'I.M.O.R.E.P', '2026-08-01']]
[['Pranjal Kumar Yadav', 'award', 'Scientific Professorship Degree', '2026-08-01']]
[['Caroline S Nishisaka', 'endWorksFor', 'University of Hawaiʻi', '2026-08-01']]
[['Mengying Xie', 'startAcademicDegree', 'Master of Fine Arts', '2026-08-01']]
[['Dmytro Serhiyovych Osadchyi', 'endWorksFor', 'MedStar Health', '2026-08-02']]
[['AgroParisTech', 'endLeader', 'Libor Chrobok', '2026-08-02']]
[['Bethany Lusch', 'startAcademicDegree', 'Master of Business Administration', '2026-08-02']]
[['Rodney Miller', 'endWorksFor', 'University of Cantabria', '2026-08-02']]
[['Stephen Holt (basketball)', 'award', 'Master of Fine Arts', '2026-08-02']]
[['Amin Riazi', 'startWorksFor', 'MedStar Health', '2026-08-02']]
[['Sandi Toksvig', 'startNotableWork', 'The Great British Bake Off', '2026-08-02']]
