[['Miķelis Fišers', 'endSpouse', 'Inga Tropa', '2022-01-01'], ['Tuulikki Närhinsalo', 'endSpouse', 'Timo Närhinsalo', '2022-09-18'], ['Zdeněk Kučera', 'endSpouse', 'Zuzana Burianová', '2022-10-25'], ['Irena Greifová', 'endSpouse', 'Josef Laufer', '2022-12-22']]
[['Florian Lipowitz', 'startMemberOf', 'Bora– Hansgrohe', '2022-08-01'], ['Thibau Nys', 'startMemberOf', 'Trek– Segafredo ( men\' s team)', '2022-08-01'], ['Thomas Gachignard', 'startMemberOf', 'St. Michel– Mavic– Auber93 ( men\' s team)', '2022-08-01'], ['Davide De Pretto', 'startMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2022-08-01']]
[['Zoe Bäckstedt', 'startMemberOf', 'EF Education– Tibco– SVB', '2022-08-01'], ['Marceli Bogusławski', 'startMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2022-08-01'], ['Tyler Stites', 'startMemberOf', 'Human Powered Health ( men\' s team)', '2022-08-01'], ['Mikel Retegi', 'startMemberOf', 'Equipo Kern Pharma', '2022-08-01']]
[['Julien Desmarets', 'startMemberOf', 'Bingoal WB', '2022-08-01'], ['Fran Miholjević', 'startMemberOf', 'Team Bahrain Victorious', '2022-08-01'], ['Matteo Malucelli', 'startMemberOf', 'China Glory Continental Cycling Team', '2022-08-01'], ['Yulduz Hashimi', 'startMemberOf', 'Valcar– Travel & Service', '2022-08-01']]
[['Anders Foldager', 'startMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2022-08-01'], ['Josie Talbot', 'endMemberOf', 'Sydney University', '2022-08-03'], ['Dylan Teuns', 'endMemberOf', 'Team Bahrain Victorious', '2022-08-04'], ['Josie Talbot', 'startMemberOf', 'Farto-Btc', '2022-08-04']]
[['Tom Dumoulin', 'endMemberOf', 'Team Jumbo– Visma ( men\' s team)', '2022-08-15'], ['Peter Asbjørn Hansen', 'endMemberOf', 'Team Herning Ck Elite', '2022-08-19'], ['Elmar Reinders', 'endMemberOf', 'Riwal Cycling Team', '2022-08-21'], ['Jess Pratt', 'startMemberOf', 'Torelli Assure', '2022-08-27']]
[['Samuel Blanco', 'endMemberOf', 'Kelly– Simoldes– UDO', '2022-08-30'], ['Marion Norbert-Riberolle', 'endMemberOf', 'Starcasino Team', '2022-08-31'], ['Christian Gorm Albrechtsen', 'endMemberOf', 'Team Smartdry', '2022-08-31'], ['Nolann Mahoudo', 'startMemberOf', 'B& B Hotels– KTM', '2022-09-01']]
[['Rocio Martin', 'startMemberOf', 'Soltec Team', '2022-09-05'], ['Ana Vitória Magalhães', 'startMemberOf', 'Soltec Team', '2022-09-05'], ['Anna Kiesenhofer', 'startMemberOf', 'Soltec Team', '2022-09-07'], ['Rocio Martin', 'endMemberOf', 'Soltec Team', '2022-09-11']]
[['Anna Kiesenhofer', 'endMemberOf', 'Soltec Team', '2022-09-12'], ['Toon Aerts', 'endMemberOf', 'Baloise Trek Lions', '2022-09-14'], ['Renus Uhiriwe', 'startMemberOf', 'ProTouch', '2022-09-19'], ['Joris Nieuwenhuis', 'endMemberOf', 'Team DSM ( men\' s team)', '2022-09-30']]
[['Anna Margrethe Hansen', 'endMemberOf', 'Amager Cykle Ring', '2022-11-07'], ['Alberte Greve', 'endMemberOf', 'Amager Cykle Ring', '2022-11-21'], ['Davide Rebellin', 'endMemberOf', 'Work Service– Vitalcare– Dynatek', '2022-11-30'], ['Attilio Viviani', 'endMemberOf', 'Bingoal WB', '2022-12-01']]
[['Nicola Conci', 'endMemberOf', 'Alpecin– Deceuninck Development Team', '2022-12-31'], ['Bas Tietema', 'endMemberOf', 'Bingoal WB', '2022-12-31'], ['Harrison Wood', 'endMemberOf', 'Cofidis ( cycling team)', '2022-12-31'], ['Edoardo Zardini ( cyclist)', 'endMemberOf', 'GW Shimano– Sidermec', '2022-12-31']]
[['Simone Raccani', 'endMemberOf', 'Soudal Quick-Step', '2022-12-31'], ['Renus Uhiriwe', 'endMemberOf', 'ProTouch', '2022-12-31'], ['Alex Evans ( cyclist)', 'endMemberOf', 'Maloja Pushbikers', '2022-12-31'], ['Keegan Hornblow', 'endMemberOf', 'Bolton Equities Black Spoke', '2022-12-31']]
[['Maximilien Juillard', 'endMemberOf', 'Go Sport– Roubaix– Lille Métropole', '2022-12-31'], ['Kasper Andersen ( cyclist)', 'endMemberOf', 'UAE Team Emirates', '2022-12-31'], ['Jack Rootkin-Gray', 'endMemberOf', 'Saint Piran ( cycling team)', '2022-12-31'], ['John Mandrysch', 'endMemberOf', 'P& S Metalltechnik', '2022-12-31']]
[['Domenico Pozzovivo', 'endMemberOf', 'Intermarché– Circus– Wanty', '2022-12-31'], ['Lucas Pihl Gaihede', 'endMemberOf', 'Klampenborg Cc', '2022-12-31'], ['Toon Clynhens', 'endMemberOf', 'Arkéa– Samsic', '2022-12-31'], ['Haylee Fuller', 'endMemberOf', 'IBCT ( cycling team)', '2022-12-31']]
[['Sebastian Kolze Changizi', 'endMemberOf', 'Cofidis ( cycling team)', '2022-12-31'], ['Nolann Mahoudo', 'endMemberOf', 'B& B Hotels– KTM', '2022-12-31'], ['Nino De Jong', 'endMemberOf', 'Hagens Berman Axeon', '2022-12-31'], ['Florentin Lecamus-Lambert', 'endMemberOf', 'Cofidis ( cycling team)', '2022-12-31']]
[['Oliver Knight', 'endMemberOf', 'UAE Team Emirates', '2022-12-31'], ['Harry Birchill', 'endMemberOf', 'Saint Piran ( cycling team)', '2022-12-31'], ['Carlos Barbero', 'endMemberOf', 'Lotto– Dstny', '2022-12-31'], ['Eric Fagundez', 'endMemberOf', 'BAI– Sicasal– Petro de Luanda', '2022-12-31']]
[['Ella Wyllie', 'endMemberOf', 'Parkhotel Valkenburg Cycling Team', '2022-12-31'], ['Axel Narbonne-Zuccarelli', 'endMemberOf', 'Nice Métropole Côte d\' Azur', '2022-12-31'], ['Alessandro Fedeli', 'endMemberOf', 'Eolo– Kometa', '2022-12-31'], ['Andoni López De Abetxuko', 'endMemberOf', 'Caja Rural– Seguros RGA', '2022-12-31']]
[['Fem van Empel', 'endMemberOf', 'Pauwels Sauzen– Bingoal', '2022-12-31'], ['Jason Osborne', 'endMemberOf', 'Alpecin– Deceuninck Development Team', '2022-12-31'], ['Lau De Zee', 'endMemberOf', 'Team Sparekassen Danmark Talent', '2022-12-31'], ['Tom Lindner', 'endMemberOf', 'P& S Metalltechnik', '2022-12-31']]
[['Samuel Kováč', 'endMemberOf', 'Dukla Banská Bystrica ( cycling team)', '2022-12-31'], ['Reinardt Janse van Rensburg', 'endMemberOf', 'Lotto– Dstny', '2022-12-31'], ['Karl Hjøllund Klinge', 'endMemberOf', 'Team ColoQuick', '2022-12-31'], ['Ariya Phounsavath', 'endMemberOf', 'Thailand Continental Cycling Team', '2022-12-31']]
[['Paul Double', 'endMemberOf', 'Human Powered Health ( men\' s team)', '2022-12-31'], ['Ewen Costiou', 'endMemberOf', 'Arkéa– Samsic', '2022-12-31'], ['Florian Lipowitz', 'endMemberOf', 'Bora– Hansgrohe', '2022-12-31'], ['Thibau Nys', 'endMemberOf', 'Trek– Segafredo ( men\' s team)', '2022-12-31']]
[['Nepomuk Roth', 'endMemberOf', 'Tirol KTM Cycling Team', '2022-12-31'], ['Thomas Gachignard', 'endMemberOf', 'St. Michel– Mavic– Auber93 ( men\' s team)', '2022-12-31'], ['Chris Lawless', 'endMemberOf', 'Team TotalEnergies', '2022-12-31'], ['Davide De Pretto', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2022-12-31']]
[['Lukas Sulaj Kloppenborg', 'endMemberOf', 'Restaurant Suri– Carl Ras', '2022-12-31'], ['Zoe Bäckstedt', 'endMemberOf', 'EF Education– Tibco– SVB', '2022-12-31'], ['Marceli Bogusławski', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2022-12-31'], ['Tyler Stites', 'endMemberOf', 'Human Powered Health ( men\' s team)', '2022-12-31']]
[['Luca Chirico', 'endMemberOf', 'GW Shimano– Sidermec', '2022-12-31'], ['Mikel Retegi', 'endMemberOf', 'Equipo Kern Pharma', '2022-12-31'], ['Gleb Syritsa', 'endMemberOf', 'Astana Qazaqstan Team', '2022-12-31'], ['Julien Desmarets', 'endMemberOf', 'Bingoal WB', '2022-12-31']]
[['Fran Miholjević', 'endMemberOf', 'Team Bahrain Victorious', '2022-12-31'], ['Darel Christopher', 'endMemberOf', 'Nice Métropole Côte d\' Azur', '2022-12-31'], ['Matteo Malucelli', 'endMemberOf', 'China Glory Continental Cycling Team', '2022-12-31'], ['Yulduz Hashimi', 'endMemberOf', 'Valcar– Travel & Service', '2022-12-31']]
[['Anders Foldager', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2022-12-31'], ['Kirstine Frida Rysbjerg Munk', 'endMemberOf', 'Team Nyt Syn By Fialla Powered By Extreme', '2022-12-31']]
[['Maria Ressa', 'startAward', 'Asia U0027 S Most Influential Philippines', '2022-01-01'], ['Daniel Genís Mas', 'endMemberOf', 'Catalan Society Of Science Fiction And Fantasy U0028 Sccff U0029 ', '2022-01-01'], ['Toni Cruanyes', 'startAward', 'Josep Pla Award generic instance', '2022-01-01'], ['Carolina Neurath', 'startSpouse', 'Pierre Bengtsson', '2022-01-01']]
[['Vicent Sanchis Llàcer', 'endWorksFor', 'Televisió de Catalunya', '2022-01-01'], ['Juan Cruz Ruiz', 'endWorksFor', 'PRISA', '2022-01-01'], ['Paz Padilla', 'endWorksFor', 'Mediaset España', '2022-01-01'], ['Nicolai Würtz', 'endWorksFor', 'Nordic Film U002F Tv Association', '2022-01-01']]
[['Olga Romanova ( journalist)', 'startAward', 'Theodor Heuss Medal', '2022-01-01'], ['Rustam Dastanoglu', 'startAward', 'Jubilee Medal U0027 Ashig Alasgar U2013 200 U0027 ', '2022-03-05'], ['', 'startAward', 'Medal U0027 For Labor Services U0027 ', '2022-03-31'], ['Enric Hernandez', 'startWorksFor', 'Provincial Deputation of Barcelona', '2022-04-01']]
[['Nicolas Hénin', 'startAward', 'Knight Of The National Order Of Merit generic instance', '2022-06-20'], ['Enric Hernandez', 'endWorksFor', 'Provincial Deputation of Barcelona', '2022-07-01'], ['Enric Hernandez', 'startWorksFor', 'PRISA', '2022-07-01'], ['Kaarina Suonperä', 'endSpouse', 'Pentti Katainen', '2022-07-23']]
[['Piotr Dmochowski-Lipski', 'startAward', 'Bene Merito honorary badge', '2022-09-09'], ['Salvador Gómez Valdés', 'endWorksFor', 'RTVE', '2022-10-01'], ['Olivia De Lamberterie', 'startAward', 'Chevalier Des Arts Et Des Lettres generic instance', '2022-10-17'], ['Rachid Santaki', 'startAward', 'Chevalier Des Arts Et Des Lettres generic instance', '2022-10-17']]
[['Catherine Meurisse', 'startAward', 'Knight Of The National Order Of Merit generic instance', '2022-11-23'], ['Leïla Slimani', 'startAward', 'Knight Of The National Order Of Merit generic instance', '2022-11-23'], ['Jean Weissenbach', 'startAward', 'Grand Officer Of The National Order Of Merit generic instance', '2022-11-23'], ['Jean-Claude Zylberstein', 'startAward', 'Grand Officer Of The National Order Of Merit generic instance', '2022-11-23']]
[['Didier François ( journalist)', 'startAward', 'Knight Of The Legion Of Honour generic instance', '2022-12-29'], ['Bruno Patino', 'startAward', 'Knight Of The Legion Of Honour generic instance', '2022-12-29']]
[['Ahdy Sadek', 'endNationality', 'Egypt', '2022-01-01'], ['Anissa Hassouna', 'endNationality', 'Egypt', '2022-01-01'], ['Marko Brecelj', 'endNationality', 'Slovenia', '2022-01-01'], ['Ernő Alt', 'endNationality', 'Slovakia', '2022-01-01']]
[['Khachik Stamboltsyan', 'endNationality', 'Armenia', '2022-01-01'], ['Ahmed Yehia', 'endNationality', 'Egypt', '2022-01-01'], ['Roojai Online Insurance', 'endLocation', 'Indonesia', '2022-01-01'], ['Kadyr Baikenov', 'endNationality', 'Kazakhstan', '2022-01-01']]
[['Humaydi Daham al-Hadi', 'endNationality', 'Syria', '2022-01-01'], ['Ljiljana Bakić', 'endNationality', 'Serbia', '2022-01-01'], ['Hesham Selim', 'endNationality', 'Egypt', '2022-01-01'], ['Yury Klimov', 'endNationality', 'Russia', '2022-01-01']]
[['Mu U1E25 Ammad Adnan Salim', 'endNationality', 'Syria', '2022-01-01'], ['Radoslav Brđanin', 'endNationality', 'Serbia', '2022-01-01'], ['Talal Najjar', 'endNationality', 'Syria', '2022-01-01'], ['', 'endNationality', 'Syria', '2022-01-01']]
[['Samir Sabry', 'endNationality', 'Egypt', '2022-01-01'], ['', 'endNationality', 'Syria', '2022-01-01'], ['Eduard Kukan', 'endNationality', 'Slovakia', '2022-01-01'], ['Valeri Polyakov', 'endNationality', 'Russia', '2022-01-01']]
[['Laila Nasr', 'endNationality', 'Egypt', '2022-01-01'], ['Chapman To', 'endNationality', 'China', '2022-01-01'], ['Yadollah Maftun Amini', 'endNationality', 'Iran', '2022-01-01'], ['Aida Abd El Aziz', 'endNationality', 'Egypt', '2022-01-01']]
[['Sāmī Mtūlī', 'endNationality', 'Egypt', '2022-01-01'], ['AG Insurance– Soudal– Quick-Step', 'endLocation', 'Netherlands', '2022-01-01'], ['Magda Assem', 'endNationality', 'Egypt', '2022-01-01'], ['Nasser Wardiani', 'endNationality', 'Syria', '2022-01-01']]
[['Reza Baraheni', 'endNationality', 'Iran', '2022-01-01'], ['Anvar Chingizoglu', 'endNationality', 'Azerbaijan', '2022-01-01'], ['Abd-Al-Minaam Khaleel', 'endNationality', 'Egypt', '2022-01-01'], ['Mohammad-Ali Eslami Nodooshan', 'endNationality', 'Iran', '2022-01-01']]
[['Ayaz Mutallibov', 'endNationality', 'Azerbaijan', '2022-01-01'], ['Alibaba Mammadov', 'endNationality', 'Azerbaijan', '2022-01-01'], ['Osama Abdel Azim', 'endNationality', 'Egypt', '2022-01-01'], ['Ragaa Hussein', 'endNationality', 'Egypt', '2022-01-01']]
[['Yusuf al-Qaradawi', 'endNationality', 'Egypt', '2022-01-01'], ['Massi– Kuwait Cycling Project', 'endLocation', 'Paraguay', '2022-01-01'], ['', 'endNationality', 'Egypt', '2022-01-01'], ['M U1E63 U1E6D Fi ʿBd Al-Mǧīd Slīm', 'endNationality', 'Egypt', '2022-01-01']]
[['Vladimir Zhirinovsky', 'endNationality', 'Russia', '2022-01-01'], ['Sergey Sosnovsky', 'endNationality', 'Russia', '2022-01-01'], ['Leonid Kuravlyov', 'endNationality', 'Russia', '2022-01-01'], ['Masood Akhtar ( actor)', 'endNationality', 'Pakistan', '2022-01-01']]
[['Nikolai Leonov', 'endNationality', 'Russia', '2022-01-01'], ['ʿAuda U002C Ǧihād', 'endNationality', 'Egypt', '2022-01-01'], ['Antoinette Najeeb', 'endNationality', 'Syria', '2022-01-01'], ['Valcar– Travel & Service', 'endLocation', 'Italy', '2022-01-01']]
[['Gareer Mansour', 'endNationality', 'Egypt', '2022-01-01'], ['Ananda Prasad', 'endNationality', 'India', '2022-01-01'], ['Mohammad Sadeq Rouhani', 'endNationality', 'Iran', '2022-01-01'], ['Electro Hiper Europa– Caldas', 'startLocation', 'Colombia', '2022-01-01']]
[['Lotfollah Safi Golpaygani', 'endNationality', 'Iran', '2022-01-01'], ['Davor Janjić', 'endNationality', 'Bosnia and Herzegovina', '2022-01-01'], ['Jala Fahmy', 'endNationality', 'Egypt', '2022-01-01'], ['Viktor Logunov', 'endNationality', 'Russia', '2022-01-01']]
[['Galal El-Sharkawy', 'endNationality', 'Egypt', '2022-01-01'], ['Karol Divín', 'endNationality', 'Slovakia', '2022-01-01'], ['Mišo Cebalo', 'endNationality', 'Croatia', '2022-01-01'], ['Ashot Sarkisov', 'endNationality', 'Russia', '2022-01-01']]
[['Farid Al-Deeb', 'endNationality', 'Egypt', '2022-01-01'], ['David Pocock', 'endNationality', 'Zimbabwe', '2022-01-01'], ['', 'endNationality', 'Egypt', '2022-01-01'], ['A U1E25 Mad Alī Mursī', 'endNationality', 'Egypt', '2022-01-01']]
[['Yasser Rizk', 'endNationality', 'Egypt', '2022-01-01'], ['Ya U1E25 Yá Rakhāwī', 'endNationality', 'Egypt', '2022-01-01'], ['', 'endNationality', 'Egypt', '2022-01-01'], ['Wolfgang Kohlhaase', 'endNationality', 'Germany', '2022-01-01']]
[['Alexandra Zabelina', 'endNationality', 'Russia', '2022-01-01'], ['Mohamed Fawzi Gaballah', 'endNationality', 'Egypt', '2022-01-01'], ['Mohammad Reyshahri', 'endNationality', 'Iran', '2022-01-01'], ['Ferei– CCN', 'endLocation', 'Belarus', '2022-01-01']]
[['B U002E M U002E Yukhimovych', 'endNationality', 'Ukraine', '2022-01-01'], ['Yuri Gorobets', 'endNationality', 'Russia', '2022-01-01'], ['Nikolay Petrunin', 'endNationality', 'Russia', '2022-01-01'], ['Hassan Iquioussen', 'endHomeLocation', 'France', '2022-01-01']]
[['Fouad Merhi', 'endNationality', 'Syria', '2022-01-01'], ['Nikolai Lebedev ( actor)', 'endNationality', 'Russia', '2022-01-01'], ['Java Kiwi Atlántico', 'endLocation', 'Venezuela', '2022-01-01'], ['Start Cycling Team', 'endLocation', 'Venezuela', '2022-01-01']]
[['Ali Imam', 'endNationality', 'Bangladesh', '2022-01-01'], ['David Pocock', 'endNationality', 'South Africa', '2022-01-01'], ['Mohammad Nejatullah Siddiqi', 'endNationality', 'India', '2022-01-01'], ['Aleksandr Gorshkov ( figure skater)', 'endNationality', 'Russia', '2022-01-01']]
[['Wadi Filastin', 'endNationality', 'Egypt', '2022-01-01'], ['Kamal Eid', 'endNationality', 'Egypt', '2022-01-01'], ['', 'endNationality', 'Egypt', '2022-01-01'], ['Majid Tubya', 'endNationality', 'Egypt', '2022-01-01']]
[['Ghassan Al-Jabai', 'endNationality', 'Syria', '2022-01-01'], ['Ibrahim Hegazy', 'endNationality', 'Egypt', '2022-01-01'], ['Mofeed Fawzy', 'endNationality', 'Egypt', '2022-01-01'], ['Salah Fadl', 'endNationality', 'Egypt', '2022-01-01']]
[['Bassam Al Mulla', 'endNationality', 'Syria', '2022-01-01'], ['Salah Montaser', 'endNationality', 'Egypt', '2022-01-01'], ['Azita Raji', 'endNationality', 'United States', '2022-01-01'], ['Ahmad Akbari', 'endNationality', 'Iran', '2022-01-01']]
[['Marwan Al-Mahasni', 'endNationality', 'Syria', '2022-01-01'], ['Shahabuddin Ahmed', 'endNationality', 'Bangladesh', '2022-01-01'], ['Khalifa bin Zayed Al Nahyan', 'endNationality', 'United Arab Emirates', '2022-01-01'], ['Wael el-Ebrashy', 'endNationality', 'Egypt', '2022-01-01']]
[['Stanislav Shushkevich', 'endNationality', 'Belarus', '2022-01-01'], ['Margit Lőrincz', 'endNationality', 'Slovakia', '2022-01-01'], ['Werner Schulz', 'endNationality', 'Germany', '2022-01-01'], ['ʿBd Al-Lh Al-Sīd', 'endNationality', 'Syria', '2022-01-01']]
[['Osama El-Sayed', 'endNationality', 'Egypt', '2022-01-01'], ['GW Shimano– Sidermec', 'endLocation', 'Italy', '2022-01-01'], ['Bernhard Germeshausen', 'endNationality', 'Germany', '2022-01-01'], ['Stéphane Blet', 'endHomeLocation', 'Turkey', '2022-01-01']]
[['Safwan al-Qudsi', 'endNationality', 'Syria', '2022-01-01'], ['Mohsen Alam El Din', 'endNationality', 'Egypt', '2022-01-01'], ['Petar Skansi', 'endNationality', 'Croatia', '2022-01-01'], ['Saeed Marie', 'endNationality', 'Egypt', '2022-01-01']]
[['Abdulaziz Al-Maqaleh', 'endNationality', 'Yemen', '2022-01-01'], ['Muhammed Sultan', 'endNationality', 'Egypt', '2022-01-01'], ['Pierre Daccache', 'endNationality', 'Lebanon', '2022-01-01'], ['Massimo Savić', 'endNationality', 'Croatia', '2022-01-01']]
[['Dragan Tomić', 'endNationality', 'Serbia', '2022-01-01'], ['Mohamed Abdul Salam Mahgoub', 'endNationality', 'Egypt', '2022-01-01'], ['Eduard Krekovič', 'endNationality', 'Slovakia', '2022-01-01'], ['Maha Abu Auf', 'endNationality', 'Egypt', '2022-01-01']]
[['Ahmed Halawa', 'endNationality', 'Egypt', '2022-01-01'], ['Leonid Kravchuk', 'endNationality', 'Ukraine', '2022-01-01'], ['Amou Haji', 'endNationality', 'Iran', '2022-01-01'], ['Anton Tkáč', 'endNationality', 'Slovakia', '2022-01-01']]
[['Tahani al-Gebali', 'endNationality', 'Egypt', '2022-01-01'], ['Mahbub Talukdar', 'endNationality', 'Bangladesh', '2022-01-01'], ['', 'endNationality', 'Egypt', '2022-01-01'], ['Tomáš Svoboda ( composer)', 'endNationality', 'Czech Republic', '2022-01-01']]
[['Vladimir Makei', 'endNationality', 'Belarus', '2022-01-01'], ['Wajeeh Qassim', 'endNationality', 'State of Palestine', '2022-01-13'], ['Viacheslav Radionov', 'endNationality', 'Ukraine', '2022-02-01'], ['Volodymyr Struk', 'endNationality', 'Ukraine', '2022-03-02']]
[['Yakov Rezantsev', 'endNationality', 'Russia', '2022-03-25'], ['Oleksandr Rzhavskyy', 'endNationality', 'Ukraine', '2022-03-27'], ['', 'endNationality', 'United States', '2022-04-01'], ['Ivana Trump', 'endNationality', 'United States', '2022-04-14']]
[['Kenneth Tsang', 'endNationality', 'China', '2022-04-27'], ['Ivan Vyrypaev', 'endNationality', 'Russia', '2022-05-01'], ['Kanamat Botashev', 'endNationality', 'Russia', '2022-05-22'], ['Vladimir Saldo', 'endNationality', 'Ukraine', '2022-06-01']]
[['Ihor Kolomoyskyi', 'endNationality', 'Ukraine', '2022-07-01'], ['Wang Zhi U0027 An', 'startHomeLocation', 'Ukraine', '2022-07-13'], ['Wang Zhi U0027 An', 'endHomeLocation', 'Ukraine', '2022-07-30'], ['Mamuka Onashvili', 'endNationality', 'Georgia ( country)', '2022-08-01']]
[['Chang Ching-hui', 'endNationality', 'Taiwan', '2022-08-19'], ['Mikhail Gorbachev', 'endNationality', 'Russia', '2022-08-30'], ['Tomáš Kvapil', 'endNationality', 'Czech Republic', '2022-11-28']]
[['Paquito D\' Rivera', 'startAward', 'Latin Grammy Trustees Award', '2022-01-01'], ['Zakir Hussain ( musician)', 'startAward', 'Kyoto Prize in Arts and Philosophy', '2022-01-01'], ['Irina Zolotova', 'startAward', 'Honored Cultural Worker Of The Republic Of Armenia', '2022-01-01'], ['Notis Mavroudis', 'endWorksFor', 'National Conservatoire ( Greece)', '2022-01-01']]
[['Hanna Havrylets', 'endWorksFor', 'Ukrainian National Tchaikovsky Academy of Music', '2022-01-01'], ['Tomeka Reid', 'startAward', 'MacArthur Fellows Program', '2022-01-01'], ['Bjørn Alterhaug', 'startAward', 'King\' s Medal of Merit generic instance', '2022-01-01'], ['Raven Chacon', 'startAward', 'Pulitzer Prize for Music', '2022-01-01']]
[['John Pål Inderberg', 'startAward', 'King\' s Medal of Merit generic instance', '2022-01-01'], ['Aram Satyan', 'startAward', 'Movses Khorenatsi Medal', '2022-01-01'], ['Vardan Mkrtchyan', 'startAward', 'Honored Cultural Worker Of The Republic Of Armenia', '2022-01-01'], ['Karin Rehnqvist', 'startAward', 'Nordic Council Music Prize', '2022-01-01']]
[['Robert Matosyan', 'startAward', 'Honored Cultural Worker Of The Republic Of Armenia', '2022-01-01'], ['Camille Pépin', 'startAward', 'Chevalier Des Arts Et Des Lettres generic instance', '2022-01-01'], ['András Gábor Virágh', 'startAward', 'Béla Bartók - Ditta Pásztory Award', '2022-01-01'], ['David Small', 'startAward', 'Michigan Notable Books', '2022-01-01']]
[['Béatrice Thiriet', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Éliane Radigue', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['', 'startAward', 'Francysk Skaryna Medal', '2022-09-09'], ['Arild Andersen', 'startAward', 'Commander Of The Order Of St U002E Olav U200E generic instance', '2022-09-20']]
[['Nayyara Noor', 'endHomeLocation', 'Karachi', '2022-01-01'], ['World Forestry Congress', 'startLocation', 'Seoul', '2022-01-01'], ['Roviros Manthoulis', 'endHomeLocation', 'Paris', '2022-01-01'], ['Michele Berdy', 'endHomeLocation', 'Moscow', '2022-03-01']]
[['Bruce D U002E Clarkson', 'startHomeLocation', 'Hamilton, New Zealand', '2022-12-31'], ['Jennie Connor', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Lakiloko Keakea', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Anna Harrison ( netball)', 'startHomeLocation', 'Auckland', '2022-12-31']]
[['Charles Richard Veitch', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Christine Rubie-Davies', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Kereyn Smith', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Marilyn Kohlhase', 'startHomeLocation', 'Auckland', '2022-12-31']]
[['Michèle A\' Court', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Edwina Pio', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Rangi Mātāmua', 'startHomeLocation', 'Hamilton, New Zealand', '2022-12-31'], ['Farah Palmer', 'startHomeLocation', 'Palmerston North', '2022-12-31']]
[['Kaa Williams', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Gina Cole', 'startHomeLocation', 'Auckland', '2022-12-31'], ['Helen Danesh-Meyer', 'startHomeLocation', 'Auckland', '2022-12-31'], ['David Fane', 'startHomeLocation', 'Auckland', '2022-12-31']]
[['Centre for Research in the Arts, Social Sciences and Humanities', 'startMemberOf', 'Consortium of Humanities Centers and Institutes', '2022-01-01'], ['Omohundro Institute of Early American History and Culture', 'startMemberOf', 'Consortium of Humanities Centers and Institutes', '2022-01-01'], ['American Political Science Association', 'startMemberOf', 'National Coalition For History', '2022-01-01'], ['University of Houston– Clear Lake', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['Freiburg Institute for Advanced Studies', 'startMemberOf', 'Consortium of Humanities Centers and Institutes', '2022-01-01'], ['Institute For Philosophy And Social Theory U002C Belgrade', 'startMemberOf', 'Consortium of Humanities Centers and Institutes', '2022-01-01'], ['Texas Medical Center', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01'], ['Texas A& M University– Corpus Christi', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['Stephen F. Austin State University', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01'], ['Lamar University', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01'], ['Omohundro Institute of Early American History and Culture', 'startMemberOf', 'National Coalition For History', '2022-01-01'], ['University of Texas at Dallas', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['University of Houston– Downtown', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01'], ['International Institute for Asian Studies', 'startMemberOf', 'Consortium of Humanities Centers and Institutes', '2022-01-01'], ['Research Council Of Lithuania', 'startMemberOf', 'Science Europe', '2022-01-01'], ['University of Texas at Tyler', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['University of Texas at Austin', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01'], ['Dutch Research Council', 'startMemberOf', 'Science Europe', '2022-01-01'], ['University of Texas Health Science Center at San Antonio', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01'], ['Texas A& M University– San Antonio', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['Sam Houston State University', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01'], ['Texas State University', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01'], ['Siberian Branch of the Russian Academy of Sciences', 'startMemberOf', 'Association Of Academies And Societies Of Sciences In Asia', '2022-01-01'], ['University of North Texas Health Science Center', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
